"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
482901,"UMLGen","Java Reverser","elorri.benoit","UNCONFIRMED"," ---","Java reverse with diagram failed","2015-12-02 05:28:36"
475831,"UMLGen","Java Generation","stephane.begaudeau","UNCONFIRMED"," ---","Constructors not generated from Class Operations","2015-12-02 05:33:22"
481749,"UMLGen","Java Generation","stephane.begaudeau","UNCONFIRMED"," ---","Constructor generation not working","2015-12-02 05:32:46"
481751,"UMLGen","Java Generation","stephane.begaudeau","UNCONFIRMED"," ---","Association generation incomplete","2015-12-02 05:32:19"
478173,"UMLGen","Java RTSJ Generation","jean-francois.rolland","NEW"," ---","Incorrect references to external libraries","2015-09-23 09:00:00"
438144,"UMLGen","Cross issues","umlgen-inbox","NEW"," ---","Naming and tidying up of the plugins","2015-07-03 12:17:02"
440667,"UMLGen","Java RTSJ Generation","umlgen-inbox","NEW"," ---","RTSJ viewpoint on UML models describing RTSJ applications","2014-08-01 11:24:52"
440668,"UMLGen","C Generation","umlgen-inbox","NEW"," ---","C viewpoint on UML models describing C applications","2014-08-04 11:48:37"
441328,"UMLGen","C Reverser","umlgen-inbox","NEW"," ---","Fix round-trip issue or withdraw from it","2015-07-03 11:28:09"
441330,"UMLGen","C Reverser","umlgen-inbox","NEW"," ---","Fix JUnit tests","2015-07-03 11:26:59"
438003,"UMLGen","Cross issues","umlgen-inbox","RESOLVED","FIXED","Initial contribution","2015-01-12 11:08:44"
438062,"UMLGen","Cross issues","umlgen-inbox","RESOLVED","FIXED","Migration to Luna","2015-01-12 11:08:58"
438065,"UMLGen","Cross issues","umlgen-inbox","RESOLVED","FIXED","Enabling successive generator builds","2015-02-16 08:50:33"
438077,"UMLGen","Java RTSJ Generation","umlgen-inbox","RESOLVED","FIXED","Build of the RTSJ annotations and framework","2015-07-03 15:24:49"
438078,"UMLGen","Java Generation","umlgen-inbox","RESOLVED","FIXED","Apply contribution from CQ 8295 and CQ 8296","2015-01-12 11:10:17"
