"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
341846,"UOMo","Units","werner.keil","NEW"," ---","Better Formatting of Prefixes for certain Units","2017-11-24 11:46:53"
347638,"UOMo","Units","werner.keil","NEW"," ---","some units in NonSI and USCustomary lack of symbol","2017-11-24 11:49:36"
412799,"UOMo","Business","werner.keil","NEW"," ---","Add support for UN/CEFACT Common Codes for specifying unit of measurement.","2020-01-15 10:17:40"
338338,"UOMo","Units","werner.keil","NEW"," ---","Time Units should be related to ICU TimeUnit","2013-05-10 14:20:35"
347635,"UOMo","Units","werner.keil","NEW"," ---","request for addition of units (and maybe unit systems)","2013-05-10 14:21:46"
363646,"UOMo","XML","werner.keil","NEW"," ---","Support for EEML","2013-03-18 14:43:39"
367047,"UOMo","XML","werner.keil","NEW"," ---","Improving Schema.org with additional Quantities","2013-03-18 14:46:41"
367708,"UOMo","XML","werner.keil","NEW"," ---","Support for MathML","2013-03-18 14:44:01"
387127,"UOMo","UCUM","grahame","ASSIGNED"," ---","org.eclipse.uomo.ucum.canonical.Converter computes canonical value incorrectly","2017-11-24 11:44:33"
332369,"UOMo","Core","werner.keil","ASSIGNED"," ---","Update Documentation","2012-01-02 11:03:04"
338334,"UOMo","Units","werner.keil","ASSIGNED"," ---","equals() not working as expected for some units","2013-04-28 09:35:23"
342070,"UOMo","Core","werner.keil","ASSIGNED"," ---","Update Website","2018-06-07 19:49:37"
366909,"UOMo","Units","werner.keil","ASSIGNED"," ---","Code Examples","2017-12-20 18:24:17"
381507,"UOMo","Units","werner.keil","ASSIGNED"," ---","Make well defined Quantity types final","2012-10-27 09:22:55"
422300,"UOMo","Units","werner.keil","ASSIGNED"," ---","Make all quantity amounts implement quantity type","2013-11-21 19:58:38"
432972,"UOMo","UCUM","werner.keil","ASSIGNED"," ---","Using [oz_av] in conversion never seems to be correct","2015-03-03 07:54:02"
348089,"UOMo","Core","werner.keil","ASSIGNED"," ---","Deploy Maven artifacts","2017-11-24 11:45:55"
375586,"UOMo","Units","werner.keil","ASSIGNED"," ---","Integration with Xtext","2015-05-21 11:28:09"
402763,"UOMo","Business","werner.keil","ASSIGNED"," ---","Integrate with JSR 354","2014-07-27 12:48:26"
330087,"UOMo","XML","werner.keil","ASSIGNED"," ---","Support for UnitsML","2013-03-19 07:20:36"
375799,"UOMo","Core","christopher.senior","RESOLVED","FIXED","Tycho Enablement","2012-06-03 17:59:02"
392836,"UOMo","Core","christopher.senior","RESOLVED","FIXED","Generate Update Site using Tycho or Bndtools","2012-11-08 18:59:00"
357641,"UOMo","UCUM","grahame","RESOLVED","FIXED","Conversion problem for metric units with exponents (l to m3)","2012-01-02 09:37:57"
336422,"UOMo","Core","werner.keil","RESOLVED","FIXED","Logo Design","2013-04-28 09:32:48"
351656,"UOMo","Units","werner.keil","RESOLVED","FIXED","UTF-8 not accepted during PDE-export","2013-04-28 09:30:02"
357326,"UOMo","Units","werner.keil","RESOLVED","FIXED","Define new Unit Systems in their own package","2013-03-19 07:23:02"
362697,"UOMo","UCUM","werner.keil","RESOLVED","FIXED","UcumEssenceService.getProperties() does not return all the quantitative properties","2012-10-25 19:20:09"
381509,"UOMo","Units","werner.keil","RESOLVED","WONTFIX","Move Factory method BaseAmount.valueOf() to abstract class","2013-05-12 20:30:53"
381510,"UOMo","Units","werner.keil","RESOLVED","FIXED","Move BaseAmount.ONE to abstract class","2013-05-25 10:07:04"
387540,"UOMo","Units","werner.keil","RESOLVED","FIXED","Precision loss when converting certain units","2012-08-18 15:26:35"
402838,"UOMo","Units","werner.keil","RESOLVED","FIXED","Unify Number Spellers","2013-05-12 12:34:53"
403752,"UOMo","Units","werner.keil","RESOLVED","FIXED","Avoid NPE in DimensionImpl","2013-03-20 16:43:49"
403947,"UOMo","UCUM","werner.keil","RESOLVED","FIXED","Upgrade UCUM-Essence","2013-04-28 09:31:05"
426621,"UOMo","Units","werner.keil","RESOLVED","FIXED","JCP Proposal","2017-11-24 11:04:21"
429089,"UOMo","UCUM","werner.keil","RESOLVED","FIXED","UcumEssenceService.convert() can fail because the println does a divide without a MathContext","2014-07-27 18:14:41"
432200,"UOMo","Units","werner.keil","RESOLVED","FIXED","MassAmount unit conversion seems to have multiply and divide reversed","2014-04-23 20:13:08"
440749,"UOMo","Units","werner.keil","RESOLVED","FIXED","Typo in function name org.eclipse.uomo.units.impl.BaseAmount substract and other classes.","2014-08-03 13:40:09"
476353,"UOMo","Core","werner.keil","RESOLVED","FIXED","Migrate or remove Hudson jobs on the shared instance","2015-12-10 03:19:24"
497961,"UOMo","Units","werner.keil","RESOLVED","FIXED","Uomo not working with eclipse 4.5","2017-11-24 11:04:44"
515607,"UOMo","Core","werner.keil","RESOLVED","FIXED","Update target definitions","2017-11-24 11:47:21"
527682,"UOMo","Units","werner.keil","RESOLVED","FIXED","Include ServiceLoader definitions for JSR 363","2017-11-24 08:06:22"
527723,"UOMo","Units","werner.keil","RESOLVED","FIXED","Test 0.7 with JSR 363 TCK","2017-12-20 16:44:47"
371433,"UOMo","UCUM","grahame","RESOLVED","WORKSFORME","Parentheses are not supported by UCUM parser in units definition","2013-04-28 11:00:59"
363645,"UOMo","XML","werner.keil","RESOLVED","WONTFIX","Support for SensorML","2017-11-23 09:17:10"
350289,"UOMo","Core","werner.keil","CLOSED","FIXED","Activator invalid when sample Eclipse app started","2012-01-02 09:35:32"
339041,"UOMo","Units","werner.keil","CLOSED","FIXED","IP: [CQ 4987] UOMo Units","2012-01-02 09:36:44"
353253,"UOMo","Units","werner.keil","CLOSED","FIXED","IP: [CQ 4987] UOMo Units - SymbolMap","2013-03-19 07:19:53"
356737,"UOMo","Units","werner.keil","CLOSED","FIXED","UnitFormatTest fails due to locale-specific unit symbol comparison","2012-01-19 07:33:45"
409063,"UOMo","Business","werner.keil","CLOSED","FIXED","Support ICU4J 50+ and before","2017-04-17 13:07:33"
440738,"UOMo","Units","werner.keil","CLOSED","FIXED","Maven stand alone build fails on master and 0.6.0","2017-04-17 13:06:07"
515344,"UOMo","UCUM","werner.keil","CLOSED","FIXED","Integrate new UCUM version","2017-04-22 11:02:11"
347633,"UOMo","Units","werner.keil","CLOSED","FIXED","units defined in NonSI cannot be accessed from outside UOMo","2013-03-20 16:35:23"
