"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
415404,"Vertx","Core","vertx.core-inbox","NEW"," ---","Provide an EventBus API to introspect the current queue/topic names","2015-03-24 05:03:16"
415409,"Vertx","Core","vertx.core-inbox","NEW"," ---","Custom SSL trust managers","2015-03-24 05:03:19"
415412,"Vertx","Core","vertx.core-inbox","NEW"," ---","Option to not share runtime in verticles","2015-03-24 05:03:22"
415424,"Vertx","Core","vertx.core-inbox","NEW"," ---","Encryption for EventBus","2016-01-08 14:33:32"
415429,"Vertx","Core","vertx.core-inbox","NEW"," ---","Event bus flow control","2015-03-24 05:03:16"
415437,"Vertx","Core","vertx.core-inbox","NEW"," ---","Compression over the EventBusBridge","2015-03-24 05:03:20"
415443,"Vertx","Core","vertx.core-inbox","NEW"," ---","Add ability to wiretap messages on the event bus","2015-03-24 05:03:21"
415453,"Vertx","Core","vertx.core-inbox","NEW"," ---","Expose wire format for event bus","2015-03-24 05:03:18"
427029,"Vertx","Core","vertx.core-inbox","NEW"," ---","Changing visibility of DefaultHttpClientResponse.request to public","2014-11-13 05:40:40"
427927,"Vertx","Core","vertx.core-inbox","NEW"," ---","Add some additional helper methods for working with Buffers","2014-11-13 05:40:41"
427963,"Vertx","Core","vertx.core-inbox","NEW"," ---","Make HTTP Protocol version configurable or per request for httpclient.","2014-11-13 05:40:42"
428771,"Vertx","Core","vertx.core-inbox","NEW"," ---","Add ability to use wildcards in message bus topic subscription","2016-03-09 09:40:17"
429622,"Vertx","Core","vertx.core-inbox","NEW"," ---","Redirection support: 301 Moved Permanently","2015-10-17 10:54:04"
438573,"Vertx","Core","vertx.core-inbox","NEW"," ---","multipart/form-data support for http client","2015-01-20 15:56:54"
463601,"Vertx","Core","vertx.core-inbox","NEW"," ---","Document cipher suites in developer manual","2015-03-31 11:31:23"
469648,"Vertx","Core","vertx.core-inbox","NEW"," ---","Make Streams documentation less confusing","2015-06-08 13:09:34"
472166,"Vertx","Core","vertx.core-inbox","NEW"," ---","DNS host name resolution blocks event loop in HttpClient.","2015-07-16 04:51:04"
472830,"Vertx","Core","vertx.core-inbox","NEW"," ---","Simple TCP Socket support for the event bus","2015-07-16 08:31:32"
472831,"Vertx","Core","vertx.core-inbox","NEW"," ---","Make event bus transport layer pluggable","2015-07-16 08:33:57"
472832,"Vertx","Core","vertx.core-inbox","NEW"," ---","Improve date handling in json object","2015-07-16 08:45:58"
476607,"Vertx","Core","vertx.core-inbox","NEW"," ---","CLASSPATH via -cp does not accept jar directory","2015-10-03 01:58:16"
477341,"Vertx","Core","vertx.core-inbox","NEW"," ---","sendFile() raise NullPointerException","2015-11-09 06:39:33"
478657,"Vertx","Core","vertx.core-inbox","NEW"," ---","DnsClient.resolveSRV throws ArrayIndex exception","2015-09-30 04:27:45"
479472,"Vertx","Core","vertx.core-inbox","NEW"," ---","Unable to specify external cluster.xml when deploying a shadowjar (fatjar) on the classpath, need java property","2015-11-20 10:19:23"
479488,"Vertx","Core","vertx.core-inbox","NEW"," ---","Http server does not properly handle https requests","2017-02-07 07:31:15"
479583,"Vertx","Core","vertx.core-inbox","NEW"," ---","PEMTrustOptions cannot have more than 1 effective certificate.","2015-10-13 14:09:56"
480026,"Vertx","Core","vertx.core-inbox","NEW"," ---","Truncated UDP packet since 3.1.0","2016-01-26 05:11:40"
480240,"Vertx","Core","vertx.core-inbox","NEW"," ---","Vert.x EventBusMetrics SPI Class Needs Reply Flag or Topic Change","2015-10-20 12:59:07"
480242,"Vertx","Core","vertx.core-inbox","NEW"," ---","EventBus not yet set on vertx instance when 'createMetrics(EventBus eventBus)' called on classes implementing implements VertxMetrics","2015-10-20 13:09:03"
480285,"Vertx","Core","vertx.core-inbox","NEW"," ---","create a canonical vertx 3 maven archetype thats released with each vertx release (so it uses the latest versions)","2015-10-21 05:49:04"
480963,"Vertx","Core","vertx.core-inbox","NEW"," ---","DeploymentOptions: Configuration JsonArray passed as constructor parameter does not work","2015-11-09 07:14:03"
482298,"Vertx","Core","vertx.core-inbox","NEW"," ---","Json big decimal conversion issue.","2015-11-20 05:30:02"
482545,"Vertx","Core","vertx.core-inbox","NEW"," ---","The JsonObject String constructor accepts invalid JSON","2015-11-20 05:28:48"
482725,"Vertx","Core","vertx.core-inbox","NEW"," ---","Provide a way to lookup selected websocket subprotocol","2015-11-20 14:21:50"
483098,"Vertx","Core","vertx.core-inbox","NEW"," ---","[HttpClient] Avoid instanciating VertxException on HttpClient connection closed","2015-11-26 09:29:08"
485233,"Vertx","Core","vertx.core-inbox","NEW"," ---","Exception when unknown HTTP methods are used","2016-01-05 15:18:16"
515174,"Vertx","Core","vertx.core-inbox","NEW"," ---","Redis client geoaddMany ERR syntax error. Try GEOADD key [x1] [y1] [name1] [x2] [y2] [name2] ...","2017-04-12 14:59:07"
415440,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","TypeScript support in Vert.x","2015-03-24 05:03:22"
415445,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","Publish a gem","2015-03-24 05:03:17"
415452,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","Supervisors","2015-03-24 05:03:20"
429942,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","auto-redeploy doesn't work when there is a comma in the path","2014-11-13 05:29:35"
432757,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","Include hazelcast-cloud in the standard distribution","2014-11-13 05:40:39"
452604,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","tcp proxy not working","2014-11-21 03:32:48"
455939,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","preserve-cwd impacts sub-module loading","2014-12-22 04:17:55"
457185,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","Jruby Integration","2015-01-10 07:27:54"
465000,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","Multiple instances http hang/crash after stress test","2015-04-20 07:46:59"
465147,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","deploy_module with multiple instances","2015-04-21 18:55:30"
465608,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","JavaScript docs for SQL Common shows incorrect examples","2015-04-27 11:37:40"
466820,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","Unable to unzip modules if zipEntry for parent dir is handled after current zipEntry","2015-05-08 05:33:06"
467956,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","vertx web auth example doesn't work properly","2015-05-22 02:08:16"
470894,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","enable jolokia by default in docker images for vertx","2015-06-24 10:54:01"
482542,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","Transaction with lock table statement causes a deadlock","2015-11-18 18:01:23"
482821,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","Vert.x codegen drops {@link ...} from javadoc","2015-11-23 05:22:44"
484449,"Vertx","Platform","vertx.platform-inbox","NEW"," ---","Broken vertx batch script","2015-12-15 17:45:01"
421932,"Vertx","Core","vertx.core-inbox","REOPENED"," ---","fileReadSymLink can return absolute links for relative symbolic links","2014-11-13 04:38:55"
452015,"Vertx","Core","vertx.core-inbox","REOPENED"," ---","putHeader can be enhanced to take a Map","2015-06-16 13:42:15"
426800,"Vertx","Core","vertx.core-inbox","RESOLVED","WONTFIX","vert.x builds on HIPP, signed","2014-09-03 09:38:26"
458399,"Vertx","Core","vertx.core-inbox","RESOLVED","FIXED","SOCK JS headers.getAll(""cookie"")","2015-05-28 07:17:08"
467280,"Vertx","Core","vertx.core-inbox","RESOLVED","FIXED","Process doesn't exit for a long time on vertx close & vertical startup failed","2015-05-14 14:40:00"
480001,"Vertx","Core","vertx.core-inbox","RESOLVED","FIXED","HandlerRegistration cancels timerID 0 in doUnregister (even though it has not started a timer)","2015-11-08 15:14:08"
429821,"Vertx","Platform","vertx.platform-inbox","RESOLVED","INVALID","Access-Control-Allow-Origin on websockets","2014-03-11 16:53:21"
467420,"Vertx","Platform","vertx.platform-inbox","RESOLVED","FIXED","FailureHandler not being called","2015-07-15 19:25:44"
485181,"Vertx","Platform","vertx.platform-inbox","RESOLVED","FIXED","DropWizard Metrics bug in 3.2.0 with more than one HttpClient","2016-01-05 11:18:23"
444830,"Vertx","Core","julien","CLOSED","FIXED","JsonObject equals returns false when numeric values have different classes","2014-11-13 04:28:21"
425074,"Vertx","Core","nick.scavelli","CLOSED","FIXED","Pausing/Resuming JavaScript execution in SockJS client causes unhandled NullPointerException in EventBusBridge","2014-03-25 11:38:04"
441428,"Vertx","Core","nick.scavelli","CLOSED","FIXED","Path adjuster resolved wrongly when there is a space","2014-11-13 10:30:50"
441627,"Vertx","Platform","nick.scavelli","CLOSED","WORKSFORME","Failed to run fat jar - Due to %20 added in path of jar file at run-time.","2014-11-14 11:45:38"
444813,"Vertx","Core","nick.scavelli","CLOSED","FIXED","Bad URL parsing","2014-11-13 03:13:42"
414744,"Vertx","Core","norman.maurer","CLOSED","FIXED","No Pong Frame sent back when receive Ping Frame","2013-10-21 09:34:57"
414747,"Vertx","Core","norman.maurer","CLOSED","FIXED","DefaultHttpServer should close connection after CLOSE WebSocketFrame is sent back","2013-10-21 09:34:57"
414771,"Vertx","Core","norman.maurer","CLOSED","FIXED","DefaultHttpClient encodes port in Host: header even if default port is used","2013-10-21 09:34:55"
414813,"Vertx","Core","norman.maurer","CLOSED","WONTFIX","org.vertx.groovy.core.buffer.Buffer#appendChar(char) method missing","2013-11-05 04:24:27"
415403,"Vertx","Core","norman.maurer","CLOSED","FIXED","Instrumentation infrastructure and service (was ""JMX"")","2014-11-13 06:08:07"
415407,"Vertx","Core","norman.maurer","CLOSED","FIXED","Setting javac compile options","2014-03-03 12:07:10"
415410,"Vertx","Core","norman.maurer","CLOSED","DUPLICATE","java.lang.IllegalStateException: Invalid object UnpooledHeapByteBuf","2013-12-11 08:58:27"
415426,"Vertx","Core","norman.maurer","CLOSED","FIXED","Asynchronous DNS support","2013-10-21 09:34:57"
415449,"Vertx","Core","norman.maurer","CLOSED","FIXED","Asynchronous UDP support","2013-10-29 04:19:20"
415450,"Vertx","Core","norman.maurer","CLOSED","FIXED","Http compression","2013-10-29 04:19:46"
416964,"Vertx","Platform","norman.maurer","CLOSED","FIXED","Default cluster.xml in %VERTX_HOME%\lib\vertx-platform.jar is taking precedence over a custom cluster.xml in %VERTX_HOME%\conf","2013-10-21 09:52:26"
416968,"Vertx","Core","norman.maurer","CLOSED","FIXED","Would like starttls support on netsocket","2013-12-21 12:32:47"
417705,"Vertx","Core","norman.maurer","CLOSED","FIXED","Add the ability to ""upgrade"" an existing TCP connection to a TLS secured connection","2013-12-21 13:28:37"
418097,"Vertx","Core","norman.maurer","CLOSED","FIXED","with multipart/form-data posts, form attributes are lost when file upload is larger than 8k","2013-11-08 07:49:52"
418985,"Vertx","Core","norman.maurer","CLOSED","FIXED","HttpServerFileUpload size() returns zero when expectMultiPart is set to true.","2014-07-15 03:27:08"
419211,"Vertx","Core","norman.maurer","CLOSED","FIXED","Implement proper HTTP CONNECT semantics","2013-12-13 06:13:50"
419565,"Vertx","Core","norman.maurer","CLOSED","WONTFIX","HttpClient and NetClient should use asynchronous DNS to resolve hosts","2013-12-10 07:43:31"
