"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
309778,"Virgo","unknown","b.kapukaranov","NEW"," ---","Support p2 repositories in the Virgo repository chain","2011-06-17 09:31:15"
355933,"Virgo","runtime","glyn.normington","NEW"," ---","Implement draft OSGi subsystems specification","2011-08-26 06:52:52"
361971,"Virgo","runtime","milesg78","NEW"," ---","Session failover does not work with Virgo-Tomcat","2015-06-11 16:05:08"
307737,"Virgo","unknown","virgo-inbox","NEW"," ---","Starting Virgo With a Custom Configuration Directory","2012-08-23 04:58:53"
309282,"Virgo","unknown","virgo-inbox","NEW"," ---","Interpreting Resolver Error report","2010-10-11 05:12:25"
310775,"Virgo","unknown","virgo-inbox","NEW"," ---","Support for associating different WARs to different virtual hosts (aka 'domains')","2013-02-13 03:37:33"
311209,"Virgo","unknown","virgo-inbox","NEW"," ---","medic: cannot dump heap in all build/runtime environments","2010-12-21 09:51:42"
311900,"Virgo","unknown","virgo-inbox","NEW"," ---","Upfront validation of the max supported version of springframework in user-region","2010-05-06 10:53:21"
315377,"Virgo","unknown","virgo-inbox","NEW"," ---","Using a version of AspectJ other than the one dm Server comes bundled with generates ClassNotFoundException upon deployment","2010-09-13 05:45:07"
315867,"Virgo","unknown","virgo-inbox","NEW"," ---","Document how to write custom artifact deployers","2012-06-30 18:47:19"
323469,"Virgo","unknown","virgo-inbox","NEW"," ---","Add customisable launch control to kernel launch sequence","2010-08-24 04:54:09"
325560,"Virgo","unknown","virgo-inbox","NEW"," ---","InnerFrameworkDetection support in Virgo","2012-09-17 11:56:39"
325617,"Virgo","unknown","virgo-inbox","NEW"," ---","Kernel build unit test coverage is below 70%","2015-06-03 05:18:00"
326641,"Virgo","unknown","virgo-inbox","NEW"," ---","Isolate the versions of Spring DM/Blueprint in kernel and user regions","2010-09-30 04:04:38"
326770,"Virgo","unknown","virgo-inbox","NEW"," ---","Modify deployer to never fault in an optional dependency","2011-11-29 11:36:16"
327567,"Virgo","unknown","virgo-inbox","NEW"," ---","In the tooling, exploit the ability to deploy plans referencing artifacts by file URI","2017-06-10 16:08:02"
327739,"Virgo","unknown","virgo-inbox","NEW"," ---","Add Logback status listener to surface more Logback diagnostics","2012-12-07 12:41:29"
328102,"Virgo","unknown","virgo-inbox","NEW"," ---","Accept version as a synonym for bundle-version in Require-Bundle header","2010-10-19 04:56:49"
328229,"Virgo","unknown","virgo-inbox","NEW"," ---","Start hosted repository application early","2010-10-20 07:16:26"
328376,"Virgo","unknown","virgo-inbox","NEW"," ---","Document the ways to create a WAB and decide on the easiest","2010-10-22 06:50:54"
328986,"Virgo","unknown","virgo-inbox","NEW"," ---","Add vsh deploy subcommand to Virgo Kernel","2010-11-01 13:02:44"
329860,"Virgo","unknown","virgo-inbox","NEW"," ---","Should allow JARs to be deployed as PARs","2010-11-19 08:58:38"
329886,"Virgo","unknown","virgo-inbox","NEW"," ---","Provide maven virgo:run command","2010-11-21 03:14:19"
330647,"Virgo","unknown","virgo-inbox","NEW"," ---","Bundles deployed in pickup directory are order-dependent","2012-09-12 12:31:13"
330775,"Virgo","unknown","virgo-inbox","NEW"," ---","The ""packageImports must not contain duplicate items"" message should name the duplicate import","2010-11-22 04:18:32"
331693,"Virgo","unknown","virgo-inbox","NEW"," ---","Migrate Virgo kernel to DS","2012-12-17 11:10:47"
331926,"Virgo","unknown","virgo-inbox","NEW"," ---","Allow PLAN-artifact-property to append manifest headers instead of replacing them","2010-12-06 15:45:29"
332508,"Virgo","runtime","virgo-inbox","NEW"," ---","Add ability to configure the URI for hosted repository and artifacts","2011-01-10 05:28:01"
333126,"Virgo","snaps","virgo-inbox","NEW"," ---","Snaps for submenu with Snap-ContextPath","2017-02-03 16:59:58"
333302,"Virgo","documentation","virgo-inbox","NEW"," ---","Provide PDF documentation","2011-01-04 04:00:19"
333855,"Virgo","unknown","virgo-inbox","NEW"," ---","Split the AspectJ library into separate runtime/weaver/compiler bundles w/o overlap of exported packages","2011-01-10 07:04:33"
333958,"Virgo","tooling","virgo-inbox","NEW"," ---","Virgo Tooling does not recognize packages that are exported from the kernel region","2012-04-10 18:54:46"
334060,"Virgo","tooling","virgo-inbox","NEW"," ---","/stage directory not populated with selected artifacts from server view [across partitions]","2013-05-02 11:28:51"
334384,"Virgo","documentation","virgo-inbox","NEW"," ---","Document event log messages","2011-01-14 10:13:29"
334753,"Virgo","virgo-build","virgo-inbox","NEW"," ---","Allow one project's test classes to depend upon another project's test classes","2011-08-02 11:26:13"
335064,"Virgo","tooling","virgo-inbox","NEW"," ---","Remote repository does not attach source","2012-06-22 11:47:14"
335754,"Virgo","tooling","virgo-inbox","NEW"," ---","STS maven enable dependency management/ osgi bundle project nature result in error updating project configuration by maven","2011-01-31 07:43:50"
335980,"Virgo","tooling","virgo-inbox","NEW"," ---","Build with ant and Bundlor won't update manifests in test directories","2011-05-16 05:24:22"
337139,"Virgo","unknown","virgo-inbox","NEW"," ---","Implementing kernel mbean start/stop/and refresh interfaces","2011-05-10 10:38:17"
337410,"Virgo","unknown","virgo-inbox","NEW"," ---","Support configurable RMI ports used for JMX Remote connections","2012-06-12 05:42:57"
341942,"Virgo","documentation","virgo-inbox","NEW"," ---","Configuring Virgo for multiple instances","2011-05-10 07:27:43"
