"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
388823,"Virgo","jetty","virgo-inbox","NEW"," ---","Support Conditional Permission Admin","2012-11-27 14:42:51"
388212,"Virgo","web-admin","eclipse","NEW"," ---","Support viewing all wirings for a specified package","2012-10-15 05:26:08"
389438,"Virgo","runtime","eclipse","NEW"," ---","Remove instrumented support from the KernelBundleClassloader","2012-09-13 11:58:32"
389712,"Virgo","runtime","l.kirchev","NEW"," ---","Migrate blueprint beans to OSGi declarative services in org.eclipse.virgo.shell.command","2012-09-17 11:38:36"
408471,"Virgo","runtime","l.kirchev","NEW"," ---","[console] Some of the vsh commands are not working","2013-05-22 02:43:51"
367754,"Virgo","runtime","virgo-inbox","NEW"," ---","[nano] Enable per-app trace logging in Nano","2012-07-03 06:41:59"
367918,"Virgo","tooling","virgo-inbox","NEW"," ---","Pax Exam support","2012-08-22 04:47:04"
368287,"Virgo","bundlor","virgo-inbox","NEW"," ---","additional line feeds would make the generated manifest more readable","2016-09-27 05:01:02"
368724,"Virgo","tooling","virgo-inbox","NEW"," ---","Tooling support for allowing plans to refer to artifacts by file URI","2012-01-16 10:46:59"
368761,"Virgo","tooling","virgo-inbox","NEW"," ---","project maintenance","2012-03-13 13:08:03"
368782,"Virgo","tooling","virgo-inbox","NEW"," ---","Plugin packaging issues bug train","2012-05-11 15:58:57"
368783,"Virgo","tooling","virgo-inbox","NEW"," ---","Server management UI bug train","2012-07-03 15:17:09"
368785,"Virgo","tooling","virgo-inbox","NEW"," ---","Server runtime support bug train","2012-05-15 14:44:31"
368890,"Virgo","tooling","virgo-inbox","NEW"," ---","Release management and packaging bug train","2012-08-27 17:09:36"
368915,"Virgo","unknown","virgo-inbox","NEW"," ---","Clean up the feature projects","2012-01-18 03:45:33"
368930,"Virgo","unknown","virgo-inbox","NEW"," ---","Enable update dependencies script to get .classpath versions back in step","2012-01-18 06:30:07"
369008,"Virgo","virgo-build","virgo-inbox","NEW"," ---","Support deployment testing","2012-09-10 05:58:55"
