"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
455699,"Vorto","General","vorto-inbox","NEW"," ---","Initial Contribution","2014-12-19 01:47:29"
471521,"Vorto","Information Meta-Model","vorto-inbox","RESOLVED","MOVED","A user is able to define custom (cross-property) validation logic in the DSL","2016-03-14 03:20:10"
471520,"Vorto","Toolset","vorto-inbox","RESOLVED","MOVED","Content assist templates when editing a model using the DSL","2016-03-14 04:38:42"
459970,"Vorto","General","alexander.edelmann","RESOLVED","FIXED","Github mirror for org.eclipse.vorto","2015-07-17 02:25:04"
470681,"Vorto","Information Meta-Model","alexander.edelmann","RESOLVED","FIXED","Mapping DSL allows to define rules for information models, functionblock models, and entities themselfes","2015-09-03 03:24:32"
471504,"Vorto","Code Generators","alexander.edelmann","RESOLVED","FIXED","Proper warning when running a generator when no mapping file is found","2016-02-18 03:12:47"
471512,"Vorto","Toolset","alexander.edelmann","RESOLVED","FIXED","Wizard to help vorto developers to create a mapping file for a specific model","2015-10-23 23:52:07"
471524,"Vorto","Toolset","alexander.edelmann","RESOLVED","FIXED","Information model in vorto perspective need to be selected twice to be effective","2015-10-23 23:50:44"
471539,"Vorto","General","alexander.edelmann","RESOLVED","FIXED","When changing a model in the IoT Toolset validations for all models are performed","2015-07-18 08:07:16"
471554,"Vorto","Toolset","alexander.edelmann","RESOLVED","FIXED","Drag & Drop a shared repository model onto a valid target model for reuse","2015-10-23 23:49:34"
471556,"Vorto","Toolset","alexander.edelmann","RESOLVED","FIXED","A user can execute a code generator directly from an info model in the repository browser","2016-02-18 03:26:33"
473324,"Vorto","Vorto Repository","alexander.edelmann","RESOLVED","FIXED","Role based authorization to check-in new vorto models","2015-10-23 23:18:15"
473359,"Vorto","General","alexander.edelmann","RESOLVED","FIXED","Import Example Information - and Mapping Example models using a project wizard","2015-10-23 23:39:49"
473886,"Vorto","Vorto Repository","alexander.edelmann","RESOLVED","WONTFIX","Modularize Vorto Repository","2015-08-17 10:26:38"
474027,"Vorto","Code Generators","alexander.edelmann","RESOLVED","FIXED","Web Device Code Generator does not consider entities / enums","2015-10-13 05:06:28"
475466,"Vorto","Vorto Repository","alexander.edelmann","RESOLVED","FIXED","Model details page shows referenced models","2015-10-23 23:18:24"
476508,"Vorto","Vorto Repository","alexander.edelmann","RESOLVED","FIXED","Model details page should show author and creation date","2015-10-23 23:15:57"
476510,"Vorto","Vorto Repository","alexander.edelmann","RESOLVED","FIXED","Model details page should show all models using the currently viewed","2015-10-23 23:16:41"
476511,"Vorto","Vorto Repository","alexander.edelmann","RESOLVED","FIXED","Preview and Download of the Vorto DSL model file under details","2015-10-23 23:17:02"
476512,"Vorto","Vorto Repository","alexander.edelmann","RESOLVED","FIXED","Ensuring complete model integrity when deleting a model","2015-10-23 23:17:54"
476513,"Vorto","Vorto Repository","alexander.edelmann","RESOLVED","FIXED","Fix bug that Search index contains model references","2015-10-23 23:18:05"
480265,"Vorto","Vorto Repository","alexander.edelmann","RESOLVED","WONTFIX","Sign in to repository using Github user","2016-02-18 03:35:22"
