"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
289667,"WTP Common Tools","wst.common","ccc","NEW"," ---","Need to create new common jst ui feature","2010-03-16 15:35:24"
216924,"WTP Common Tools","wst.common","dimitar.giormov","NEW"," ---","Data models of contributed wizard pages are not loaded if the wizard is finished on the first page","2011-05-20 09:19:24"
335251,"WTP Common Tools","wst.common","shr31223","NEW"," ---","InterruptedException being logged by WorkbenchResourceHelper","2012-05-01 15:59:20"
301969,"WTP Common Tools","wst.common","stryker","NEW"," ---","Module Assembly page entries not editable with keyboard","2013-03-21 11:15:48"
243104,"WTP Common Tools","wst.validation","wst.validation-inbox","NEW"," ---","Need a way to add additional dependencies to existing validators","2009-04-30 11:47:34"
288953,"WTP Common Tools","wst.validation","wst.validation-inbox","NEW"," ---","Deprecate the old validation framework","2010-03-26 19:29:27"
220804,"WTP Common Tools","wst.common","cbridgha","NEW"," ---","ProjectUtilities can't handle EResource not in ResourceSet","2008-02-28 13:54:50"
236949,"WTP Common Tools","wst.common","cbridgha","NEW"," ---","org.eclipse.wst.common.component modified on project open","2008-07-24 09:26:48"
242730,"WTP Common Tools","wst.common","cbridgha","NEW"," ---","Calling IJavaProject.setRawClasspath from within a JUnit can lead to deadlock","2008-09-05 12:00:06"
260111,"WTP Common Tools","wst.common","cbridgha","NEW"," ---","NPE in J2EEElementChangedListener","2009-01-06 18:36:50"
268140,"WTP Common Tools","wst.common","cbridgha","NEW"," ---","ext point org.eclipse.wst.common.modulecore.componentimpl","2009-10-07 09:13:54"
282487,"WTP Common Tools","wst.common","cbridgha","NEW"," ---","some methods in ModuleCore's ArtifactEdit belong in EnterpriseArtifactEdit","2010-05-28 11:57:21"
328562,"WTP Common Tools","wst.common","cbridgha","NEW"," ---","WTPResourceFactoryRegistryKey used as a key in a HashMap but does not implement hashCode/equals","2010-10-25 13:30:29"
240419,"WTP Common Tools","wst.common","ccc","NEW"," ---","ProjectResourceSetImpl does not use content type in createResource(URI, String)","2010-05-27 11:44:16"
351599,"WTP Common Tools","wst.common","ccc","NEW"," ---","ConcurrentModificationException on faceted project creation","2011-07-08 13:06:37"
216081,"WTP Common Tools","wst.common","david_williams","NEW"," ---","remove cacheresource from wst.internet.cache","2008-01-22 03:00:56"
250027,"WTP Common Tools","wst.internet","deboer","NEW"," ---","Add support for parsing JSON to monitor","2008-10-07 17:41:51"
312469,"WTP Common Tools","wst.common","diegosr","NEW"," ---","ResourceTreeRoot isn't thread safe","2012-05-01 15:45:50"
221202,"WTP Common Tools","Faceted Project Framework","fproj-inbox","NEW"," ---","Enable capabilities when facets are installed","2012-01-03 14:32:16"
234892,"WTP Common Tools","Faceted Project Framework","fproj-inbox","NEW"," ---","[ui] Consider removing filtering of runtimes in facets selection panel","2012-01-03 14:32:21"
255038,"WTP Common Tools","Faceted Project Framework","fproj-inbox","NEW"," ---","Add the ability to deprecate a facet","2012-01-03 14:32:19"
259757,"WTP Common Tools","Faceted Project Framework","fproj-inbox","NEW"," ---","Rationalize framework interaction with ActionConfig.validate()","2012-01-03 14:32:21"
