"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
480744,"WTP EJB Tools","jst.ejb","dimitar.giormov","NEW"," ---","[xdoclet] Migrate Preference store of xdoclet plugins so they will not use legacy logic","2015-10-27 05:48:58"
369629,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","xDoclet fails on Resources that are not open","2012-01-25 08:51:50"
372436,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","Support EJB 3.1","2013-05-08 14:53:31"
385349,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","EJBModuleExtensionImpl.getEJBJar results in NPE when workspace has a project with a (non-EJB) jar file","2012-07-17 16:48:02"
461418,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","ClassCastException when creating EJB 3.0 project without ejb-jar.xml option","2015-03-04 11:42:02"
468245,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","NEW"," ---","Value 'False' is not legal","2015-05-26 09:53:52"
407770,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","REOPENED"," ---","SessionBean model needs no-interface view","2013-05-15 14:27:43"
368748,"WTP EJB Tools","jst.ejb","ccc","RESOLVED","FIXED","EJB Client creation and removal is too tied to EARs","2012-01-20 15:10:53"
427682,"WTP EJB Tools","jst.ejb","ccc","RESOLVED","FIXED","[CBI] Enable junit tests for ejb repo","2014-02-27 13:45:41"
426807,"WTP EJB Tools","jst.ejb","chavezjc","RESOLVED","FIXED","Asynchronous session bean support (wizard changes)","2014-02-13 12:27:50"
426809,"WTP EJB Tools","jst.ejb","chavezjc","RESOLVED","FIXED","Non-persistent EJB Timer service (wizard changes)","2014-02-13 12:28:34"
431668,"WTP EJB Tools","jst.ejb","chavezjc","RESOLVED","FIXED","Incorrect warning message in the EJB - Session Bean Creation Wizard is displayed","2014-04-02 12:20:37"
431674,"WTP EJB Tools","jst.ejb","chavezjc","RESOLVED","FIXED","EJB Timer wizard does not refresh when the Project changes","2014-04-02 12:20:53"
414704,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","RESOLVED","FIXED","[CBI] webtools.ejb patch for building with Maven/Tycho","2013-08-21 14:26:57"
419258,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","RESOLVED","FIXED","Pom version updates ejb","2013-10-15 02:48:36"
425816,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","RESOLVED","WORKSFORME","Move EJb HTTPS project to Gerrit","2014-02-18 15:00:13"
435540,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","RESOLVED","FIXED","Using Eclipse Luna RC2 candidate creation of xdoclet session bean fails","2014-06-12 04:29:13"
435958,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","RESOLVED","FIXED","[CBI] Set Eclipse-SourceReferences for EJB","2014-06-02 09:32:02"
480378,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","RESOLVED","INVALID","Enable Gerrit on your repos - ejb","2015-10-22 11:43:21"
480469,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","RESOLVED","WORKSFORME","Neon: cannot create XDoclet EJB","2015-10-27 05:48:58"
367910,"WTP EJB Tools","jst.ejb","shr31223","RESOLVED","FIXED","EjbClientProjectCreationOperation fails creating EJB client if the project does not have target runtime","2012-01-11 10:44:26"
368506,"WTP EJB Tools","jst.ejb","shr31223","RESOLVED","FIXED","Allow to change the default package for interfaces when creating new session EJBs","2012-02-07 13:35:04"
368737,"WTP EJB Tools","jst.ejb","shr31223","RESOLVED","FIXED","Allow adopters to add @Remote and @Local annotations to EJB class when creating a session EJB","2012-01-20 12:35:58"
368749,"WTP EJB Tools","jst.ejb","shr31223","RESOLVED","FIXED","Allow to change the default package for interfaces when creating new session EJBs","2012-01-20 13:02:20"
369444,"WTP EJB Tools","jst.ejb","shr31223","RESOLVED","FIXED","Add session bean should not always create a ejbModule source folder in the client project","2012-01-26 11:42:07"
369832,"WTP EJB Tools","jst.ejb","shr31223","RESOLVED","FIXED","Add session bean should not always create a ejbModule source folder in the client project","2012-01-26 17:26:48"
369985,"WTP EJB Tools","jst.ejb","shr31223","RESOLVED","FIXED","Component interfaces for EJB 3.x beans are created with wrong package declaration if default package is changed in wizard","2012-02-07 13:35:32"
370256,"WTP EJB Tools","jst.ejb","shr31223","RESOLVED","FIXED","Component interfaces for EJB 3.x beans are created with wrong package declaration if default package is changed in wizard","2012-02-01 11:33:24"
459716,"WTP EJB Tools","jst.ejb","jst.ejb-inbox","CLOSED","FIXED","Version update for WTP 3.7.0 - webtools.ejb","2015-05-07 13:12:23"
