"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
267447,"WTP ServerTools","wst.server","arvera","NEW"," ---","TCP/IP monitor displays the 'size' of the requests incorrectly","2010-06-16 11:16:41"
291118,"WTP ServerTools","wst.server","arvera","NEW"," ---","Add/Remove should call publish(IModule[])","2010-11-04 15:07:23"
294099,"WTP ServerTools","jst.server","arvera","NEW"," ---","Add and Remove Projects window does not comply with Eclipse/IBM UI guidelines","2011-06-08 10:20:30"
306412,"WTP ServerTools","wst.server","arvera","NEW"," ---","Exceptions are consumed/hidden from callers","2010-08-09 16:55:27"
307607,"WTP ServerTools","wst.server","arvera","NEW"," ---","ServerView2: Modules in the view do not show the deployed valued","2010-11-02 16:20:09"
343751,"WTP ServerTools","wst.server","arvera","NEW"," ---","'Run on Server' launch shortcut shows up everywhere","2016-12-11 07:10:09"
247891,"WTP ServerTools","wst.server","deboer","NEW"," ---","Consider having all ""remote"" server adapers","2017-10-11 16:27:52"
235383,"WTP ServerTools","wst.server","arvera","NEW"," ---","TCP/IP Monitor truncates long SOAP messages","2008-11-06 15:34:12"
236463,"WTP ServerTools","wst.server","arvera","NEW"," ---","The maximum value for the timeout spinners is confusing","2010-04-20 13:45:53"
236976,"WTP ServerTools","wst.server","arvera","NEW"," ---","UI for timeouts in server editor could be improved","2010-02-11 16:26:23"
237151,"WTP ServerTools","wst.server","arvera","NEW"," ---","Apps on Servers view does not have a publish failed status","2008-06-16 10:15:27"
238420,"WTP ServerTools","wst.server","arvera","NEW"," ---","Servers view - ""Restart In Debug"" action name doesn't fit for our case","2008-10-21 10:17:37"
238692,"WTP ServerTools","wst.server","arvera","NEW"," ---","ServerLaunchConfigurationTab initializeFrom method updates server combo but not runtime label","2008-06-27 09:00:33"
239162,"WTP ServerTools","wst.server","arvera","NEW"," ---","move isCompatibleWithLaunchMode to utils","2008-07-01 23:02:26"
240698,"WTP ServerTools","wst.server","arvera","NEW"," ---","Save Resource dialog shows up repeatedly after clicking 'No' when server is starting","2014-07-20 08:37:14"
243636,"WTP ServerTools","wst.server","arvera","NEW"," ---","'Show Servers view when state changes' trigger on the view","2008-08-12 11:39:05"
243806,"WTP ServerTools","wst.server","arvera","NEW"," ---","Improvements to the Add/Remove wizard","2009-10-01 17:28:54"
243807,"WTP ServerTools","wst.server","arvera","NEW"," ---","[EaseOfUse] Server Editor improvements","2011-06-08 10:14:48"
244862,"WTP ServerTools","wst.server","arvera","NEW"," ---","Closing the server project doesn't call stop server","2009-06-03 10:11:00"
247393,"WTP ServerTools","wst.server","arvera","NEW"," ---","Support filtering in Servers view","2008-09-16 08:16:42"
249550,"WTP ServerTools","wst.server","arvera","NEW"," ---","Use SocketUtil.isLocalhost() to validate entries in the hostname in the server editor","2008-10-06 23:43:06"
249964,"WTP ServerTools","wst.server","arvera","NEW"," ---","[Publishing] Provide option to disable start/stop timeouts","2011-10-17 08:32:40"
252239,"WTP ServerTools","wst.server","arvera","NEW"," ---","Common Servers Views","2011-05-16 21:01:26"
252607,"WTP ServerTools","wst.server","arvera","NEW"," ---","Need to map resource changes to Modules","2009-02-03 11:35:06"
261306,"WTP ServerTools","wst.server","arvera","NEW"," ---","Renaming a runtime leaves all servers with stale references","2009-05-14 11:00:59"
262306,"WTP ServerTools","wst.server","arvera","NEW"," ---","Need to jar-up bundles for Galileo","2009-05-13 16:46:56"
262456,"WTP ServerTools","wst.server","arvera","NEW"," ---","Improve locking rules for start/publish job","2009-02-06 11:33:22"
262647,"WTP ServerTools","wst.server","arvera","NEW"," ---","NewServerWizard triggers  bundle loading in UI thread","2009-01-28 11:54:41"
