"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
569091,"WTP Webservices","jst.ws","jst.ws-inbox","NEW"," ---","Upgrade jst.ws to JAXB 2.3.3","2020-11-29 15:42:48"
496797,"WTP Webservices","jst.ws.jaxws","jst.ws.jaxws-inbox","NEW"," ---","Unable to locate wsdl warning when using classpath: location","2016-06-27 03:48:49"
525487,"WTP Webservices","jst.ws.jaxws","jst.ws.jaxws-inbox","NEW"," ---","CXF runtime selection with Java 9 requires addition of java.se.ee module to vm arguments","2017-10-03 05:24:34"
525491,"WTP Webservices","jst.ws.jaxws","jst.ws.jaxws-inbox","NEW"," ---","Put an upper bound on the jst.java facet requirement in the cxf.core facet definition","2017-10-03 06:01:53"
531822,"WTP Webservices","jst.ws.jaxws","jst.ws.jaxws-inbox","NEW"," ---","Compile error in AddUnimplementedMethodCorrectionProposal due to changes in JDT StubUtility2","2018-02-28 16:23:31"
561880,"WTP Webservices","jst.ws.jaxws","jst.ws.jaxws-inbox","NEW"," ---","endorsed dirs flags should not be used when creating webservices client with java9 or higher","2020-06-10 10:45:47"
487741,"WTP Webservices","wst.wsdl","keith.chong.ca","NEW"," ---","Issue when validating WSDL : Can't find resource for bundle java.util.PropertyResourceBundle, key _REF_FILE_ERROR_MESSAGE","2017-05-11 15:16:01"
492030,"WTP Webservices","jst.ws","keith.chong.ca","NEW"," ---","When jaxrs facet is modified. Web module facet version has to be updated accordingly.","2016-04-19 13:46:15"
495889,"WTP Webservices","jst.ws","keith.chong.ca","NEW"," ---","Web Service Client wizard shows incorrect validation error message","2017-05-11 15:18:24"
502466,"WTP Webservices","wst.ws","wst.ws-inbox","NEW"," ---","Not able to generate all the classes needed for development of webservice","2016-09-28 11:51:15"
548828,"WTP Webservices","wst.ws","wst.ws-inbox","NEW"," ---","Unsigned content on 2019-06 update site","2019-08-30 16:52:56"
493398,"WTP Webservices","wst.wsdl","wst.wsdl-inbox","NEW"," ---","Cannot create WSDL file in remote projects","2016-05-11 04:57:26"
494503,"WTP Webservices","wst.wsdl","wst.wsdl-inbox","NEW"," ---","Web Service Explorer open wsdl","2016-05-25 06:20:35"
534452,"WTP Webservices","wst.wsdl","wst.wsdl-inbox","NEW"," ---","cannot edit WSDL and XSD files due to a huge combo-box that appears...","2018-05-07 17:43:51"
535813,"WTP Webservices","wst.wsdl","wst.wsdl-inbox","NEW"," ---","WS-I TAD document not found","2019-03-27 03:47:06"
536197,"WTP Webservices","wst.wsdl","wst.wsdl-inbox","NEW"," ---","Web Service Java client generator failing to emit a class with valid WSDL","2018-09-06 14:15:37"
552062,"WTP Webservices","wst.wsdl","wst.wsdl-inbox","NEW"," ---","""New WSDL File"" Wizard strips last character of target namespace prefix","2020-01-28 13:21:46"
534064,"WTP Webservices","wst.wsi","wst.wsi-inbox","NEW"," ---","Broken Links in documentation","2018-04-26 10:08:56"
568138,"WTP Webservices","wst.wsi","wst.wsi-inbox","NEW"," ---","Compile error against Java 11","2020-11-20 17:37:02"
492040,"WTP Webservices","jst.ws","keith.chong.ca","ASSIGNED"," ---","The JAX-RS facet should default to 2.0 instead of 1.1","2018-07-11 00:44:38"
531063,"WTP Webservices","jst.ws","keith.chong.ca","ASSIGNED"," ---","Add 2.1 constant to IJAXRSCoreConstant","2018-02-12 14:04:42"
552580,"WTP Webservices","jst.ws","keith.chong.ca","ASSIGNED"," ---","Increase minor version of plugins due to change in minimum BREE","2019-10-30 19:40:59"
520277,"WTP Webservices","jst.ws","jst.ws-inbox","RESOLVED","FIXED","Unable to consume Lucene indexes - should be rebuilt with Lucene 6.1","2018-06-07 16:38:01"
530615,"WTP Webservices","jst.ws.jaxws","jst.ws.jaxws-inbox","RESOLVED","FIXED","org.eclipse.webtools.webservices:org.eclipse.jst.ws.jaxws.utils changed but not upversioned","2018-06-07 15:21:36"
485975,"WTP Webservices","jst.ws","keith.chong.ca","RESOLVED","WORKSFORME","JAX-RS facet change doesn't trigger or update runtime classpath container.","2017-07-24 16:09:35"
489242,"WTP Webservices","wst.ws","keith.chong.ca","RESOLVED","FIXED","Bump up plugins versions for 3.8.0","2016-03-17 16:04:47"
489996,"WTP Webservices","jst.ws","keith.chong.ca","RESOLVED","NOT_ECLIPSE","Wrong warning ""JSR-311, 3.2: The class java.util.UUID should have a constructor...""","2016-04-14 13:03:15"
494208,"WTP Webservices","jst.ws","keith.chong.ca","RESOLVED","FIXED","Add Java 8 facet version to JavaFacetUtil","2016-05-24 11:08:16"
509094,"WTP Webservices","wst.ws","keith.chong.ca","RESOLVED","FIXED","Fix incorrect copyright headers in web services explorer plugin","2016-12-12 15:21:22"
511137,"WTP Webservices","jst.ws","keith.chong.ca","RESOLVED","FIXED","Version tolerance increase due to change in j2ee and modulecore","2017-02-09 14:09:42"
515470,"WTP Webservices","wst.ws","keith.chong.ca","RESOLVED","FIXED","Version updates needed for WTP 3.9.0","2017-04-28 18:04:43"
519793,"WTP Webservices","wst.wsdl","keith.chong.ca","RESOLVED","FIXED","Break circular deps between webservices and jeetools","2018-01-17 09:46:14"
525505,"WTP Webservices","wst.wsdl","keith.chong.ca","RESOLVED","FIXED","Web Services Explorer failure when Eclipse launched with Java 9","2017-10-05 10:51:49"
532601,"WTP Webservices","wst.ws","keith.chong.ca","RESOLVED","INVALID","Features (wst.ws_core, wst.ws_ui) do not include features/plugins anymore, instead they requires them. Intention or accident?","2018-06-05 12:48:00"
532717,"WTP Webservices","jst.ws","keith.chong.ca","RESOLVED","FIXED","[10] Update Web Services to support Java 10 - 3.9.3a","2018-03-21 18:52:07"
535871,"WTP Webservices","jst.ws","keith.chong.ca","RESOLVED","FIXED","Update Web Services to support Java 11","2018-09-06 14:10:40"
543803,"WTP Webservices","jst.ws","keith.chong.ca","RESOLVED","FIXED","Update copyrights and licenses to EPL 2.0","2019-03-13 09:33:16"
545038,"WTP Webservices","jst.ws","keith.chong.ca","RESOLVED","FIXED","Update copyrights and licenses to EPL 2.0 - Axis2, about.html, other manual changes","2019-03-13 09:33:14"
546748,"WTP Webservices","jst.ws","keith.chong.ca","RESOLVED","FIXED","Add Java 12 facet to FacetUtil","2019-05-23 14:09:48"
492109,"WTP Webservices","jst.ws","mistria","RESOLVED","FIXED","Contribute Jax-RS project detection to Smart Importer","2018-03-07 12:37:03"
563155,"WTP Webservices","jst.ws.jaxws","mistria","RESOLVED","FIXED","JAXWSJavaCompletionProposalComputer requires UI Thread","2020-09-11 20:32:00"
526333,"WTP Webservices","jst.ws","nboldt","RESOLVED","FIXED","support building with Tycho 1.0","2017-12-18 19:59:07"
537021,"WTP Webservices","wst.wsdl","nboldt","RESOLVED","FIXED","NPE thrown in org.apache.maven.surefire.junit4.JUnit4Provider.org.eclipse.wst.wsdl.tests.AllTestCases (from org.eclipse.wst.wsdl.tests.AllTestCases)","2018-08-16 18:04:06"
534747,"WTP Webservices","jst.ws.jaxws","shane_clarke","RESOLVED","FIXED","Use import-package for deps that can be supplied by the jre","2018-06-04 09:23:45"
539771,"WTP Webservices","jst.ws.jaxws","shane_clarke","RESOLVED","FIXED","Java 11 support in the jaxws component","2018-11-05 19:46:42"
544146,"WTP Webservices","jst.ws.jaxws","shane_clarke","RESOLVED","FIXED","Update copyrights and licenses to EPL 2.0","2019-03-13 09:33:12"
528792,"WTP Webservices","jst.ws","stryker","RESOLVED","FIXED","Find a new home for [javaee] enterprise and web features which require webservices","2018-02-02 14:49:19"
530261,"WTP Webservices","wst.ws","wst.ws-inbox","RESOLVED","FIXED","[full component] Merge 3 webservices repos into 1","2018-02-02 14:49:00"
495212,"WTP Webservices","jst.ws","jst.ws-inbox","CLOSED","WONTFIX","NPE thrown when generating client into Application Client Project with no target runtime","2016-06-02 11:51:05"
518395,"WTP Webservices","jst.ws","keith.chong.ca","CLOSED","FIXED","Add support for JAX-RS 2.1","2018-07-26 11:19:53"
525337,"WTP Webservices","jst.ws","keith.chong.ca","CLOSED","FIXED","Update Web Services to support Java 9","2018-03-21 13:37:15"
531067,"WTP Webservices","jst.ws","keith.chong.ca","CLOSED","FIXED","[Photon] Add 2.1 constant to IJAXRSCoreConstant","2018-07-09 12:36:53"
531352,"WTP Webservices","jst.ws","keith.chong.ca","CLOSED","FIXED","It's time to drop support for axis","2018-07-26 11:18:05"
