"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
444096,"Wakaama","Core","wakaama-inbox","UNCONFIRMED"," ---","Reading a whole object should return an array of object instances","2014-09-15 08:03:53"
433419,"Wakaama","Core","wakaama-inbox","NEW"," ---","Initial Contribution","2014-04-24 09:55:49"
435063,"Wakaama","Core","wakaama-inbox","NEW"," ---","[examples] Provide a sample for Raspberry Pi","2014-05-16 09:10:34"
447605,"Wakaama","Core","wakaama-inbox","NEW"," ---","[content-type] wakaama don't use CoAP content-type/media-type information","2014-10-16 12:48:11"
470391,"Wakaama","Core","wakaama-inbox","NEW"," ---","use <inttypes.h> macros for printf like function.","2015-06-17 10:58:23"
470399,"Wakaama","Core","wakaama-inbox","NEW"," ---","remove implicit cast in er-coap-13.c","2015-06-17 11:46:08"
471116,"Wakaama","Core","wakaama-inbox","NEW"," ---","Lwm2mClient connection issue (IPv4/Ipv6)","2015-06-26 06:39:54"
519376,"Wakaama","Core","wakaama-inbox","REOPENED"," ---","Wakaama: Remote Denial of Service","2017-12-18 16:10:32"
442305,"Wakaama","Core","wakaama-inbox","RESOLVED","FIXED","[move] transfer Wakaama project to top-level IoT project","2014-08-28 14:49:02"
447601,"Wakaama","Core","wakaama-inbox","RESOLVED","FIXED","[tlv] integer tlv encoding","2015-03-16 09:23:32"
465314,"Wakaama","Core","wakaama-inbox","RESOLVED","FIXED","Client throws a segmentation fault when a read is done on Object 2 (Access Control) resources","2015-04-24 10:21:27"
