"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
446400,"WindowBuilder","Core","wb.core-inbox","UNCONFIRMED"," ---","[wb] Designer [1.7.0.r44x201405021445.201410082322]: org.eclipse.jface.text.BadLoc... (err_grp: 4daa2731)","2014-10-09 02:51:13"
447473,"WindowBuilder","Core","wb.core-inbox","UNCONFIRMED"," ---","[wb] CCE in ViewerInputParser.parseExpression - LabelProviderInfo cannot be cast to ObservableMapLabelProviderInf","2014-10-16 03:26:49"
444465,"WindowBuilder","RCP","wb.rcp-inbox","UNCONFIRMED"," ---","Unable to load *.wbp-component.xml description for org.eclipse.jface.viewers.CheckboxTableViewer ... (err_grp: 56ef704b)","2015-06-02 06:55:11"
447474,"WindowBuilder","RCP","wb.rcp-inbox","UNCONFIRMED"," ---","[wb] NPE in EditPart.getViewer","2014-11-24 01:44:08"
411264,"WindowBuilder","Swing","Konstantin.Scheglov","NEW"," ---","Double click on button fails","2013-06-20 11:24:29"
422813,"WindowBuilder","Core","Konstantin.Scheglov","NEW"," ---","Window builder generates code with compile error","2013-11-29 12:29:59"
423560,"WindowBuilder","XWT","Konstantin.Scheglov","NEW"," ---","org.eclipse.wb.internal.core.utils.check.AssertionFailedException while deleting tab with gridlayout","2013-12-09 12:24:45"
431226,"WindowBuilder","Swing","Konstantin.Scheglov","NEW"," ---","IndexOutOfBoundsException in WindowBuilder when super class defines getter for menu","2014-04-15 05:34:00"
440591,"WindowBuilder","Swing","Konstantin.Scheglov","NEW"," ---","Unable to show GUI when using JScrollPane.setRowHeader(JComponent);","2014-08-09 15:35:50"
441139,"WindowBuilder","Swing","Konstantin.Scheglov","NEW"," ---","WindowBuilder Pro: Exception during live image creation.","2014-10-24 07:45:10"
441457,"WindowBuilder","Swing","Konstantin.Scheglov","NEW"," ---","Switch to Design pane error","2015-03-10 14:21:18"
444754,"WindowBuilder","XWT","Konstantin.Scheglov","NEW"," ---","WindowBuilder crashes when attempting to align components","2014-09-23 22:43:34"
410918,"WindowBuilder","Core","mrrussell","NEW"," ---","Add p2 index file to the build","2013-06-17 18:40:54"
497845,"WindowBuilder","Core","pde-apitools-inbox","NEW"," ---","Form displaying process slows down (WindowBuilder Editor) on particular forms opening","2016-07-13 10:47:55"
460201,"WindowBuilder","Docs","sablin.andrey","NEW"," ---","EMFProperties in data binding results in internal error","2015-02-22 23:07:35"
413283,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","Unhandled event loop exception thrown by Source Editor","2013-07-18 16:30:08"
413821,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","label for spinner","2013-07-29 05:27:38"
419793,"WindowBuilder","RCP","wb.core-inbox","NEW"," ---","WB can not render Composite in SWT","2013-10-21 13:41:56"
429884,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","Adding a JTextField to a cell (drag & drop) of a GridBagLayout causes error","2014-03-08 20:21:42"
447002,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","This could be caused by a WindowBuilder bug or by a misconfiguration issue, conflict, partial update, etc.","2016-03-28 04:28:57"
473245,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","WindowBuilder cannot parse call to parameterized JComboBox constructor","2015-07-21 19:44:33"
475694,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","ClassCastException in WindowBuilder","2015-08-24 06:09:14"
476057,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","WindowBuilder fails to display JFrame object","2015-08-27 11:07:53"
478955,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","java.lang.IllegalArgumentException: Argument not valid","2015-10-05 00:16:42"
480022,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","jgoodies Crash layout change","2015-10-17 08:25:49"
480790,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","WindowBuilder encountered unexpected internal error. At new Formlayout","2015-10-27 12:26:43"
483073,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","No root methods accepted when @PostConstruct located in abstract super class","2015-11-26 04:17:07"
500685,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","Error with window builder 4.6 (neon)","2016-09-01 11:26:55"
522552,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","unable to parse source bug in  eclipse windowbuilder","2017-09-21 01:53:10"
527769,"WindowBuilder","Core","wb.core-inbox","NEW"," ---","WB @ Java8: Failure on adding event handler to UI with existing handler using method refs","2017-11-26 16:59:01"
527771,"WindowBuilder","Docs","wb.docs-inbox","NEW"," ---","WB: Update installation instructions and system requirements in the docs","2017-11-26 17:45:21"
422400,"WindowBuilder","RCP","wb.rcp-inbox","NEW"," ---","Freshly created Application Window class fails to display Design view","2017-09-12 07:17:25"
438011,"WindowBuilder","RCP","wb.rcp-inbox","NEW"," ---","Define custom key for variable name used for ""Remember variable name in component""","2014-06-24 05:27:17"
466923,"WindowBuilder","RCP","wb.rcp-inbox","NEW"," ---","Says its missing a line","2015-05-09 22:48:18"
526016,"WindowBuilder","RCP","wb.rcp-inbox","NEW"," ---","Cannot configure CellEditor in EMF Databinding due to 'Property Class is abstract.'","2017-12-20 13:19:52"
527786,"WindowBuilder","RCP","wb.rcp-inbox","NEW"," ---","ClassCastException when IValidator is also IConverter","2017-11-30 06:25:01"
528407,"WindowBuilder","RCP","wb.rcp-inbox","NEW"," ---","Create Oomph installer to contribute to WindowBuilder","2017-12-11 06:27:05"
432396,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","NPE when parsing Frame with custom component","2014-04-15 04:07:00"
433955,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Unable to find constructor when using generics with extends","2014-05-08 10:31:59"
435714,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","AssertionFailedException on deleting a (custom) component from a JPanel (Swing, FormLayout)","2014-05-25 10:51:42"
439191,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Not able to show the GUI","2015-05-28 01:17:23"
441662,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","WindowBuilder encountered unexpected internal error","2016-02-03 09:46:13"
449411,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Window Builder Internal Error Using setRowHeaderView() on Scroll Pane","2015-03-17 10:14:46"
454363,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Window Builder Crashes upon entering in a text field","2014-12-07 20:17:52"
462150,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","WindowBuilder was no able to show the GUI","2020-07-20 05:40:59"
465295,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Windows Builder Crash after runing the app, need to close and open Eclipse again","2015-04-26 16:06:32"
470526,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Components rendered incompletely and erratically in design mode","2015-07-22 21:28:48"
475061,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Unable to parse source.","2015-08-17 22:02:36"
484744,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Refactoring an event handler causes GUI internal error","2015-12-20 20:42:05"
485995,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Window Builder not displaying RGBA transparency when using transparent background color","2016-01-16 16:24:35"
485996,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","JLabel icon not recognized when created in Constructor","2016-01-16 16:24:21"
489432,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","WindowBuilder parse error","2016-03-11 08:45:36"
490176,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Window Builder error. No detailed description found for error.","2019-11-07 03:44:09"
491449,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","WindowBuilder crash on background color change","2016-06-23 17:51:33"
499250,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","WindowBuilder crashes when creating a JRadioButton","2016-08-05 14:15:46"
520089,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Absolute layout - checkbox Use ""free"" component placemente style inverted","2017-07-24 04:50:35"
526599,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Error not Resolve","2017-10-28 09:56:04"
527076,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","WindowBuilder - No detailed description found for error (1100)","2017-11-09 13:31:23"
527994,"WindowBuilder","Swing","wb.swing-inbox","NEW"," ---","Two different exceptions when adding swing component with Layout assistant open","2017-12-01 03:06:27"
348970,"WindowBuilder","Core","Alexander.Mitin","ASSIGNED"," ---","SpringLayout/FormLayout. Attach should be intuitive, not just any acceptable","2012-06-04 17:33:41"
348972,"WindowBuilder","Core","Alexander.Mitin","ASSIGNED"," ---","Palette search/filtering","2012-06-04 17:33:13"
348973,"WindowBuilder","Core","Alexander.Mitin","ASSIGNED"," ---","Platform-specific mouse cursors","2012-06-04 17:32:48"
348974,"WindowBuilder","Core","Alexander.Mitin","ASSIGNED"," ---","Absolute layout should set size on create only if there was resize on create","2012-06-04 17:32:17"
348975,"WindowBuilder","Core","Alexander.Mitin","ASSIGNED"," ---","FormLayout/SpringLayout (automatic) placement engine must be enhanced","2012-06-04 17:31:54"
356398,"WindowBuilder","RCP","Alexander.Mitin","ASSIGNED"," ---","Controls in an RTL composite with AbsoluteLayout move to opposite direction","2012-06-04 17:30:47"
371964,"WindowBuilder","Swing","Alexander.Mitin","ASSIGNED"," ---","SpringLayout.HORIZONTAL_CENTER not supported","2012-06-04 17:22:53"
348064,"WindowBuilder","Core","Konstantin.Scheglov","ASSIGNED"," ---","Support for externally contributed actions in properties page context menu","2012-06-04 17:39:19"
348592,"WindowBuilder","Core","Konstantin.Scheglov","ASSIGNED"," ---","Restore tooltip for too long value in properties table.","2012-06-04 17:38:43"
348595,"WindowBuilder","Core","Konstantin.Scheglov","ASSIGNED"," ---","Provide better support for generic properties","2012-06-04 17:38:17"
348596,"WindowBuilder","Core","Konstantin.Scheglov","ASSIGNED"," ---","FlowContainer in tree. Allow to show target, but return ""null"" Command","2012-06-04 17:37:53"
348745,"WindowBuilder","Core","Konstantin.Scheglov","ASSIGNED"," ---","Exclude FindBugs annotations from build","2012-06-04 17:37:27"
348888,"WindowBuilder","Swing","Konstantin.Scheglov","ASSIGNED"," ---","Consider using just CreateRequest instead of Action_DropRequest","2012-06-04 17:36:42"
348904,"WindowBuilder","RCP","Konstantin.Scheglov","ASSIGNED"," ---","Add MigLayout for SWT","2012-06-04 17:34:58"
348906,"WindowBuilder","Swing","Konstantin.Scheglov","ASSIGNED"," ---","MigLayout: add support for docking","2012-06-04 17:34:28"
348977,"WindowBuilder","RCP","Konstantin.Scheglov","ASSIGNED"," ---","Add support for morphing JFace Viewers","2012-06-04 17:31:34"
349692,"WindowBuilder","Docs","Konstantin.Scheglov","ASSIGNED"," ---","Document existing APIs and extension points","2012-06-04 17:31:11"
363611,"WindowBuilder","Swing","Konstantin.Scheglov","ASSIGNED"," ---","Add Support for setIconImages(List<? extends Image> icons)","2012-06-04 17:30:12"
368643,"WindowBuilder","Core","Konstantin.Scheglov","ASSIGNED"," ---","Designer crashes on opening EntryPoint of App created with gwt-maven-plugin","2012-06-04 17:26:15"
370052,"WindowBuilder","Core","Konstantin.Scheglov","ASSIGNED"," ---","opening CSS with CSS editor causes stack trace","2013-09-08 12:31:45"
375157,"WindowBuilder","Swing","Konstantin.Scheglov","ASSIGNED"," ---","IllegalArgumentException morphing a tabbedpanel","2012-06-04 17:21:36"
375251,"WindowBuilder","RCP","Konstantin.Scheglov","ASSIGNED"," ---","No Design View when there is a createButtonsForButtonBar method present when designing a JFace Dialog","2012-06-04 17:20:34"
377378,"WindowBuilder","Core","Konstantin.Scheglov","ASSIGNED"," ---","Let SWT Designer create composite for custom entry points","2012-06-04 17:20:11"
