"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
286604,"Working Groups","Pulsar","pulsar-inbox","NEW"," ---","eclipselink can not process the orm.xml properly if there is named-native-query without result-set-mapping","2009-08-14 03:31:48"
283779,"Working Groups","Pulsar","pulsar-inbox","RESOLVED","INVALID","Ensayo","2013-07-03 09:46:33"
291969,"Working Groups","Pulsar","pulsar-inbox","RESOLVED","FIXED","First Task","2009-10-10 01:22:33"
291974,"Working Groups","Pulsar","pulsar-inbox","RESOLVED","FIXED","Java is too hard for me...","2009-10-10 04:47:36"
292093,"Working Groups","Pulsar","pulsar-inbox","RESOLVED","WONTFIX","Make a KHNP ESR","2020-02-14 14:27:01"
292094,"Working Groups","Pulsar","pulsar-inbox","RESOLVED","WONTFIX","SDA Documentation Completion","2020-02-14 14:27:43"
292332,"Working Groups","Pulsar","pulsar-inbox","RESOLVED","FIXED","Error","2009-10-14 20:19:13"
292899,"Working Groups","Pulsar","pulsar-inbox","RESOLVED","INVALID","How to use a Web Service !!! - Very Important !!","2010-05-12 09:57:44"
292900,"Working Groups","Pulsar","pulsar-inbox","RESOLVED","WONTFIX","BPM and Web Dynpro for Java Integration - Guidelines","2020-02-14 14:27:18"
309226,"Working Groups","Pulsar","pulsar-inbox","RESOLVED","INVALID","Adicionar projeto Struts2 no repositório","2010-05-12 09:57:56"
309229,"Working Groups","Pulsar","pulsar-inbox","RESOLVED","INVALID","aaaaaaaaaaaaaaa","2010-05-12 09:55:09"
328585,"Working Groups","Pulsar","pulsar-inbox","RESOLVED","INVALID","???????","2013-07-03 09:47:50"
347715,"Working Groups","Pulsar","pulsar-inbox","RESOLVED","FIXED","jhyujgjkgjkgj","2013-07-03 09:47:24"
272698,"Working Groups","Pulsar","pulsar-inbox","CLOSED","INVALID","Design a Pulsar Graphic","2014-05-29 12:56:33"
