"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
267191,"XWT","Core","e4.xwt-inbox","NEW"," ---","DnD support","2013-01-24 15:32:07"
274068,"XWT","Core","e4.xwt-inbox","NEW"," ---","Package several .xwt/.java files as one single archive","2013-01-24 15:31:32"
274929,"XWT","Core","e4.xwt-inbox","NEW"," ---","The control browser is invalid","2013-01-24 15:31:27"
290814,"XWT","Core","e4.xwt-inbox","NEW"," ---","xml data provider not complete","2013-01-24 15:31:19"
291741,"XWT","Core","e4.xwt-inbox","NEW"," ---","[emf binding] manual refresh of viewers needed when model changes","2013-01-24 15:32:05"
295456,"XWT","Core","e4.xwt-inbox","NEW"," ---","[XWT] Failures in EMF tests","2013-01-24 15:32:05"
296415,"XWT","Core","e4.xwt-inbox","NEW"," ---","allow for better modularity by referenceable forms","2013-01-24 15:32:15"
297166,"XWT","Core","e4.xwt-inbox","NEW"," ---","Allow general behavior for structured viewers","2013-01-24 15:31:58"
297996,"XWT","Core","e4.xwt-inbox","NEW"," ---","XWT does not log errors to standard Eclipse Error Log","2013-01-24 15:31:40"
298004,"XWT","Core","e4.xwt-inbox","NEW"," ---","In ""New UI Element"" wizard, ""Data  Context Type"" should support ctrl-space like lookup","2013-01-24 15:32:08"
298224,"XWT","Core","e4.xwt-inbox","NEW"," ---","[Animation] support by integrating the Trident","2013-01-24 15:31:39"
299236,"XWT","Core","e4.xwt-inbox","NEW"," ---","interaction of independently loaded xwt forms","2013-01-24 15:31:27"
304153,"XWT","Core","e4.xwt-inbox","NEW"," ---","New UI Presentation fails with an EMF Model with an EReference","2013-01-24 15:32:11"
305504,"XWT","Core","e4.xwt-inbox","NEW"," ---","Exception in thread ""main"" java.lang.NoClassDefFoundError: org/eclipse/core/runtime/ISafeRunnable","2013-01-24 15:31:34"
305790,"XWT","Core","e4.xwt-inbox","NEW"," ---","[DataBinding] dataContext switch doesn't work with nested component","2013-01-24 15:31:44"
306351,"XWT","Core","e4.xwt-inbox","NEW"," ---","ScrolledComposite does not work","2013-01-24 15:31:33"
309078,"XWT","Core","e4.xwt-inbox","NEW"," ---","TreeViewer with TreeColumn","2013-01-24 15:32:15"
309079,"XWT","Core","e4.xwt-inbox","NEW"," ---","Support for TableColumnLayout","2013-01-24 15:31:22"
309259,"XWT","Core","e4.xwt-inbox","NEW"," ---","Default alignment of labels is ""least optimal""","2013-01-24 15:31:58"
309452,"XWT","Core","e4.xwt-inbox","NEW"," ---","No set notification for TableViewerColumnTextProperty","2013-01-24 15:31:54"
310241,"XWT","Core","e4.xwt-inbox","NEW"," ---","Forms API. Add ColumnLayout and TableWrapLayout","2013-01-24 15:32:04"
312293,"XWT","Core","e4.xwt-inbox","NEW"," ---","Spurious assertion failures (""Element namespace is defined"")","2016-02-23 16:51:32"
314018,"XWT","Core","e4.xwt-inbox","NEW"," ---","[Tests]  Add testcases for ExpandableComposite","2013-01-24 15:31:44"
316055,"XWT","Core","e4.xwt-inbox","NEW"," ---","converter property cannot be set for MultiBinding due to Introspector odd behavior","2013-01-24 15:31:37"
316805,"XWT","Core","e4.xwt-inbox","NEW"," ---","Wrong creation of Item-Instance in SashEditPart","2013-01-24 15:32:08"
316815,"XWT","Core","e4.xwt-inbox","NEW"," ---","FormLayout doesn't work with certain FormAttachment defined","2013-01-24 15:31:17"
321486,"XWT","Core","e4.xwt-inbox","NEW"," ---","Warning - could not initialize CSS styling : org.eclipse.e4.xwt.css.CSSEngineNotFoundException","2013-01-24 15:31:40"
322221,"XWT","Core","e4.xwt-inbox","NEW"," ---","Databinding: tableviewer does not refresh automatically","2013-01-24 15:32:07"
322313,"XWT","Core","e4.xwt-inbox","NEW"," ---","stack overflow when calling MetaclassManager.getMetaclass() with String argument","2013-01-24 15:31:21"
323159,"XWT","Core","e4.xwt-inbox","NEW"," ---","Combining listViewer (singleSelection) and DataTrigger","2013-01-24 15:31:44"
323559,"XWT","Core","e4.xwt-inbox","NEW"," ---","[Riena] Integration with Riena/other enterprise products widgets","2013-01-24 15:31:18"
327976,"XWT","Core","e4.xwt-inbox","NEW"," ---","[Profiles] active profile does not know of resources to be resolved","2013-01-24 15:31:21"
330332,"XWT","Core","e4.xwt-inbox","NEW"," ---","Integration of XWT Form in Wizard","2013-01-24 15:32:04"
