"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
486538,"Xtend","Core","xtend-inbox","UNCONFIRMED"," ---","Type mismatch cannot convert from A to B<C>","2016-01-26 05:35:49"
486779,"Xtend","Backlog","xtend-inbox","UNCONFIRMED"," ---","Update the maven archetype version","2016-01-28 17:41:38"
487693,"Xtend","Core","xtend-inbox","UNCONFIRMED"," ---","The ""internal"" StringConcatenation should never leak out of the local variable stack","2016-02-11 16:46:59"
487868,"Xtend","Core","xtend-inbox","UNCONFIRMED"," ---","Unexpected behaviour when using char type","2016-02-16 10:28:50"
489284,"Xtend","Core","xtend-inbox","UNCONFIRMED"," ---","Javadoc generated/modified by an annotation processor is not shown in Eclipse.","2016-03-09 09:13:16"
491687,"Xtend","Core","xtend-inbox","UNCONFIRMED"," ---","[active annotation] - Type Parameters during register-globals phase","2016-04-25 10:54:40"
491929,"Xtend","Core","xtend-inbox","UNCONFIRMED"," ---","StackOverflowError when using many else-if-statements","2016-04-20 07:19:05"
494597,"Xtend","Core","xtend-inbox","UNCONFIRMED"," ---","Dispatch methods can provide better inlining","2016-05-25 19:07:42"
507830,"Xtend","Backlog","xtend-inbox","UNCONFIRMED"," ---","Cannot install Xtend plug-in to IntelliJ from the repository","2016-11-20 11:20:54"
509343,"Xtend","Core","xtend-inbox","UNCONFIRMED"," ---","[idea] Doesn't find *.xtend unit tests on package level","2019-04-25 02:38:14"
509956,"Xtend","Errors","xtend-inbox","UNCONFIRMED"," ---","safe navigation expression in while not using the latest result","2017-01-31 04:59:10"
543742,"Xtend","Core","xtend-inbox","UNCONFIRMED"," ---","[performance] regression in Xtend 2.16 making excessive calls to java.util.zip.ZipFile()","2019-01-26 14:14:23"
544495,"Xtend","Errors","xtend-inbox","UNCONFIRMED"," ---","[Xtend] Copy pasting into template string messes up indentation","2019-02-15 09:09:28"
486383,"Xtend","Core","xtend-inbox","NEW"," ---","java.lang.RuntimeException: Cannot root twice","2017-12-07 07:15:22"
486390,"Xtend","Core","xtend-inbox","NEW"," ---","Xtend forEach with index does work with a Java 8 Stream","2017-03-17 12:02:33"
486599,"Xtend","Core","xtend-inbox","NEW"," ---","[xtend] Use only logical containers to create a scope for the expression context","2016-06-10 05:56:26"
487861,"Xtend","Core","xtend-inbox","NEW"," ---","Invalid Java code generated when a default method of an interface is called by from a default method of its subinterface.","2017-03-24 15:27:04"
488011,"Xtend","Core","xtend-inbox","NEW"," ---","Dispatch methods are not intuitive when a primitive type is involved","2016-02-18 08:14:27"
488252,"Xtend","Core","xtend-inbox","NEW"," ---","Inferring wrong types of generic parameters","2016-02-23 01:02:48"
488640,"Xtend","Core","xtend-inbox","NEW"," ---","[xtend][eclipse] Rename of a top level class leaves imports of nested types broken","2016-02-27 23:30:39"
489070,"Xtend","Core","xtend-inbox","NEW"," ---","Java error in generated code: Constructor call must be the first statement in a constructor","2016-06-08 05:26:24"
489944,"Xtend","Core","xtend-inbox","NEW"," ---","new IntegerExtensions times (Ruby's) / timesRepeat (Smalltalk's)","2016-03-18 10:25:59"
490370,"Xtend","Core","xtend-inbox","NEW"," ---","[xtend][formatting] A multiline string that is longer than max width breaks formatting","2016-03-24 09:40:47"
491058,"Xtend","Core","xtend-inbox","NEW"," ---","[aa] @FinalFieldsConstructor fails when superclass constructor is hidden","2016-04-05 04:49:50"
491956,"Xtend","Core","xtend-inbox","NEW"," ---","Conflicting Xtend Files cannot be renamed","2016-04-19 02:53:45"
494535,"Xtend","Core","xtend-inbox","NEW"," ---","[xtend][validation] Wrong constant condition check with primitive types","2017-10-11 09:03:11"
498345,"Xtend","Core","xtend-inbox","NEW"," ---","Provide tycho-xtend-plugin that supports <useJDK>BREE</useJDK> option.","2016-07-27 03:40:02"
499663,"Xtend","Core","xtend-inbox","NEW"," ---","[aa] Single quotes are escaped in annotation String values","2017-09-27 04:51:53"
500104,"Xtend","Core","xtend-inbox","NEW"," ---","Generic methods, interfaces and inheritance => Error","2017-07-26 06:09:27"
500364,"Xtend","Core","xtend-inbox","NEW"," ---","Resolving wrong method signature in type hierarchy (covariance in interfaces)","2017-04-05 11:00:12"
502447,"Xtend","Core","xtend-inbox","NEW"," ---","Wrong type inference causes adding type parameter to change generated code behavior","2016-09-28 11:01:32"
502526,"Xtend","Backlog","xtend-inbox","NEW"," ---","Embedded Xtext editor selects all text after using updateModel","2016-09-29 03:37:12"
503077,"Xtend","Core","xtend-inbox","NEW"," ---","org.eclipse.xtext.xbase.lib.Pair implements java.util.Map.Entry","2016-10-03 11:14:05"
506374,"Xtend","Errors","xtend-inbox","NEW"," ---","Java 8 Annotation with @Target TYPE_USE (and probably TYPE_PARAMETER) leads to ""The annotation @NonNull is disallowed for this location""","2019-02-26 09:37:35"
509955,"Xtend","Core","xtend-inbox","NEW"," ---","Ternary operator precedence seems illogical","2017-01-05 02:45:34"
513770,"Xtend","Core","xtend-inbox","NEW"," ---","IDE freeze on nested method calls","2017-05-09 03:02:29"
515228,"Xtend","Backlog","xtend-inbox","NEW"," ---","Add support for code regions","2017-04-27 14:31:12"
516733,"Xtend","Core","xtend-inbox","NEW"," ---","Lambda parameters: Horrendous performance issue","2017-12-08 09:14:10"
528110,"Xtend","Core","xtend-inbox","NEW"," ---","Xtend formatter formats code in relation to previous line instead of container","2017-12-04 14:33:59"
528739,"Xtend","Core","xtend-inbox","NEW"," ---","java.lang.IllegalArgumentException: argument is not valid in current context","2017-12-13 15:00:51"
558713,"Xtend","Core","xtend-inbox","NEW"," ---","Feature request: make methods in XImportSectionNamespaceScopeProvider protected","2020-10-02 03:38:28"
488449,"Xtend","Core","xtend-inbox","REOPENED"," ---","Type mismatch for map function returning strings","2016-09-14 13:16:49"
489237,"Xtend","Core","christian.dietrich","RESOLVED","FIXED","[findbugs] @EqualsHashCode: DLS_DEAD_LOCAL_STORE in hashCode() in type without declared fields","2016-12-05 09:02:59"
493900,"Xtend","Core","christian.dietrich","RESOLVED","FIXED","[Xtend] Compiler crashes with List Literal in for loop","2016-09-21 03:21:04"
492072,"Xtend","Core","karsten.thoms","RESOLVED","FIXED","verbose generation for (i.e. get/set) method calls","2017-01-05 03:38:18"
502897,"Xtend","Core","karsten.thoms","RESOLVED","FIXED","Streamline plugin metadata","2016-12-06 08:21:15"
505760,"Xtend","Core","karsten.thoms","RESOLVED","FIXED","""Show in Generated code"" applied to any selection","2017-09-01 06:28:02"
511922,"Xtend","Core","lorenzo.bettini","RESOLVED","FIXED","XtendCompilerTester - NoClassDefFoundError (""xbase.junit"" => ""xbase.testing"")","2017-03-03 08:03:18"
486338,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","[xtend][eclipse][quickfix] Add import quickfix should be case sensitive","2017-04-19 03:25:59"
486382,"Xtend","Core","xtend-inbox","RESOLVED","WORKSFORME","java.lang.ClassCastException: org.eclipse.xtext.common.types.impl.JvmPrimitiveTypeImplCustom cannot be cast to org.eclipse.xtext.common.types.JvmDeclaredType","2016-08-16 17:34:02"
487559,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","[active annotations] Set enum value on annotation with nested enum","2017-09-14 03:37:54"
487806,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","[gradle] Validation fails with gradle","2017-02-19 06:02:32"
489208,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","[rename] Rename type replaces 'this' with full qualified class name","2017-03-30 03:31:26"
491009,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","[Xtend] Switch variable type incompatible with type guard causes compile error & source file unsaveable","2017-07-14 10:43:07"
491207,"Xtend","Core","xtend-inbox","RESOLVED","WONTFIX","Autocompletion in Xtend editor does not provide <<FOR>> and <<IF>>","2016-12-18 15:02:56"
491931,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","verbose/non-uniform generation of if-Statements for conditions","2017-04-20 05:35:41"
492070,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","[autoedit][regression] paste in template expression deletes trailing newlines","2017-03-23 05:22:20"
492772,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","[Java Source Lang] NPE on empty java source","2017-02-10 04:03:27"
493990,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","[xtend] ""Open Generated File"" does not work for org.eclipse.xtend.core.macro.declaration.JvmElementImpl","2017-04-05 09:14:52"
498286,"Xtend","Core","xtend-inbox","RESOLVED","WONTFIX","Elvis operator following ""if"" expression is generated inside the ""if""","2016-07-21 11:49:37"
506338,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","[formatter] indentation doesn't work properly","2017-10-11 09:14:54"
507077,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","[xtend][templates] Performance improvement by not emitting indentation strings","2017-04-05 09:27:56"
513219,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","[active annotation] -java.lang.ClassCastException during register-globals phase for annotation on parameter","2017-03-07 05:12:09"
513541,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","Headless mode: Building xtend-files throws Guice errors","2017-03-13 03:54:03"
514819,"Xtend","Core","xtend-inbox","RESOLVED","WORKSFORME","[active annotations] annotating a class with a lower class name causes errors","2017-05-15 23:49:25"
516096,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","[Refactoring] Renaming type does not work if the project name contains whitespaces","2017-05-04 07:01:59"
516321,"Xtend","Core","xtend-inbox","RESOLVED","FIXED","Xtend 2.11 compiles 'forever' (2.9.2 compiles fast)","2017-05-13 08:10:33"
