"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
476926,"andmore","General","d_a_carver","UNCONFIRMED"," ---","Visual Studio Emulator for Android integration","2015-09-08 19:57:58"
488276,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","NullPointerException in DefaultPositionUpdater.java:220","2016-02-23 04:36:07"
496919,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","ic_launcher.png missing from res/drawable-*","2016-10-24 08:52:08"
496966,"andmore","General","d_a_carver","UNCONFIRMED"," ---","NoClassDefFoundError for Dagger-2 generated class although the class is there in the correct path","2016-07-06 14:48:25"
497171,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","Can't create an Android Activity via Menu","2016-09-04 08:48:32"
497172,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","Graphical Layout says ""This version of the rendering library is more recent than your version of ADT plug-in. Please update ADT plug-in""","2016-08-22 13:42:56"
497443,"andmore","General","d_a_carver","UNCONFIRMED"," ---","Errors running builder 'Android Resource Manager' on project","2018-09-26 07:14:30"
498278,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","""No DEX File Found"" since ""MultiDex support for Android APK"" commit.","2016-07-28 15:33:24"
508630,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","Support for virtual folders","2016-12-02 22:20:08"
511720,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","unable to create android projects with new\android project","2017-02-05 12:41:10"
515562,"andmore","Core","d_a_carver","UNCONFIRMED"," ---","Old 'ADT' project bug","2017-04-21 05:21:23"
456534,"andmore","General","andmore-inbox","NEW"," ---","[Discuss] What to do about Sequoyah package names","2015-02-17 14:49:33"
456967,"andmore","General","andmore-inbox","NEW"," ---","Modify behavior of localization plugins to work consistently with other XML files in Eclipse","2016-05-04 08:22:22"
456971,"andmore","General","andmore-inbox","NEW"," ---","[FEATURE] Create editor for drawable.xml files, tied to different depths.","2015-01-07 16:43:54"
456972,"andmore","General","andmore-inbox","NEW"," ---","[FEATURE] Direct import of font-awesome and design studio icons, scaled to proper sizes","2015-01-07 16:45:59"
456973,"andmore","General","andmore-inbox","NEW"," ---","Update the code snippets for current best practices in Android development","2015-01-27 12:55:16"
456975,"andmore","General","andmore-inbox","NEW"," ---","Auto-generated code menus do not work.","2015-03-31 11:36:03"
456976,"andmore","General","andmore-inbox","NEW"," ---","Confirm that New Android Remote Device is still useful.","2015-01-07 16:50:39"
456977,"andmore","General","andmore-inbox","NEW"," ---","Remove Enable/Disable obfuscation menu item if it's not useful","2015-01-07 16:51:21"
456978,"andmore","General","andmore-inbox","NEW"," ---","Give user more useful feedback when XML compile steps fail","2015-01-07 16:52:09"
456980,"andmore","General","andmore-inbox","NEW"," ---","The database perspective does not seem to do anything useful.","2015-10-08 08:51:26"
456981,"andmore","General","andmore-inbox","NEW"," ---","[TEST] Ensure projects work with Android Studio layouts","2015-10-09 13:38:11"
456984,"andmore","General","andmore-inbox","NEW"," ---","[DISCUSS] The Export process for Android APKs","2015-01-07 16:57:34"
526437,"andmore","General","andrewbowley","NEW"," ---","Android SWT Libraries need to be forked","2017-12-02 03:19:16"
