"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
470133,"e4","UI","bsd","NEW"," ---","[macros] Command vetting should allow saying command is unknown","2015-06-13 23:31:33"
410957,"e4","Search","e4.search-inbox","NEW"," ---","[Enhancement][I18n] All displayname's should be externizable","2013-06-18 10:55:26"
390905,"e4","UI","e4.swt-inbox","NEW"," ---","Hand cursor","2012-10-02 06:25:52"
425104,"e4","Tools","e4.tools-inbox","NEW"," ---","Annotation for compile time type checking","2014-01-24 09:45:46"
426259,"e4","Tools","e4.tools-inbox","NEW"," ---","Provide stable p2 update site urls for e4 tools","2014-01-21 09:57:33"
470132,"e4","Tools","e4.tools-inbox","NEW"," ---","[releng] Allow overriding tycho-packaging-provider's jgit.dirtyWorkingTree configuration setting","2015-06-13 22:36:53"
395388,"e4","UI","e4.ui-inbox","NEW"," ---","Have an IconURI for the main window of sample app","2012-11-29 12:58:13"
471308,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","E4 tools download project site is totally out of date","2015-10-29 16:14:26"
396694,"e4","UI","wim.jongman","RESOLVED","FIXED","Editing the fragment.e4xmi manually seems to cause a NPE","2012-12-20 08:18:10"
392289,"e4","UI","scela","RESOLVED","FIXED","Placeholder ContainerData","2012-10-18 10:04:28"
470024,"e4","UI","apupier","RESOLVED","FIXED","On Windows, when using the Smart Import, the ""Relative Path"" of ""Nested Projects"" dialog contains C:","2015-06-12 11:45:19"
484969,"e4","Tools","benedikt.kuntz","RESOLVED","FIXED","Find contribution class dialog errors on *","2019-10-26 08:24:03"
376027,"e4","UI","bsd","RESOLVED","FIXED","e4 project template should use M1 instead of Ctrl in KeyBindings","2012-04-26 18:51:41"
376475,"e4","UI","bsd","RESOLVED","FIXED","[CSSSpy] processor causes duplicate Copy keybinding","2012-10-26 12:54:13"
387676,"e4","UI","bsd","RESOLVED","FIXED","CSS editor in preferences > General > Appearance does not resize","2012-08-24 18:16:51"
394949,"e4","UI","bsd","RESOLVED","FIXED","[CSS Spy] Using keyboard to change highlighted widget results in focus-change","2012-11-22 18:50:41"
407296,"e4","Tools","bsd","RESOLVED","FIXED","Publish the E4 tools 0.13 to the market place","2013-05-06 12:18:27"
396928,"e4","Search","danail.branekov","RESOLVED","FIXED","[Improvement] Introduce a centralized place for managing search destinations","2013-01-07 09:46:59"
401678,"e4","Search","danail.branekov","RESOLVED","FIXED","Subdestinations selection not preserved","2013-03-13 07:21:07"
414853,"e4","Tools","daniel.rolka","RESOLVED","FIXED","[tools] Create tool for monitoring e4 events","2013-08-22 11:29:23"
415076,"e4","Tools","daniel.rolka","RESOLVED","FIXED","[event spy] uses invalid isEmpty()","2013-08-15 09:25:35"
416220,"e4","Tools","daniel.rolka","RESOLVED","WORKSFORME","[event spy] UI Improvements Request","2019-06-05 07:34:04"
416231,"e4","Tools","daniel.rolka","RESOLVED","WORKSFORME","[event spy] Implementation Improvement Requests","2019-06-05 07:42:03"
422225,"e4","Tools","daniel.rolka","RESOLVED","FIXED","[event spy] Replace plain Tree widget with TreeViewer","2013-11-21 12:39:37"
422319,"e4","Tools","daniel.rolka","RESOLVED","FIXED","[event spy] Improve support for filtering the captured events","2013-11-22 07:36:52"
422323,"e4","Tools","daniel.rolka","RESOLVED","FIXED","[event spy] Improve the way of loading the selected classes in the IDE","2013-11-22 07:35:02"
422324,"e4","Tools","daniel.rolka","RESOLVED","FIXED","[event spy] Improve the project structure to follow the Eclipse naming conventions","2013-11-22 07:32:56"
422332,"e4","UI","daniel.rolka","RESOLVED","FIXED","[event spy] Remove redundant 'close' button from dialog","2013-11-22 08:13:10"
422333,"e4","Tools","daniel.rolka","RESOLVED","FIXED","[event spy] Exceptions during adding/modifying filter when validation fails","2013-11-22 08:33:44"
422362,"e4","Tools","daniel.rolka","RESOLVED","FIXED","[event spy] Stale filters when launching the spy several times","2013-11-22 13:01:58"
422422,"e4","Tools","daniel.rolka","RESOLVED","FIXED","[event spy] Add single cell selection to the captured events tree","2013-11-24 17:11:59"
422423,"e4","Tools","daniel.rolka","RESOLVED","FIXED","[event spy] Wrong context for storing the filters","2013-11-24 16:19:46"
398716,"e4","Languages","e4.languages-inbox","RESOLVED","WORKSFORME","Editor conflict errors","2019-06-05 07:28:37"
403550,"e4","Languages","e4.languages-inbox","RESOLVED","INVALID","ddyfjhggddewhfhhheffh","2014-05-20 09:56:12"
372569,"e4","Resources","e4.resources-inbox","RESOLVED","WORKSFORME","Potential Bug or Inconsistency in Bug_026294.java","2019-06-05 07:36:00"
372572,"e4","Resources","e4.resources-inbox","RESOLVED","WORKSFORME","Potential Bug or Inconsistency in Bug_032076.java","2019-06-05 07:40:14"
410699,"e4","Resources","e4.resources-inbox","RESOLVED","WORKSFORME","[sfs] Implement new method for mass property update to fix performance issue with big workspaces","2019-06-05 07:32:42"
432516,"e4","Resources","e4.resources-inbox","RESOLVED","WORKSFORME","eclipse e4 project downloads trouble","2019-06-05 07:32:05"
445897,"e4","Resources","e4.resources-inbox","RESOLVED","WORKSFORME","JVM terminated error =2","2019-06-05 07:45:32"
398078,"e4","Runtime","e4.runtime-inbox","RESOLVED","FIXED","Reduce dependencies in the Eclipse 4 wizard to the needed components","2013-02-20 12:07:17"
403679,"e4","Runtime","e4.runtime-inbox","RESOLVED","FIXED","New Application wizard is missing dependency to org.eclipse.e4.ui.model.workbench","2013-03-18 17:52:50"
418265,"e4","Runtime","e4.runtime-inbox","RESOLVED","WORKSFORME","EnumConstantNotPresentExceptionProxy prevents e4 application from rendering","2019-06-05 07:32:34"
450245,"e4","Runtime","e4.runtime-inbox","RESOLVED","WORKSFORME","ArrayIndexOutOfBoundsException when closing RCP e4 application","2019-06-05 07:42:59"
453502,"e4","Runtime","e4.runtime-inbox","RESOLVED","WORKSFORME","Editor Shortcuts not working anymore for RCP in Luna","2019-06-05 07:30:55"
464462,"e4","Runtime","e4.runtime-inbox","RESOLVED","WORKSFORME","Console Oriented Program Arguments Problem","2019-06-05 07:29:11"
467620,"e4","Runtime","e4.runtime-inbox","RESOLVED","WORKSFORME","Config log file gets deleted","2019-06-05 07:45:42"
482909,"e4","UI","e4.runtime-inbox","RESOLVED","WORKSFORME","Previous MPart persistedState replaced by fragment.e4xmi","2020-03-23 06:47:02"
368792,"e4","Search","e4.search-inbox","RESOLVED","INVALID","Search Provider is not working properly on the platform","2019-04-23 08:52:07"
379399,"e4","Search","e4.search-inbox","RESOLVED","INVALID","button to the right of the ""Find"" text box is not clear, remove?","2012-12-19 06:20:16"
381870,"e4","Search","e4.search-inbox","RESOLVED","WORKSFORME","When there#s only ONE entry available - shouldn't this entry pre-selected?","2019-06-05 07:39:24"
396289,"e4","Search","e4.search-inbox","RESOLVED","FIXED","Use Gerrit for the Search Repo","2013-01-15 08:09:33"
397843,"e4","Search","e4.search-inbox","RESOLVED","WONTFIX","delete suite classes from tests","2019-02-08 10:37:48"
400423,"e4","Search","e4.search-inbox","RESOLVED","FIXED","Selection not cleared after deleting a destination","2013-02-11 10:15:35"
401858,"e4","Search","e4.search-inbox","RESOLVED","INVALID","[CBI] use the correct group IDs for artifacts in search","2019-05-31 12:01:04"
402615,"e4","Search","e4.search-inbox","RESOLVED","INVALID","Example search does not work","2013-03-13 07:22:36"
379011,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Odd enablement in New Plug-in Project wizard page","2013-04-12 17:14:49"
388063,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","[Tooling] Model Editor should issue warnings and errors to improve model quality","2020-05-18 07:31:30"
395283,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Store and restore window size and location of subdialogs while editing Applicatione4xmi","2014-06-16 09:37:08"
395297,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Find contribution class dialog does not support ""*"" at all","2015-12-29 06:56:52"
395342,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","CSS Spy, changing the visibility css style to hidden shows wrong value afterwards","2019-06-05 07:34:51"
396902,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","Reloading the model causes the model editor tree to collapse","2019-09-02 15:01:59"
397365,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","Application Model Editor Model Validation Support","2019-06-05 07:37:50"
400451,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","Conflicting dependency with e4 tools and Eclipse 4.3.0M5","2013-09-24 16:43:39"
400805,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Keycombination Shift+Alt+F5 or Shift+Alt+F6 doesn't work to open CSS Spy","2014-02-28 07:01:50"
400885,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","Missing CSS in Labels and Symbols of default MessageDialogs","2019-06-05 07:44:35"
401215,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Binding Table shows ""Name"" of Binding Table instead of the ID as the label said","2013-10-21 09:05:49"
403237,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","o.e.e4.tools cannot be build with ""mvn clean install""","2013-06-18 05:56:06"
403899,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","Renaming a plugin should also affect an e4 fragment.e4xmi","2019-06-05 07:44:44"
404136,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Model editor should be able to select icons from other bundles/projects","2014-05-17 08:41:01"
404166,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","[Model Editor] Part descriptor URI is not hyperlinked","2014-04-02 17:37:21"
404232,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Move ""Part Descriptors""  entry in the tree before ""Menu Contributions""","2013-04-17 05:07:31"
405728,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Update tooling fields with meaningful tooltips","2014-09-10 17:56:34"
405886,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","BindingContext widget not shown for parts (any more)","2013-04-17 10:01:02"
405935,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Errors in new message extension for handling not found resources","2013-04-18 05:32:59"
405975,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Compile failures in org.eclipse.e4.tools.services","2013-04-18 08:34:47"
407444,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","New Application Wizard is missing dependency to org.w3c.dom.events (with Kepler Modeling package)","2014-04-28 17:24:36"
408712,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Add include to build.properties when new fragment.e4xmi gets created","2014-05-19 07:25:36"
409370,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","e4 tools wizards dont work on E4 4.3RC2a","2013-07-09 05:36:47"
409372,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","No source bundles for e4 tools bundles","2013-08-08 09:41:40"
409373,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Update version number of e4 tools features to 0.14","2013-06-05 06:18:38"
411240,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","org.eclipse.e4.tools.css.editor requires bundle org.apache.log4j","2015-05-07 17:28:04"
412059,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","E4NewProjectWizard uses product name to construct platform:/plugin/ URIs","2013-07-04 09:59:31"
412325,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Publish the E4 tools 0.14 to the marketplace","2013-07-04 14:00:25"
412385,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","Binding Table/ KeyBindings - problems with display refresh, missing shortcut note on the last KeyBinding entry","2019-06-05 07:43:15"
412477,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","[e4 editor] Commands in HandledMenu UI should be linked to command like ""ClassURI""","2019-06-05 07:27:33"
412653,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","[e4xm] Adding of subelements on toolbar should be the same as e.g. WindowTrim","2018-09-11 17:03:25"
412654,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","[e4xmi] List of items in ToolBar does not always show the items label","2019-06-05 07:36:29"
412655,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","[e4xmi] wizard should create binding contexts even when not generating parts, ...","2013-07-10 10:08:27"
412672,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","[e4xmi] Class URI in ToolControl is not a link like in MPart","2014-04-01 12:26:35"
412774,"e4","Tools","e4.tools-inbox","RESOLVED","INVALID","javax.annotation import package has a bad version number in template","2013-07-12 07:54:13"
413449,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","e4.tools dependency incorrect","2013-07-23 15:07:45"
414102,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Use  ""ID"" instead of ""Id"" in the user interface","2013-07-31 09:00:56"
416835,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","Find/Replace dialog for ModelEditor (XMI Tab)","2019-06-05 07:36:58"
417008,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","creating a new handler class overwrites an existing class","2013-11-04 09:14:29"
418475,"e4","Tools","e4.tools-inbox","RESOLVED","WONTFIX","Integrate CSS Lint plug-in into OrionEditorControl","2019-05-31 03:04:12"
419083,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","[CSS Spy] Broad CSS selector almost hangs computer with thousands of red rectangles","2019-06-05 07:35:28"
419442,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","[Model-Editor] Creating a Command-Parameter without entering a Name causes a NPE on startup of the application","2013-10-21 06:43:24"
420642,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Add Eclipse-SourceReferences to binary bundles","2014-02-11 19:09:55"
420671,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","E4 Tools application extensions not exported","2013-10-30 01:28:08"
421207,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Use widely allowed 'http://' instead of 'git://' protocol for Eclipse-SourceReferences","2013-11-11 09:32:33"
421211,"e4","Tools","e4.tools-inbox","RESOLVED","DUPLICATE","Support MCompositePart model element","2014-07-17 10:25:52"
421259,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","LiveEditor's keybinding does not work out of the box in newly generated e4 application","2013-11-08 14:54:49"
421354,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","Live Editor breaks part navigation","2019-06-05 07:37:12"
421365,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","New part wizard (org.eclipse.e4.internal.tools.wizards.classes.NewPartClassWizard.PartClass) pre-selects to generate @Focus method but not @PostConstruct","2013-11-08 14:53:36"
421369,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Layout broken in part form","2014-01-13 03:46:38"
422094,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","[CSS spy] New Window results in corrupted UI hierarchy","2019-06-05 07:43:50"
422311,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Use png files instead of gif file in the Eclipse 4 application wizard","2013-11-26 02:27:53"
422543,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Putting the context explorer in e4 tools","2014-02-10 17:49:04"
422653,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Enable save actions for org.eclipse.e4.tools.emf.liveeditor","2013-11-27 05:05:18"
423931,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","[Model Editor] Editing Context Properties or Persisted State modifies key rather than value","2013-12-12 11:49:31"
423961,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","Model editor does not trigger file checkout with P4Eclipse","2019-06-05 07:41:47"
424140,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","LiveModelEditor should not rely on findElements for handlers and commands","2015-04-12 17:17:13"
424865,"e4","Tools","e4.tools-inbox","RESOLVED","WONTFIX","CSS editor from e4 tools","2014-02-12 18:30:31"
424890,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","""e4 model editor"" doesn't add ""bindingContexts"" attribute in ""application"" tag, only ""rootContext"" sub-tags appear","2019-06-05 07:39:51"
425508,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","[e4xmi] Live editor layout is broken when ClassURI is used","2014-01-12 15:04:05"
425866,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Add README.md to the e4 tools projects","2014-04-28 14:44:13"
426343,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Activate more save actions for org.eclipse.e4.tools projects","2014-04-28 15:00:05"
426653,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Export application model element ids to class for static reference","2018-02-14 10:53:53"
426986,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","ControlFactory.getLocalizedValue() reads localized value via operation instead of reading the feature","2014-02-06 10:09:45"
427048,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","e4 tools processor throws NPE","2014-11-21 09:05:26"
427287,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","[e4xmi] Make editor extension points aware of project natures","2019-06-05 07:34:01"
427451,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","[CSS Spy] Replace Factory usage in CSS spy with EModelService","2014-02-05 07:50:52"
427460,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Fix project name setting for org.eclipse.e4.tools.orion.css.editor.feature","2014-02-05 07:40:12"
427541,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Activate unix line endings for the e4 tools projects","2014-02-06 03:30:12"
427558,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","[e4xmi] Children DropDown of MPartStack & MPartSashContainer should consult IEditorFeature contributions","2014-02-06 08:18:38"
427788,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Fix Live Model Editor keybinding in the IDE","2014-02-10 07:32:36"
428116,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Event Spy recreates default key binding after restart","2014-02-14 03:04:07"
428360,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Switch e4 tools to Java 1.6","2014-02-21 11:51:30"
428415,"e4","Tools","e4.tools-inbox","RESOLVED","WORKSFORME","No possibility to extend „Add Child“ in Model-Editor","2019-06-05 07:37:36"
428728,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Invalid contributor URI for live editor set in ModelProcessor","2014-02-21 07:32:46"
428895,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Adding a processor for the new context spy","2014-03-03 12:44:32"
429290,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","No localized label in model editor -> model editor not usable with lunaM5 and latest tools","2014-02-28 04:20:08"
429448,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","PartSashContainer Controls box is empty","2014-03-03 08:26:44"
429473,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","[live editor] NullPointerException at startup","2014-03-03 11:04:18"
429692,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Null Pointer Exception in org.eclipse.e4.tools.emf.liveeditor.ModelProcessor","2014-03-05 12:19:03"
429776,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","In the Application Model Editor move ToolBar property of a Part close to other check boxes","2014-03-06 16:23:10"
429839,"e4","Tools","e4.tools-inbox","RESOLVED","WONTFIX","Rename org.eclipse.e4.tools.emf.ui to org.eclipse.e4.tools.modeleditor","2014-03-25 05:51:47"
429854,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Stacktrace at start when org.eclipse.e4.tools.context.spy (0.10.v20140303-1452) is included","2014-03-08 10:58:38"
430100,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Remove //TODO from the classes generated with the e4 wizards","2014-03-25 05:48:36"
430437,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Use standard Composite for application model editor instead","2014-03-16 05:38:34"
430660,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","unable to edit keys in application editor","2014-05-17 08:46:25"
430663,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","Adding an addon doesn't automatically select in the tree","2014-03-19 02:52:51"
430664,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","application editor key/value table columns are too large by default","2014-05-16 22:07:50"
430717,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","add replace command to StringListWidget and update ui state","2014-05-06 15:26:22"
430809,"e4","Tools","e4.tools-inbox","RESOLVED","FIXED","more enhancements to StringListWidget","2014-05-15 23:02:10"
430810,"e4","Tools","e4.tools-inbox","RESOLVED","WONTFIX","Closing outdated e4 tools bugs to enable contributions","2014-07-03 19:02:33"
