"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
335838,"eTrice","Core","etrice.core-inbox","RESOLVED","WONTFIX","add unit test for layer connections in structure diagrams","2018-08-17 03:29:22"
335839,"eTrice","Core","etrice.core-inbox","RESOLVED","WONTFIX","add unit test for replicated ports in structure diagrams","2018-08-17 03:29:57"
341868,"eTrice","Core","etrice.core-inbox","RESOLVED","FIXED","clean up RTServices.destroy","2015-05-29 13:09:54"
354534,"eTrice","Core","etrice.core-inbox","RESOLVED","WONTFIX","it should be possible to send ""external"" data types","2018-08-17 03:29:38"
341870,"eTrice","Runtime","etrice.runtime-inbox","RESOLVED","WONTFIX","refactor ActorClassBase.setClassName / getClassName","2013-01-17 09:58:18"
348173,"eTrice","Runtime","etrice.runtime-inbox","RESOLVED","FIXED","message services should be started according to thread prio","2016-11-28 08:26:01"
349093,"eTrice","Runtime","etrice.runtime-inbox","RESOLVED","WONTFIX","Trace should contain data which is send with the message","2018-08-17 03:29:47"
337024,"eTrice","UserInterface","etrice.userinterface-inbox","RESOLVED","WONTFIX","factor out common code of ui.structure and ui.behavior into ui.common","2018-08-17 03:29:45"
340499,"eTrice","UserInterface","etrice.userinterface-inbox","RESOLVED","WONTFIX","refactoring for not used model elements","2018-08-17 03:29:52"
340500,"eTrice","UserInterface","etrice.userinterface-inbox","RESOLVED","FIXED","refactoring for renaming model elements","2015-06-26 06:42:01"
341792,"eTrice","UserInterface","etrice.userinterface-inbox","RESOLVED","FIXED","add download sites and howto for Trace2UML","2020-10-09 09:13:04"
342079,"eTrice","UserInterface","etrice.userinterface-inbox","RESOLVED","WONTFIX","collection of Ideas and Requirements for usability issues","2013-03-26 05:53:15"
345116,"eTrice","UserInterface","etrice.userinterface-inbox","RESOLVED","WONTFIX","support for diagram deletion needed","2018-08-17 03:29:32"
339489,"eTrice","Core","hrr","RESOLVED","WONTFIX","Investigate alternatives for Entry/ExitPoints","2018-08-17 03:29:32"
360396,"eTrice","UserInterface","hrr","RESOLVED","WONTFIX","add F2 as shortcut for edit","2018-04-30 12:54:22"
367446,"eTrice","Generators","hrr","RESOLVED","FIXED","move parameters for codegenerators from generators to preferences","2013-04-18 02:29:06"
348214,"eTrice","UserInterface","juergen.haug","RESOLVED","FIXED","renaming of .room file makes existing diagrams unusable","2014-05-05 11:31:07"
360403,"eTrice","Core","juergen.haug","RESOLVED","WONTFIX","validation for data_driven StateMachine","2018-08-17 03:29:55"
366905,"eTrice","Generators","tj","RESOLVED","FIXED","generator for documentation","2013-08-14 12:56:01"
341696,"eTrice","UserInterface","ts","RESOLVED","FIXED","check if Linux version of Trace2UML is available","2013-04-18 02:28:54"
341698,"eTrice","Core","ts","RESOLVED","WONTFIX","minimal version of detail level language","2018-08-17 03:29:46"
337023,"eTrice","UserInterface","etrice.userinterface-inbox","RESOLVED","WONTFIX","improve resize behavior for structure and behavior containers","2018-08-17 03:29:37"
331892,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","Initial Contribution","2011-12-16 02:48:11"
334484,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","implement formatter for ROOM DSL","2011-12-16 02:48:11"
337342,"eTrice","Core","etrice.core-inbox","CLOSED","INVALID","unsatisfied SAP should not lead to an exception","2011-12-16 02:48:07"
338327,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","RefinedState should be able to refer to another RefinedState","2012-10-12 03:42:53"
338795,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","Replicated Relay Port connection to non replicated ports","2012-03-28 05:12:57"
339910,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","Validate resource before saving a diagram","2011-12-16 02:48:11"
340496,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","Choice Point should accept two incoming transitions","2012-10-12 03:42:54"
345457,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","add releng directory with Buckminster query","2011-12-16 02:45:39"
351026,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","Attribute with initial values","2011-12-16 02:45:28"
351551,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","data classes should be copied when sent with a message","2011-12-16 02:45:39"
351574,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","messages should have at most one parameter for efficiency reasons","2011-12-16 02:48:14"
352853,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","allow data driven state machines","2011-12-16 02:45:38"
354135,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","sending data by reference","2012-05-21 11:11:36"
356570,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","need ability of eTrice generator model to handle the case of libraries","2011-12-16 02:48:12"
360406,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","add ""do"" action to data_driven StateMachine","2011-12-16 02:48:13"
364015,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","64bit datatypes missing","2012-03-28 05:12:58"
364017,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","private Messages","2012-03-28 05:12:56"
365584,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","unable to generate code out of room file","2011-12-16 02:48:07"
366798,"eTrice","Core","etrice.core-inbox","CLOSED","FIXED","make primitive types part of the model","2012-03-28 05:12:53"
341699,"eTrice","Documentation","etrice.documentation-inbox","CLOSED","FIXED","Tutorials for 0.1","2012-03-28 05:12:55"
342740,"eTrice","Documentation","etrice.documentation-inbox","CLOSED","FIXED","Tutorial Hello World","2011-12-16 02:45:54"
345825,"eTrice","Documentation","etrice.documentation-inbox","CLOSED","FIXED","New Tutorial Blinky","2011-12-16 02:45:32"
364916,"eTrice","Documentation","etrice.documentation-inbox","CLOSED","DUPLICATE","doc generation based on textile does not work good","2013-01-17 09:49:03"
345813,"eTrice","Generators","etrice.generators-inbox","CLOSED","INVALID","Substate without init point causes crash of generator","2011-12-16 02:45:33"
345814,"eTrice","Generators","etrice.generators-inbox","CLOSED","WORKSFORME","wrong init transition will be fired","2011-12-16 02:45:45"
346322,"eTrice","Generators","etrice.generators-inbox","CLOSED","FIXED","A transition point at the top level state generates code that not runs","2011-12-16 02:45:57"
346539,"eTrice","Generators","etrice.generators-inbox","CLOSED","FIXED","For actor attributes public setter and getter will be generated","2011-12-16 02:45:57"
346722,"eTrice","Generators","etrice.generators-inbox","CLOSED","FIXED","add priorities to LogicalThread (SubSystem Generator)","2011-12-16 02:45:30"
347364,"eTrice","Generators","etrice.generators-inbox","CLOSED","FIXED","init transition to entrypoint causes crash of code generator","2011-12-16 02:45:36"
347487,"eTrice","Generators","etrice.generators-inbox","CLOSED","FIXED","transition method will not be generated","2011-12-16 02:45:37"
347690,"eTrice","Generators","etrice.generators-inbox","CLOSED","FIXED","execution of valid model hangs during assigning history state","2011-12-16 02:45:47"
347910,"eTrice","Generators","etrice.generators-inbox","CLOSED","FIXED","Choice to choice transition generates wrong code","2011-12-16 02:48:11"
348497,"eTrice","Generators","etrice.generators-inbox","CLOSED","FIXED","IntegrationTest ChoicePoints","2011-12-16 02:48:14"
349083,"eTrice","Generators","etrice.generators-inbox","CLOSED","FIXED","Model with two transitions at the same transition point generates wrong code","2011-12-16 02:45:56"
349092,"eTrice","Generators","etrice.generators-inbox","CLOSED","WORKSFORME","wrong walk through FSM in a model with several top level self transitions","2011-12-16 02:48:14"
349522,"eTrice","Generators","etrice.generators-inbox","CLOSED","FIXED","wrong history execution","2011-12-16 02:45:52"
349779,"eTrice","Generators","etrice.generators-inbox","CLOSED","FIXED","Using a data class in a protocol causes the codegenerator to crash","2011-12-16 02:45:46"
353469,"eTrice","Generators","etrice.generators-inbox","CLOSED","FIXED","Timing Service will not be generated correctly","2011-12-16 02:45:43"
361948,"eTrice","Generators","etrice.generators-inbox","CLOSED","DUPLICATE","no availability of sent data behind entry and exit points","2012-10-12 03:42:52"
366782,"eTrice","Generators","etrice.generators-inbox","CLOSED","FIXED","Handling of unsigned types by Java generator","2011-12-16 02:49:37"
367501,"eTrice","Generators","etrice.generators-inbox","CLOSED","FIXED","define how to handle inheritance for C-generator","2012-03-28 05:12:58"
340518,"eTrice","Runtime","etrice.runtime-inbox","CLOSED","FIXED","non connected port produces null pointer exception during runtime","2011-12-16 02:48:09"
338326,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","correctly treat canceling a dialog in diagram editors","2011-12-16 02:48:08"
339798,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","dialog box after deletion of editor items should be configurable","2012-03-28 05:12:51"
340495,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","WORKSFORME","Actor with two Ports will not be shown correctly in structurediagram","2011-12-16 02:48:07"
341962,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","wrong trigger for timingservice","2011-12-16 02:45:27"
342201,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","End Port added graphically generates Relay Port in .room file","2011-12-16 02:45:28"
342205,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","Dialog boxes to small","2011-12-16 02:45:39"
342206,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","Deleting a Actor reference with Binding should delete the binding too.","2011-12-16 02:46:00"
342207,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","WONTFIX","Deleting an actor should delete the diagram files too","2011-08-04 01:56:20"
342216,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","Tooltip Window on transition is not always consistent","2011-12-16 02:45:49"
344754,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","WONTFIX","missing import statement for timing service","2011-09-30 03:21:33"
344755,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","WORKSFORME","Actor references will not be updated when the actor class definition is changed","2011-12-16 02:45:51"
344758,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","list of actor references would allow cyclic actor references","2011-12-16 02:45:47"
345731,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","use OperationCancelledException to cancel Graphiti Features","2011-12-16 02:45:55"
345815,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","changing a transition endpoint does not modify the .room file","2011-12-16 02:45:44"
345818,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","Deletion of states within a subgraph not possible","2011-12-16 02:45:48"
346244,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","Same name for transition point and transition will prevent from saving the model","2011-12-16 02:45:35"
346338,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","Interface Port will not be shown within the structure of an actor in the OutlineView","2011-12-16 02:45:38"
347249,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","new project wizard is needed","2011-12-16 02:45:31"
347252,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","Templates for content assist","2011-12-16 02:48:08"
347260,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","changing the name of a state which already has a subgraph does not change the subgraph name","2011-12-16 02:45:31"
347509,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","different positions of the same Transitionpoint","2011-12-16 02:45:50"
347741,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","Name of Choice point not visible","2011-12-16 02:45:46"
348168,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","changing the size of a dialog does not change the number of editable lines in the editor field","2011-12-16 02:48:07"
348257,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","New template version for content assist","2011-12-16 02:45:41"
349087,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","Transition Points will not be marked as selected","2011-12-16 02:45:42"
349367,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","The new project wizard should create the trace directories","2011-12-16 02:45:54"
349368,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","WONTFIX","For some reason the socket test from modellib will be generated for HelloWorld","2011-12-16 02:48:13"
349479,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","WONTFIX","Actor Class apears two times in the ""Edit Reference/Actor Class"" drop down list","2011-12-16 02:45:33"
352290,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","Provide a feature to make sending messages within the FSM Editor more handy","2011-12-16 02:45:41"
352293,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","The init literal should be visible in the outline view","2011-12-16 02:45:41"
352294,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","mouse wheel activ in code box","2011-12-16 02:45:31"
354134,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","WORKSFORME","empty diagram for actors with HSM","2011-12-16 02:48:06"
360399,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","disable flag relay port as standard for interface port","2011-12-16 02:48:10"
362441,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","can not delete ports in structure editor","2011-12-16 02:45:58"
367447,"eTrice","UserInterface","etrice.userinterface-inbox","CLOSED","FIXED","Transition from Choice point to transition point not possible","2012-03-28 05:12:54"
333155,"eTrice","UserInterface","hrr","CLOSED","FIXED","[structure] during creation take position as midpoint of new interface item","2011-12-16 02:48:08"
334133,"eTrice","Generators","hrr","CLOSED","FIXED","Generate protected members instead of private ones in case of inheritance","2011-12-16 02:48:09"
338328,"eTrice","UserInterface","hrr","CLOSED","FIXED","Implement Graphiti update features in a comprehensive way","2011-12-16 02:48:10"
338329,"eTrice","UserInterface","hrr","CLOSED","FIXED","Model classes from imported models invisible in diagram editors","2011-12-16 02:48:08"
338330,"eTrice","UserInterface","hrr","CLOSED","FIXED","In diagram editors make newly added resources modification tracking","2011-12-16 02:48:13"
338796,"eTrice","Core","hrr","CLOSED","FIXED","Documentation as Modelelement","2011-12-16 02:48:13"
338798,"eTrice","UserInterface","hrr","CLOSED","FIXED","Empty FSM-Subgraph deletes the complete modelfile (.room)","2011-12-16 02:48:10"
338995,"eTrice","Runtime","hrr","CLOSED","FIXED","equal actor ref name and interface item name yield conflict for generated addresses","2011-12-16 02:48:11"
339039,"eTrice","Generators","hrr","CLOSED","WORKSFORME","Simple Hierarchical FSM does not work after first cycle","2011-12-16 02:48:15"
339613,"eTrice","UserInterface","hrr","CLOSED","FIXED","new Port in Structure editor is not visible at ActorRefs","2011-12-16 02:48:12"
339617,"eTrice","UserInterface","hrr","CLOSED","FIXED","Structure editor does not display anything if it contains a binding","2011-12-16 02:48:10"
339618,"eTrice","UserInterface","hrr","CLOSED","INVALID","SAP is missing in the Palette of structure editor","2011-12-16 02:48:09"
339619,"eTrice","UserInterface","hrr","CLOSED","DUPLICATE","complete .room file deleted after changes in graphical editor","2011-12-16 02:48:09"
339803,"eTrice","Generators","hrr","CLOSED","FIXED","System Port added","2012-09-17 11:51:55"
337075,"eTrice","Runtime","tj","CLOSED","FIXED","use LogicalThreads of SubSystemClass for thread deployment of actor instances (runtime)","2011-12-16 02:48:15"
337076,"eTrice","Generators","tj","CLOSED","FIXED","use LogicalThreads of SubSystemClass for thread deployment of actor instances (generator)","2011-12-16 02:48:12"
338856,"eTrice","Core","tj","CLOSED","FIXED","allow notation of state without brackets","2011-12-16 02:48:09"
339821,"eTrice","Test","ts","CLOSED","FIXED","make integration.test automatable","2012-10-12 03:39:02"
340253,"eTrice","Runtime","ts","CLOSED","FIXED","fix runtime unit tests after changes for multithreading","2011-12-16 02:48:13"
341700,"eTrice","Test","ts","CLOSED","DUPLICATE","prepare integration tests for test automation","2011-10-13 04:09:01"
