"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
455321,"m2e","ui","m2e.core-inbox","UNCONFIRMED"," ---","Importing projects from repositories with maven archetypes can cause exceptions","2017-04-24 10:02:47"
369296,"m2e","jdt","m2e.core-inbox","NEW"," ---","[nls tooling] Externalize Strings cannot use src/main/resources","2018-01-05 10:42:53"
397354,"m2e","Core","m2e.core-inbox","NEW"," ---","New m2e connector for JavaCC","2013-01-05 05:43:43"
407221,"m2e","jdt","m2e.core-inbox","NEW"," ---","[conversion] Use latest maven-compiler-plugin version when converting to Maven","2013-05-04 11:48:07"
421304,"m2e","ui","m2e.core-inbox","NEW"," ---","""New Maven Project"" wizard should also be able to import","2015-11-02 13:13:45"
426344,"m2e","jdt","m2e.core-inbox","NEW"," ---","Maven Update Project Configuration from pom.xml enabled by default","2014-01-23 09:03:57"
427599,"m2e","editors","m2e.core-inbox","NEW"," ---","Quick fix to create missing modules","2020-02-24 17:14:00"
428792,"m2e","Core","m2e.core-inbox","NEW"," ---","Auto attach Eclipse debugger to Surefire process when running ""Debug as -> Maven test""","2019-09-23 15:20:39"
432048,"m2e","ui","m2e.core-inbox","NEW"," ---","m2e run as test","2014-04-04 12:15:14"
433316,"m2e","ui","m2e.core-inbox","NEW"," ---","Support variables in user settings preference page","2020-07-03 14:20:40"
439020,"m2e","jdt","m2e.core-inbox","NEW"," ---","m2e should disable edition Classpath and JDT settings","2020-02-24 17:15:22"
439769,"m2e","ui","m2e.core-inbox","NEW"," ---","Show a ""Maven > Configure as Maven project"" on pom.xml files whose parent is a project","2014-07-17 06:41:10"
439780,"m2e","ui","m2e.core-inbox","NEW"," ---","Allow to editor Lifecyle Mapping from Project Settings","2014-07-17 06:25:02"
440127,"m2e","ui","m2e.core-inbox","NEW"," ---","[ui] Select Plugin: Allow Group Id to be blank for core plugins","2016-08-15 11:38:49"
458127,"m2e","editors","m2e.core-inbox","NEW"," ---","POM Editor doesn't show anything about profiles.","2015-01-22 07:35:17"
458848,"m2e","jdt","m2e.core-inbox","NEW"," ---","[patch] Select execution runtime according to maven-toolchains-plugin","2015-11-13 03:13:44"
459837,"m2e","Core","m2e.core-inbox","NEW"," ---","Prepare for external null annotations","2015-10-18 04:11:44"
462362,"m2e","ui","m2e.core-inbox","NEW"," ---","""Import as Maven project"" context menu on pom.xml or folder containing pom.xml","2015-03-24 00:14:56"
463763,"m2e","editors","m2e.core-inbox","NEW"," ---","m2e should propose to force update of local repository when ""Could not calculate build plan: Failure to transfer xxx"" happens","2015-04-02 07:24:15"
