,Key,Status,Summary,Url,Last_Date
1407181,1407181,Fix Released,py26 still present in tox.ini,https://bugs.launchpad.net/group-based-policy/+bug/1407181,2015-01-06
1406137,1406137,Fix Released,Delete policy target fails for APIC policy driver,https://bugs.launchpad.net/group-based-policy/+bug/1406137,2015-01-06
1404799,1404799,Fix Released,Validations are missing in RM driver for multiple redirect actions in a Rule/PRS,https://bugs.launchpad.net/group-based-policy/+bug/1404799,2015-01-06
1387536,1387536,Fix Released,Notify ServiceChainInstance of classifier updates,https://bugs.launchpad.net/group-based-policy/+bug/1387536,2015-01-06
1406738,1406738,Fix Released,PTG delete throws error if a redirect to an LB is involved,https://bugs.launchpad.net/group-based-policy/+bug/1406738,2015-01-06
1406502,1406502,Fix Released,PTG update with Ruleset(having a redirect action) does not result in create/update of service chain instance,https://bugs.launchpad.net/group-based-policy/+bug/1406502,2015-01-06
1405080,1405080,Fix Released,PTG delete fails on account of dangling PTs,https://bugs.launchpad.net/group-based-policy/+bug/1405080,2015-01-06
1407104,1407104,Fix Released,SG cleanup not happening when PTG is deleted,https://bugs.launchpad.net/group-based-policy/+bug/1407104,2015-01-06
1406716,1406716,Fix Released,Update test-requirements to sync with neutron,https://bugs.launchpad.net/group-based-policy/+bug/1406716,2015-01-06
1406623,1406623,Fix Released,GBP package name conflict,https://bugs.launchpad.net/group-based-policy/+bug/1406623,2015-01-06
1407608,1407608,Fix Released,The GBP usage document has a few errors,https://bugs.launchpad.net/group-based-policy/+bug/1407608,2015-01-06
1407636,1407636,Fix Released,Parent ruleset is not enforced for Redirect if the child Ruleset is already associated with PTGs,https://bugs.launchpad.net/group-based-policy/+bug/1407636,2015-01-06
1243685,1243685,Fix Released,Servers/Instances sorting order via API,https://bugs.launchpad.net/nova/+bug/1243685,2015-01-05
1402136,1402136,Fix Released,NetApp FC Drivers don't have a driver_cert file,https://bugs.launchpad.net/cinder/+bug/1402136,2015-01-05
1398469,1398469,Fix Released,[block-storage] Need to allow san_private_key only  option,https://bugs.launchpad.net/openstack-chef/+bug/1398469,2015-01-05
1402390,1402390,Fix Released,CentOS 7 No package openvswitch available,https://bugs.launchpad.net/devstack/+bug/1402390,2015-01-05
1373859,1373859,Fix Released,metadata_agent don't work,https://bugs.launchpad.net/devstack/+bug/1373859,2015-01-05
