"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
553889,"3p","Polarsys IDE","3p-inbox","NEW"," ---","Switch to Tycho 0.18.1","2013-08-13 06:31:28"
553891,"3p","Polarsys IDE","3p-inbox","NEW"," ---","Improve Mac OS X package","2013-08-13 09:12:37"
553894,"3p","Polarsys IDE","3p-inbox","NEW"," ---","Naming conventions for Polarsys Packages","2013-09-24 12:21:03"
553895,"3p","Polarsys IDE","3p-inbox","NEW"," ---","Polarsys SDK","2013-09-24 12:26:07"
553897,"3p","Polarsys IDE","3p-inbox","NEW"," ---","Lifelines can not represent classes","2013-11-17 15:26:16"
553898,"3p","Polarsys IDE","3p-inbox","NEW"," ---","Actor shape invisible","2013-11-17 15:30:43"
553899,"3p","Polarsys IDE","3p-inbox","NEW"," ---","Does it make sense an abstract element may realize something?","2014-02-15 07:05:06"
553900,"3p","Polarsys IDE","3p-inbox","NEW"," ---","Sign 3P packages","2014-03-17 14:35:00"
553901,"3p","Polarsys IDE","3p-inbox","NEW"," ---","Template for project creation","2015-02-05 05:54:07"
553888,"3p","Polarsys IDE","matthieu.helleboid","NEW"," ---","Support common 32 bits platforms","2014-09-03 09:20:03"
553892,"3p","Polarsys IDE","3p-inbox","RESOLVED","FIXED","No splash screen at launch time","2014-03-06 10:09:10"
553893,"3p","Polarsys IDE","3p-inbox","VERIFIED","FIXED","Emf DiffMerge Component is missing","2013-09-25 17:00:35"
553896,"3p","Polarsys IDE","3p-inbox","VERIFIED","FIXED","Downgrade PolarSys IDE from 1.0.0 down to 0.7.0","2013-10-08 12:17:48"
