"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
483708,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","When closing 1.8.0 M1","2017-06-23 09:44:39"
484006,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","Tooltip update of FBs","2018-05-23 01:15:56"
484643,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","WONTFIX","provide jre together with the 4diac-ide","2019-02-01 15:00:13"
484644,"4DIAC","4DIAC-SYS","4diac-inbox","CLOSED","WONTFIX","structure of the mechPress example","2019-01-25 10:10:11"
484654,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","additional properties in deploy perspective","2016-04-20 16:27:43"
484664,"4DIAC","4DIAC-LIB","4diac-inbox","CLOSED","FIXED","rename RMT_FRAME","2016-04-20 15:34:47"
484665,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","splited resource editor","2018-01-14 13:06:58"
484666,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","mapping undo/redo","2018-01-14 13:04:34"
484668,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","green diamond for mapped FBs","2015-12-22 11:05:43"
484670,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","rename resource","2016-08-10 08:23:53"
484671,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","difference between application and resource editor","2018-01-14 13:01:23"
484673,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","drag and drop for all editors","2018-08-27 11:58:01"
484676,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","mapping without selection","2016-06-29 09:46:01"
484677,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","refresh application palette","2017-02-09 04:53:28"
484678,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","drop FBs within system configuration","2016-04-20 16:36:35"
484679,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","close all of open editors","2015-12-20 12:34:35"
484715,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","check state and algorithm names","2018-01-14 13:17:28"
