"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
538544,"ACTF","accservice","actf.accservice-inbox","NEW"," ---","fix problem with error handling","2018-09-03 06:50:22"
489097,"ACTF","Doc","kentarou","ASSIGNED"," ---","documentation for HTML5 support","2017-06-28 12:34:16"
490313,"ACTF","Visualization","kentarou","ASSIGNED"," ---","Refactoring: reduce warnings","2016-06-07 11:17:34"
492197,"ACTF","Model","kentarou","ASSIGNED"," ---","enhancement of HTML5 support","2017-06-28 12:33:58"
496572,"ACTF","examples","kentarou","ASSIGNED"," ---","Specify configuration properties (org.eclipse.update.reconcile=false) for example applications","2016-06-22 13:18:48"
530310,"ACTF","Visualization","kentarou","ASSIGNED"," ---","64bit support / Java environment update","2019-02-01 00:40:11"
541739,"ACTF","examples","kentarou","ASSIGNED"," ---","Support WCAG 2.1","2018-11-30 06:31:17"
543999,"ACTF","AI","kentarou","ASSIGNED"," ---","archive unused plugins/features/examples related to ACTF AI","2019-01-31 05:03:54"
544029,"ACTF","Model","kentarou","ASSIGNED"," ---","(64bit) disable ODF related components and check alternative way to support 64bit environment","2019-02-01 00:40:11"
553452,"ACTF","Doc","kentarou","ASSIGNED"," ---","update documentation for example tool","2020-02-13 07:48:24"
540406,"ACTF","Visualization","kentarou","RESOLVED","FIXED","Incorrect Success Criterion Links","2020-01-28 02:51:50"
559607,"ACTF","Visualization","kentarou","RESOLVED","FIXED","support new font-size definitions (e.g., rem, etc.)","2020-02-05 01:08:46"
559609,"ACTF","Visualization","kentarou","RESOLVED","FIXED","Enhance check item C_90 (categorize based on content values and generate 2 types of errors (warning and user check))","2020-02-04 10:48:18"
559838,"ACTF","Visualization","kentarou","RESOLVED","FIXED","Support alpha (opacity), HSL and additional predefined colors in CSS","2020-02-04 11:16:49"
559853,"ACTF","Model","kentarou","RESOLVED","FIXED","DomByCom does not work after browser refresh, etc.","2020-02-05 01:23:01"
486303,"ACTF","examples","kentarou","CLOSED","FIXED","Possible issue with properly located label","2016-04-17 11:00:44"
489096,"ACTF","Visualization","kentarou","CLOSED","FIXED","HTML5 support","2016-04-21 11:34:37"
489400,"ACTF","examples","kentarou","CLOSED","FIXED","update nl features to support latest UI packages","2016-04-17 10:59:10"
490310,"ACTF","Visualization","kentarou","CLOSED","FIXED","JIS X 8341-3:2016 support","2016-04-17 11:08:42"
490948,"ACTF","Visualization","kentarou","CLOSED","FIXED","update UI messages (unification)","2016-04-17 11:07:45"
491391,"ACTF","Model","kentarou","CLOSED","FIXED","ICurrentStyles#getComputedBacgroundColor does not consider style information of ancestor element","2016-04-17 10:59:42"
491867,"ACTF","Visualization","kentarou","CLOSED","WONTFIX","UnsatisfiedLinkError below WindowUtil.<clinit>","2016-04-17 11:42:18"
495607,"ACTF","Model","kentarou","CLOSED","FIXED","Crash in ACTF browser when 'ActiveX Filter' is enabled in IE11","2016-06-29 01:22:06"
496967,"ACTF","examples","kentarou","CLOSED","FIXED","update miChecker with ACTF 1.4.0","2016-06-29 01:27:01"
514944,"ACTF","Visualization","kentarou","CLOSED","FIXED","Avoid com.sun.image.codec.jpeg.JPEGCodec and other JDK internal API","2017-06-29 10:15:38"
518322,"ACTF","Visualization","kentarou","CLOSED","FIXED","Possible issue with redundant text","2017-09-27 11:20:15"
518754,"ACTF","Visualization","kentarou","CLOSED","FIXED","Change type of Check item C_57.2 from warning to error","2017-09-27 11:19:55"
