"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
433110,"AJDT","Core","AJDT-inbox","UNCONFIRMED"," ---","Exception when refactoring (generating getter/setter)","2016-04-23 05:46:30"
314451,"AJDT","Core","aclement","NEW"," ---","OOM, cant compile a project with 1500 classes","2010-10-05 16:20:59"
71700,"AJDT","UI","AJDT-inbox","NEW"," ---","AspectJ option validation","2006-11-07 10:15:44"
79283,"AJDT","UI","AJDT-inbox","NEW"," ---","Show crosscutting in Visualiser based on concrete aspects","2006-03-13 06:20:43"
79723,"AJDT","UI","AJDT-inbox","NEW"," ---","[editor] Improve cross-cutting navigation","2010-06-16 18:11:55"
85624,"AJDT","UI","AJDT-inbox","NEW"," ---","Visualizer UI improvements.","2005-02-21 16:07:03"
90685,"AJDT","UI","AJDT-inbox","NEW"," ---","Show join point selection for pointcuts in outline/crosscutting/pointcut query view","2005-04-07 14:00:06"
106410,"AJDT","Core","AJDT-inbox","NEW"," ---","Allow Removing Outjar Target","2008-05-09 15:55:16"
109363,"AJDT","UI","AJDT-inbox","NEW"," ---","Enable users to specify an IMessageHolder class","2006-11-10 08:16:25"
110597,"AJDT","UI","AJDT-inbox","NEW"," ---","Update AJDT Demos","2005-09-26 10:30:14"
119862,"AJDT","UI","AJDT-inbox","NEW"," ---","Visualiser selection problems","2008-05-09 16:02:52"
131728,"AJDT","Core","AJDT-inbox","NEW"," ---","[plan] [ltw] Cannot use concrete-aspect with LTW launcher","2010-12-08 19:59:14"
138207,"AJDT","UI","AJDT-inbox","NEW"," ---","[plan] [LTW]  Simplify the creation of aspect bundles","2010-12-08 19:59:12"
140152,"AJDT","UI","AJDT-inbox","NEW"," ---","Show override symbol on pointcuts","2006-05-04 09:23:59"
141571,"AJDT","Core","AJDT-inbox","NEW"," ---","Add general export as ""Ant Buildfiles with AspectJ support""","2006-05-12 13:06:20"
143938,"AJDT","UI","AJDT-inbox","NEW"," ---","Allow breakpoints to be set on pointcuts to stop execution","2006-09-23 05:08:10"
157631,"AJDT","UI","AJDT-inbox","NEW"," ---","Distinguish between different deow statements in the Visualiser","2006-09-18 09:54:21"
158990,"AJDT","UI","AJDT-inbox","NEW"," ---","""Change default Visualiser view setting (fit to view)""","2006-12-13 10:02:29"
160868,"AJDT","Core","AJDT-inbox","NEW"," ---","[build] Infinite loop of builds when errors occur while Build Automatically turned on","2013-01-29 00:45:13"
161880,"AJDT","UI","AJDT-inbox","NEW"," ---","AJDT does not show markers for perthis/pertarget aspect deployment joinpoints","2006-10-22 14:04:03"
162185,"AJDT","UI","AJDT-inbox","NEW"," ---","update AJDoc wizard to honour ajc options","2006-10-25 06:19:42"
163948,"AJDT","Core","AJDT-inbox","NEW"," ---","[build] [multiproject] Default project build order causes inconsistent reporting of xlint:cantFindType error","2008-06-13 14:01:47"
170175,"AJDT","Core","AJDT-inbox","NEW"," ---","Disabled warnings are shown when opening file","2007-01-30 03:56:08"
175348,"AJDT","UI","AJDT-inbox","NEW"," ---","AJDT Visualiser: Adding additional options in context menu","2007-02-26 05:50:46"
