"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
291090,"AMP","AMF","milesparker","NEW"," ---","Acore initial conversion and implementation","2009-10-02 16:41:19"
311289,"AMP","AMF","milesparker","NEW"," ---","Support aggregate functions across selections","2014-10-20 16:56:33"
318274,"AMP","Escape","milesparker","NEW"," ---","EMF-based Runtime Models (was: Lookup table for agents)","2010-09-16 11:48:51"
323093,"AMP","AMF UI","milesparker","NEW"," ---","If Agent is relocated, agent references are lost","2013-12-04 11:30:51"
342720,"AMP","Escape","jonas.ruettimann","NEW"," ---","Executing a model should with dependencies from MANIFEST.MF","2011-04-15 04:25:00"
343793,"AMP","Escape","jonas.ruettimann","NEW"," ---","Example Models aren't building, Escape dependency introduced.","2011-05-31 14:27:05"
350995,"AMP","General","jonas.ruettimann","NEW"," ---","Remove JUnit test dependencies from non-test projects. Relax version constraints.","2011-07-07 13:25:14"
353372,"AMP","AXF UI","jonas.ruettimann","NEW"," ---","UI Hangs after model crash.","2011-12-29 22:56:23"
289394,"AMP","Escape","milesparker","NEW"," ---","Investigate debug support for runtime hosted models (long-term)","2010-09-21 13:29:02"
290188,"AMP","AMF UI","milesparker","NEW"," ---","Default options not constrained to appropriate values","2013-12-03 17:56:26"
290195,"AMP","AMF","milesparker","NEW"," ---","Add support for other standard statistical distributions","2014-10-29 13:40:59"
291254,"AMP","AMF","milesparker","NEW"," ---","Acore Reference Release","2009-12-21 14:13:12"
291656,"AMP","AGF Chart","milesparker","NEW"," ---","Allow users to modify chart series colors in customizer","2009-10-07 14:28:09"
295777,"AMP","AMF","milesparker","NEW"," ---","Test execution fails when number of tests is very large.","2011-02-11 13:46:45"
295855,"AMP","AMF UI","milesparker","NEW"," ---","Menus to run and generate models should have only valid options per model project type","2009-11-23 16:03:49"
295935,"AMP","AMF UI","milesparker","NEW"," ---","Support project natures for common project targets","2009-11-23 16:01:05"
298340,"AMP","AMF","milesparker","NEW"," ---","Model version and auto-versioning support","2009-12-21 14:13:12"
298341,"AMP","General","milesparker","NEW"," ---","Externalize all UI elements","2013-07-15 20:40:58"
