"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
350392,"Acceleo","Documentation","accceleo-inbox","NEW"," ---","collectNested returns Bag rather than Sequence for ordered collection","2016-04-04 04:12:06"
330350,"Acceleo","Core","acceleo-inbox","NEW"," ---","GenModel contextual action to initialize a new Acceleo generator project","2010-11-16 08:57:35"
341106,"Acceleo","Core","acceleo-inbox","NEW"," ---","Highlight matching parenthesis in OCL expressions","2016-04-01 09:06:02"
342937,"Acceleo","Core","acceleo-inbox","NEW"," ---","Renaming a package does not refactor acceleo module imports","2016-04-01 09:29:32"
348870,"Acceleo","Core","acceleo-inbox","NEW"," ---","Launch a generator deployed as a plugin from the launch configuration","2016-04-01 11:05:15"
350418,"Acceleo","Core","acceleo-inbox","NEW"," ---","[tooling] Improve UI project generated","2011-06-27 05:57:09"
356316,"Acceleo","Core","acceleo-inbox","NEW"," ---","Build files should match the settings of the project","2011-08-31 08:45:37"
360926,"Acceleo","Core","acceleo-inbox","NEW"," ---","Cannot execute import from another plugin from a different GIT","2017-07-06 10:26:14"
362955,"Acceleo","Core","acceleo-inbox","NEW"," ---","User-declared namespace prefix (needs syntax change)","2016-04-06 10:43:13"
363782,"Acceleo","Core","acceleo-inbox","NEW"," ---","Support ""once"" file generation mode","2016-04-06 11:00:51"
330263,"Acceleo","Core","acceleo-inbox","NEW"," ---","[engine] No multiple dispatch when calling queries","2016-03-29 05:51:56"
361755,"Acceleo","Core","acceleo-inbox","REOPENED"," ---","No diagnosis of Set to OrderedSet let assignment","2016-04-06 10:41:06"
348922,"Acceleo","Core","acceleo-inbox","RESOLVED","FIXED","Can't use a standalone generator if it's deployed in OSGi","2015-11-30 04:56:33"
253801,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Confirm Intent","2010-07-26 09:18:42"
253805,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Communicate","2010-07-26 09:18:22"
253807,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Intent","2010-07-26 09:17:58"
253809,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Attendance","2010-07-26 09:16:29"
253811,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Ramp Down Policy","2010-07-26 09:19:52"
253813,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","IP","2010-05-20 04:51:01"
253816,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","APIs","2010-07-26 09:19:18"
253817,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Message Bundles","2010-07-26 09:18:32"
253820,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Version Numbering","2010-07-26 09:18:07"
253821,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Leverage OSGi","2010-07-26 09:16:22"
253824,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Execution Environment","2010-07-26 09:20:49"
253827,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Signing","2010-07-26 09:19:28"
253839,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Use Jars","2010-05-20 04:53:57"
254003,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Builds","2010-07-26 09:18:37"
254058,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Optimization","2010-07-26 09:18:14"
254110,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Work Together","2010-07-26 09:16:37"
254136,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Capabilities","2010-07-26 09:19:35"
254162,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Localization - Babel","2010-07-26 09:19:22"
254295,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Branding","2010-07-26 09:19:57"
254809,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Orbit","2010-07-26 09:16:10"
307974,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Traceability problem in the results view","2011-02-08 11:26:55"
307997,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","file block should only generate file from String value","2011-10-12 05:12:39"
308673,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Migration mt script with  wizard creation acceleo module is mapped to bad action","2010-04-16 10:46:17"
308812,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Problems with types when wrapping java services","2010-04-16 10:34:05"
308827,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Tranform to Protected Area not really useful","2010-04-17 06:00:23"
309005,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Generation Patterns template initialization","2011-08-18 04:21:57"
309150,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","No expression in default template for let blocks","2010-05-20 05:10:06"
313925,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Acceleo doc looks quite huge","2011-08-18 04:21:56"
350247,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","[engine] Improve the dynamic template extension point","2015-05-27 08:57:36"
254083,"Acceleo","Core","m2t.jet-inbox","CLOSED","FIXED","New & Noteworthy","2010-05-20 04:45:40"
254188,"Acceleo","Core","m2t.jet-inbox","CLOSED","FIXED","Localization - ICU4J","2010-07-26 09:19:13"
254217,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Usability","2010-07-26 09:20:34"
254244,"Acceleo","Core","acceleo-inbox","CLOSED","WONTFIX","Accessibility","2010-07-26 09:20:39"
254270,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Performance","2010-07-26 09:20:08"
254321,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Localization - Babel PTT","2010-07-26 09:20:25"
254349,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Localization - UI freeze","2010-07-26 09:20:18"
254375,"Acceleo","Core","acceleo-inbox","CLOSED","WONTFIX","Localization - bidi","2010-07-26 09:20:13"
273029,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Error while editing a template","2011-08-18 04:21:54"
288748,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Override doesn't work in some case (same template name)","2011-02-09 05:39:35"
295598,"Acceleo","Core","acceleo-inbox","CLOSED","DUPLICATE","Imported routines break after editing a template","2011-03-28 09:20:51"
301272,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","[Acceleo] Escaping backslashes","2011-04-29 08:45:46"
303608,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Outline view not usable","2010-06-23 08:19:43"
306692,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Invalid URI conversion when generation project not in workspace","2011-02-01 09:40:02"
309006,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Generation Patterns: several template for the same type","2011-02-09 05:49:39"
309283,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Debug view: Former executions remaining","2010-04-20 05:52:14"
309569,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Refactor a template or a query","2011-10-12 05:14:42"
313669,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Query type is not checked","2010-12-17 09:10:06"
314832,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED"," ->eAllContents is proposed but fails silently","2016-03-22 11:14:13"
326331,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","[tooling] Closing project does not invalidate meta-model","2015-05-27 08:56:55"
331978,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","[engine] Bad indentation with protected area","2011-08-18 04:21:59"
348833,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","[tooling] Builder inhibits UI","2015-05-27 08:54:39"
349278,"Acceleo","Core","acceleo-inbox","CLOSED","WONTFIX","Explicit platform:/resource occluded by plugin resource","2014-05-27 05:59:47"
350219,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Introduce a cache to improve performances of the compilation and the tooling","2015-05-27 08:58:23"
358975,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Inappropriate customBuildCallbacks error log message","2015-05-27 08:57:51"
249317,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Add MTL wizard description","2011-08-18 04:10:33"
249476,"Acceleo","Core","acceleo-inbox","CLOSED","WORKSFORME","[MTL Editor] problem with text color in commented section","2011-08-18 04:11:52"
249477,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","[MTL Editor] Shortcut for comment block","2011-08-18 04:13:15"
249581,"Acceleo","Core","acceleo-inbox","CLOSED","INVALID","[MTL Editor] Completion proposal is incomplete","2011-08-18 04:22:24"
249598,"Acceleo","Core","acceleo-inbox","CLOSED","WONTFIX","renaming a MTL template didn't rename associated java class","2011-08-18 04:22:15"
249604,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","content assit not providing multiplicity information","2011-08-18 04:22:04"
249619,"Acceleo","Core","acceleo-inbox","CLOSED","DUPLICATE","NPE when copy/paste inside MTL editor","2011-08-18 04:22:10"
249774,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","[Contribution] New unit tests for MTL Engine plugin test","2011-10-12 05:11:35"
249979,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","There is a possibility to create cyclic module overrides","2011-08-18 04:22:25"
250395,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","[MTL] the parser shouldn't allow for multiple parameters with the same name","2011-08-18 04:22:21"
250397,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","[MTL] The parser shouldn't allow for multiple identical template definitions","2010-05-20 04:53:28"
250650,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","[PATCH] new MTL example : Uml 2 java","2011-10-12 05:10:39"
251081,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Bad color highlightning for comments","2010-05-20 04:52:20"
251082,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","bad indentation in generated file","2011-08-18 04:22:11"
252168,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","[MTL] parsing should provide compilation error for duplicate protected area","2010-07-30 05:22:06"
252169,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","[engine] Evaluation should provide runtime error for duplicate protected area","2015-05-27 08:56:33"
252207,"Acceleo","Core","acceleo-inbox","CLOSED","FIXED","Stacktrace when invoking the ""new MTL template"" wizard","2011-08-18 04:22:18"
