"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
462782,"AspectJ","Compiler","AJDT-inbox","NEW"," ---","AspectJ incompatible with annotation processing","2018-07-05 11:29:59"
369170,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","Exceptions on eclipse startup.","2012-06-18 06:54:09"
369261,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","static ITDs on interfaces","2012-01-20 12:31:06"
370159,"AspectJ","Runtime","aspectj-inbox","NEW"," ---","FieldSignatureImpl.getField returns null","2012-01-30 15:03:02"
370447,"AspectJ","Runtime","aspectj-inbox","NEW"," ---","IllegalArgumentException: error annotation type patterns are only supported at Java 5 compliance level or above","2012-02-02 10:11:26"
371446,"AspectJ","Library","aspectj-inbox","NEW"," ---","ClassCastException when advice is conditioned by @DeclareMixing and pointcut on method with argument","2012-02-14 01:24:05"
371793,"AspectJ","Compiler","aspectj-inbox","NEW"," ---"," @javax.annotation.Nonnull on constructor args causes bad class file / bad signature error when javac tries to use a woven class","2012-08-29 17:43:06"
372559,"AspectJ","Docs","aspectj-inbox","NEW"," ---","Documentation is missing syntax of ""after returning"" statement","2012-02-24 20:54:06"
373461,"AspectJ","Library","aspectj-inbox","NEW"," ---","Jvm crash with error org.aspectj.weaver.UnresolvedType.nameToSignature(Ljava/lang/String;)Ljava/lang/String;","2012-03-14 17:45:53"
374325,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","AJC fails with: Dont call getValueString() on a non STRING ElementValue","2012-03-15 14:53:57"
375477,"AspectJ","IDE","aspectj-inbox","NEW"," ---","Dozens of ""Exception thrown from aspectJ"" dialogs","2013-01-30 22:19:24"
375777,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","IllegalStateException at org.aspectj.weaver.ReferenceType.getDeclaredInterfaces(ReferenceType.java:627)","2012-04-19 17:23:19"
375881,"AspectJ","LTWeaving","aspectj-inbox","NEW"," ---","allow declare annotation constructs in aop.xml","2013-06-24 11:06:55"
376030,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","ordering issue with @annotation binding on field targeted by declare anno","2012-04-04 16:32:39"
376918,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","nameToSignature doesn't handle a particular format of array name","2012-04-16 18:15:47"
377130,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","annotations lost when put on privileged aspects","2012-04-18 19:38:49"
377993,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","Type inference fails for parameterized method call","2012-04-28 03:39:20"
378361,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","AspectJ and WELD 1.1.4 - Final method @Around","2012-05-07 16:48:57"
378396,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","Problem with AJ Editor with final + compiler problem due to the @DeclareParents(value=""xxx || xxxx"")","2012-05-08 08:53:23"
379530,"AspectJ","LTWeaving","aspectj-inbox","NEW"," ---","LT should be able to explore WAR or EAR file type by itself","2012-05-18 13:42:17"
380892,"AspectJ","Runtime","aspectj-inbox","NEW"," ---","META-INF/MANIFEST.MF not found by JarInputStream()","2012-05-29 08:48:11"
382389,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","missing perclause from superclass message is misleading","2013-06-25 12:26:30"
382509,"AspectJ","LTWeaving","aspectj-inbox","NEW"," ---","Making AspectJ more dynamic with minor syntax tweak.","2012-06-13 11:28:06"
383473,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","Exception thrown when trying to build with .aj files","2012-06-25 13:17:28"
385923,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","Assertions in aspects cannot be disabled with commandline arguments","2012-07-25 10:21:45"
386341,"AspectJ","LTWeaving","aspectj-inbox","NEW"," ---","Shared - Fast Cache System","2012-10-01 18:12:06"
387499,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","Enable preventing of use of inheritance","2012-08-17 13:45:41"
387768,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","org.apache.bcel.generic.ClassGenException: Couldn't find target for branch: goto[167](3) -> null","2012-08-22 16:22:34"
388410,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","Language extension: make proceed() a joinpoint","2012-08-30 06:14:19"
388779,"AspectJ","IDE","aspectj-inbox","NEW"," ---","Illegal argument exception on invalid Declare annotation","2012-09-04 14:06:07"
389146,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","abstract pointcuts compiled with ajc not visible","2012-09-10 05:28:07"
392311,"AspectJ","Runtime","aspectj-inbox","NEW"," ---","NPE during load time weaving (spurious)","2012-10-30 07:23:47"
392634,"AspectJ","LTWeaving","aspectj-inbox","NEW"," ---","Loading aop.xml file phones home to Eclipse.org","2012-10-24 14:27:51"
392665,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","More spring-data issues","2012-10-23 11:26:02"
392677,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","Weaving Spring Data Neo4j aspects in scalac compiled bytecode failing","2012-10-23 13:25:18"
393005,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","[ERROR] ""is missing <clinit>"" when compiling in Maven","2012-10-28 14:48:11"
393996,"AspectJ","LTWeaving","aspectj-inbox","NEW"," ---","Intermittent NPE auto-filling variables","2012-11-09 12:23:34"
395027,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","Abstract Method Error on interface invocation","2012-11-26 08:40:30"
395171,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","BCException - Internal compiler error","2013-02-05 14:16:20"
395225,"AspectJ","Compiler","aspectj-inbox","NEW"," ---","ProceedingJoinPoint.StaticPart","2012-11-29 11:02:29"
395771,"AspectJ","Build","aspectj-inbox","NEW"," ---","FileNotFoundException when compiling a project with aspects","2012-12-05 16:31:03"
