"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
455286,"BIRT","Documentation","bgamble","NEW"," ---","javadoc for provisional Data Engine API should be removed from help.e.o","2014-12-16 12:37:27"
405665,"BIRT","Build","Birt-Build-inbox","NEW"," ---","DataSet generates wrong DATETIME string for MySql","2013-09-25 08:52:25"
411850,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Version 4.3.0 of BIRT Runtime cannot be found in the Maven central repository","2013-07-17 05:51:09"
432905,"BIRT","Build","Birt-Build-inbox","NEW"," ---","How to upgrade birt reports from 3.7.2 to 4.3.1 manually( Is any modifications are required to do in pom.xml).Previousely i developed reports by using 3.7.2 then how can i upgrade that code to 4.3.1","2014-04-17 01:00:28"
465535,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Using embedded POI in BIRT 4.4.2 throws exception ""WorkbookFactory.create is not a function, it is object""","2015-04-27 05:45:10"
476105,"BIRT","Build","Birt-Build-inbox","NEW"," ---","BIRT Columns and Doughnut Charts","2015-09-09 03:24:59"
476815,"BIRT","Build","Birt-Build-inbox","NEW"," ---","this a bug report for an unlisted project: the eclipse.org website","2015-09-07 14:54:19"
477532,"BIRT","Build","Birt-Build-inbox","NEW"," ---","birt-report-framework-4.5.0-20150609.zip package is neither in p2 nor in ready-to-run format","2015-09-16 03:47:22"
480067,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Adopt POI API Latest Version (3.13)","2016-04-04 13:11:08"
484442,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Cannot start a birt project after installation.","2015-12-15 16:37:42"
484923,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Installers security vulnerability","2015-12-28 18:08:07"
371362,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Proposed new Surface Chart","2012-06-13 04:01:16"
378362,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Zero/0-value without label in bar chart","2012-06-13 02:19:35"
386530,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","add new feature to support nested label","2012-08-06 04:32:32"
386560,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","enable setting z order for dataseries in radarchart","2012-08-06 03:29:49"
389100,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Tooltip still shows up when the series is hidden","2013-05-23 03:08:23"
389582,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","individual format for each webline of a radarchart","2012-09-19 05:41:20"
