"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
378997,"BPEL","UI","bpel.default-inbox","NEW"," ---","Remove usage of internal packages and fix Juno build","2015-09-08 15:20:33"
377207,"BPEL","API","bbrodt","NEW"," ---","Proposal to develop a BPEL Process visualization tool","2012-04-19 11:46:33"
391913,"BPEL","API","bbrodt","NEW"," ---","reintroduce expression editors","2013-09-06 03:48:16"
395840,"BPEL","API","bbrodt","NEW"," ---","Embeddable Xtext editors","2012-12-06 10:27:43"
398651,"BPEL","API","bbrodt","NEW"," ---","Add Target Platforms for indigo, juno and kepler","2013-01-21 11:16:22"
367715,"BPEL","UI","bpel.default-inbox","NEW"," ---","Provide an extension point to add dropTarget","2012-01-05 11:55:47"
369374,"BPEL","UI","bpel.default-inbox","NEW"," ---","A tree-based assign editor","2012-01-23 09:20:31"
374797,"BPEL","Runtime","bpel.default-inbox","NEW"," ---","releng issue: juno contributions coming from build machine?","2012-03-20 13:07:01"
376297,"BPEL","UI","bpel.default-inbox","NEW"," ---","Activity Pick's bugs","2012-04-08 10:27:42"
377556,"BPEL","UI","bpel.default-inbox","NEW"," ---","Add support for <documentation> element","2012-04-24 13:12:56"
380679,"BPEL","UI","bpel.default-inbox","NEW"," ---","please update BPEL download/update pages to reference 1.0.0.v20120518-1552-H175-CI","2012-05-25 10:44:59"
383169,"BPEL","UI","bpel.default-inbox","NEW"," ---","Bug of copy/paste the node has children nodes","2012-06-20 21:51:18"
400646,"BPEL","Model","bpel.default-inbox","NEW"," ---","Failed to load JavaHL Library.","2013-02-13 00:14:13"
404115,"BPEL","UI","bpel.default-inbox","NEW"," ---","Cannot select a data type to a variable","2013-03-22 05:22:22"
406230,"BPEL","UI","bpel.default-inbox","NEW"," ---","Expression Editor Content Assist","2013-04-22 11:02:08"
407120,"BPEL","UI","bpel.default-inbox","NEW"," ---","XPath Expression language doesn't recognize variables (autocomplete / content assist)","2013-05-02 17:56:46"
407648,"BPEL","UI","bpel.default-inbox","NEW"," ---","BPEL diff/merge is broken","2013-05-09 09:32:08"
409611,"BPEL","Model","bpel.default-inbox","NEW"," ---","Serialization produces inconsistent line breaks","2013-05-31 13:03:02"
409649,"BPEL","Model","bpel.default-inbox","NEW"," ---","Model should not depend on UI","2017-07-19 03:31:21"
412169,"BPEL","Runtime","bpel.default-inbox","NEW"," ---","Deployment of BPEL project to Apache ODE","2013-07-03 04:02:42"
443179,"BPEL","UI","bpel.default-inbox","NEW"," ---","Repetition in tooltips","2014-09-03 05:09:15"
370923,"BPEL","Model","bpel.default-inbox","RESOLVED","FIXED","Precedence in the class BPELwriter","2012-02-09 12:16:29"
376349,"BPEL","Runtime","bpel.default-inbox","RESOLVED","FIXED","New Server wizard fails when trying to add Ode v1.x Server","2012-04-09 15:20:17"
378241,"BPEL","Runtime","bpel.default-inbox","RESOLVED","FIXED","Unable to create new server runtime in ""New BPEL Project"" wizard","2015-02-11 03:48:50"
378599,"BPEL","UI","bpel.default-inbox","RESOLVED","FIXED","WizardFragments defined in Ode runtime are no longer being displayed for New Server Runtime wizard","2012-05-09 11:16:03"
379547,"BPEL","UI","bpel.default-inbox","RESOLVED","FIXED","Namespaces Tab throws NPE when tab is selected","2012-05-15 17:35:42"
379613,"BPEL","Runtime","bpel.default-inbox","RESOLVED","FIXED","Changes to the BPEL process are not deployed automatically after save.","2012-05-15 17:44:08"
386840,"BPEL","UI","bpel.default-inbox","RESOLVED","NOT_ECLIPSE","BPEL Designer hangs with 100% of CPU","2012-08-16 09:02:47"
412340,"BPEL","Runtime","bpel.default-inbox","RESOLVED","FIXED","404 at BPEL Project Discover page","2013-07-05 10:44:14"
420947,"BPEL","UI","bpel.default-inbox","RESOLVED","FIXED","Deleting Data Association from I/O Parameters table does not delete Connection line","2013-11-02 15:37:30"
423966,"BPEL","UI","bpel.default-inbox","RESOLVED","FIXED","Eclipse Luna compatibility","2015-05-26 13:50:58"
468058,"BPEL","UI","bpel.default-inbox","RESOLVED","FIXED","NPE thrown when creating Join Condition expression for ForEach activity","2015-09-14 11:36:54"
404117,"BPEL","UI","bpel.default-inbox","VERIFIED","FIXED","Cannot set date (deadline expression) in Wait and OnAlarm","2014-09-03 04:52:22"
440835,"BPEL","UI","bpel.default-inbox","VERIFIED","FIXED","New BPEL Process wizard should display a warning when user selects a target other than bpelContent folder","2014-08-04 03:05:33"
443182,"BPEL","UI","bpel.default-inbox","VERIFIED","FIXED","Properties for ForEach activity is not displayed","2015-07-31 06:14:35"
461558,"BPEL","UI","bpel.default-inbox","VERIFIED","FIXED","ArrayIndexOutOfBoundsException when selecting Completion tab in ForEach activity","2015-09-14 11:36:42"
367764,"BPEL","UI","bpel.default-inbox","CLOSED","FIXED","Export org.eclipse.bpel.ui.dnd package","2012-01-04 05:00:03"
367841,"BPEL","UI","bpel.default-inbox","CLOSED","FIXED","BPELTextTransferDropTargetListener blocks additional DropListeners","2012-04-09 16:22:27"
368598,"BPEL","Runtime","bpel.default-inbox","CLOSED","FIXED","Get Planning council exception for BPEL to join Juno-M5","2012-06-08 03:49:15"
381331,"BPEL","Model","bpel.default-inbox","CLOSED","FIXED","first name not visible on profile page","2014-08-08 16:41:16"
397136,"BPEL","Model","bpel.default-inbox","CLOSED","DUPLICATE","org.eclipse.bpel.model transitively depends on GUI","2013-06-02 13:50:16"
431873,"BPEL","UI","bpel.default-inbox","CLOSED","WORKSFORME","Eclipse BPEL Editor expression editor is not showing","2014-08-08 15:59:01"
