"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
351767,"BPMN2Modeler","Core","bbrodt","RESOLVED","FIXED","IPzilla is missing a project","2011-07-12 17:49:04"
355628,"BPMN2Modeler","UI","bbrodt","RESOLVED","FIXED","Add XML View tab","2012-03-15 10:50:00"
355629,"BPMN2Modeler","UI","bbrodt","RESOLVED","WONTFIX","Exception when generating gif image","2015-05-11 09:38:27"
355631,"BPMN2Modeler","UI","bbrodt","RESOLVED","FIXED","Add shortcut for adding/removing loop characteristics","2012-10-09 11:42:50"
355632,"BPMN2Modeler","UI","bbrodt","RESOLVED","FIXED","Message nodes missing from message links in collaboration diagram","2013-01-11 15:22:12"
355635,"BPMN2Modeler","UI","bbrodt","RESOLVED","FIXED","Exception when moving message annotation in DI Conversation example","2011-12-09 13:55:55"
355636,"BPMN2Modeler","UI","bbrodt","RESOLVED","FIXED","Vertical collaboration example not displayed correctly - lanes are horizontal and send task is missing","2012-03-12 15:37:54"
355639,"BPMN2Modeler","UI","bbrodt","RESOLVED","FIXED","Change file extension from .bpmn2 to .bpmn and use content descriptors to associate with correct editor","2012-10-09 11:44:13"
355641,"BPMN2Modeler","UI","bbrodt","RESOLVED","FIXED","Message links between pools are anchored using central point of connected nodes","2013-01-11 15:23:27"
355642,"BPMN2Modeler","UI","bbrodt","RESOLVED","FIXED","Context menu on Timer Event Definition has repeated menu items","2012-10-09 11:44:50"
355644,"BPMN2Modeler","UI","bbrodt","RESOLVED","FIXED","Editor does not close when resource is deleted","2012-10-09 11:45:26"
355651,"BPMN2Modeler","UI","bbrodt","RESOLVED","FIXED","ItemDefinition.structureRef property not being handled correctly","2011-12-09 16:02:24"
355652,"BPMN2Modeler","UI","bbrodt","RESOLVED","WORKSFORME","WorkItems ordered in editor","2011-12-09 16:08:45"
355653,"BPMN2Modeler","UI","bbrodt","RESOLVED","FIXED","itemSubjectRef not resolved if using Java class rather than XSD type","2011-12-05 12:39:41"
355654,"BPMN2Modeler","UI","bbrodt","RESOLVED","FIXED","Issue with escalation (id not found)","2011-12-05 12:44:31"
355656,"BPMN2Modeler","UI","bbrodt","RESOLVED","FIXED","Property Editor: Process","2012-03-01 09:15:12"
355657,"BPMN2Modeler","UI","bbrodt","RESOLVED","FIXED","Property Editor: Service Task","2012-03-01 09:48:54"
