"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
488150,"Babel","Plugins","babel.core-inbox","NEW"," ---","[Message editor] It should be possible to copy / paste keys and translations between resource bundles","2016-02-20 04:05:58"
516031,"Babel","Plugins","babel.core-inbox","NEW"," ---","adding a new key generate empty strings for all the available languages","2019-04-23 06:41:51"
561277,"Babel","Website","babel.core-inbox","NEW"," ---","Error when login - Authorize contribution","2020-03-19 16:19:32"
561354,"Babel","Plugins","babel.core-inbox","NEW"," ---","Please sign Babel's jar file","2020-03-23 04:53:02"
562277,"Babel","Website","babel.core-inbox","NEW"," ---","Publish Babel language packs on Marketplace","2020-04-17 17:55:54"
564952,"Babel","Plugins","babel.core-inbox","NEW"," ---","Replace use of org.eclipse.ui.internal.misc.StringMatcher","2020-07-14 17:13:37"
530954,"Babel","Server","babel.server-inbox","NEW"," ---","Babel project sync should use PMI for Bugzilla data, not old project meta-data","2020-03-03 07:49:02"
534967,"Babel","Server","babel.server-inbox","NEW"," ---","Search functionality to find translation keys on Babel web site","2019-11-13 14:14:14"
549619,"Babel","translations","babel.server-inbox","NEW"," ---","German: Technology.subversive Version 4.0.5 and 4.0.2 are empty","2019-08-20 02:26:10"
552908,"Babel","Server","babel.server-inbox","NEW"," ---","Unable to access project source locations page","2019-11-14 08:56:48"
560281,"Babel","translations","babel.server-inbox","NEW"," ---","Please add support for signed plugins","2020-02-18 11:05:07"
564497,"Babel","Server","babel.server-inbox","NEW"," ---","HTML errors in Babel translate page","2020-06-20 05:13:44"
564510,"Babel","Server","babel.server-inbox","NEW"," ---","Clear translation hint button doesn't work first time","2020-06-21 03:49:01"
543481,"Babel","Website","denis.roy","NEW"," ---","http://babel.eclipse.org/babel/importing.php redirects to https and back","2019-11-14 08:56:48"
562884,"Babel","Server","denis.roy","NEW"," ---","Cleanup Babel translation database","2020-05-06 10:13:38"
513862,"Babel","Plugins","jdt-apt-inbox","NEW"," ---","Fail to install Babel","2019-03-10 07:30:58"
543382,"Babel","Website","ramat","ASSIGNED"," ---","Auto setting Non-Translatable flag when importing properties files.","2019-12-17 04:40:02"
500867,"Babel","translations","babel.server-inbox","RESOLVED","FIXED","Test text ""小六子for tesing"" in chinese simple language pacakge","2016-09-17 12:57:34"
485252,"Babel","Plugins","babel.core-inbox","RESOLVED","FIXED","Issue with BabelLanguagePack-eclipse","2016-01-12 16:26:06"
487046,"Babel","Plugins","babel.core-inbox","RESOLVED","WORKSFORME","Import Not available","2018-02-06 10:25:28"
488151,"Babel","Plugins","babel.core-inbox","RESOLVED","FIXED","Enable Gerrit support for babel-plugins repository","2016-11-28 13:56:25"
509880,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","Latest versions for projects missing (CDT, Trace Compass)","2017-08-05 01:45:03"
527859,"Babel","Website","babel.core-inbox","RESOLVED","WORKSFORME","Problem with IDEWorkbenchMessages.PromptOnExitDialog_message1","2017-12-27 23:43:30"
533442,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","Cannot add EASE to babel","2018-05-14 09:30:19"
538207,"Babel","EnglishStrings","babel.core-inbox","RESOLVED","FIXED","Pattern got translated wrong","2020-08-20 09:00:45"
541477,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","Babel nightly build update site are not available","2018-11-23 14:11:32"
541742,"Babel","EnglishStrings","babel.core-inbox","RESOLVED","WORKSFORME","Missing translations (German) for TM Terminal","2018-12-03 20:58:58"
543654,"Babel","Plugins","babel.core-inbox","RESOLVED","INVALID","langauge packs for GEF 3 are missing","2019-01-28 01:51:54"
544767,"Babel","EnglishStrings","babel.core-inbox","RESOLVED","FIXED","Preferences button CloseAndApply missing spanish text","2019-02-26 13:25:59"
546757,"Babel","translations","babel.core-inbox","RESOLVED","FIXED","Mistake in spanish translation at org.eclipse.ui.workbench.nl_es","2019-04-29 12:05:56"
562058,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","Multiple faults","2020-05-06 09:05:37"
564284,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","Website failure","2020-06-14 13:53:03"
486389,"Babel","translations","babel.server-inbox","RESOLVED","FIXED","Create Eclipse Language Pack for Vietnamese","2016-03-18 21:13:47"
486715,"Babel","translations","babel.server-inbox","RESOLVED","FIXED","Babel features still use old user license agreement (from 2005)","2016-01-29 15:24:38"
489981,"Babel","translations","babel.server-inbox","RESOLVED","DUPLICATE","Please add vietnamese in Babel","2016-03-18 21:13:47"
