"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
338746,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Add support for search scopes","2016-09-16 15:42:45"
489666,"CBI","p2 Repository Analyzers","cbi-inbox","NEW"," ---","The ""version compare"" report gets confused when intentionally multiple versions","2020-04-08 11:07:10"
369002,"CBI","prototype","cbi.prototype-inbox","NEW"," ---","Isolate CBI platform build from uncontrolled software sources","2015-06-02 10:56:58"
177366,"CBI","maven-plugins","cbi-inbox","NEW"," ---","Copyright checker tool for committers","2020-08-06 04:34:10"
284970,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[aggregator] Make it possible to map individual bundles and create custom features","2016-09-16 15:42:52"
290623,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[aggregator] Allow sharing of aggregated artifacts","2016-09-16 15:44:36"
292325,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[aggregator] Create a DSL for the aggregator build model to make it easier to edit as normal text.","2016-09-16 15:43:51"
292805,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[aggregator] Split model editor view to facilitate model composition","2016-09-16 15:44:25"
294667,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[aggregator] Maven repo creation from Aggregation requires .jar.pack.gz files to be unzipped","2016-09-16 15:42:31"
295051,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[aggregator] Exclusion and valid configuration rule should support name patterns in addition to invidual IU references","2016-09-16 15:43:12"
295058,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[aggregator] Exclusion rules and Valid Configuration rules should be merged","2016-09-16 15:44:20"
295756,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[aggregator] What to do when mapped IUs are missing or mapped repos are are down/missing","2016-09-16 15:43:54"
299145,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[aggregator] Usability enhancement: scroll to parent mapped repo","2016-09-16 15:44:18"
299511,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[aggregator] Aggregator doesn't work for mvn2-to-p2 repo conversion","2016-09-16 15:42:17"
301466,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[meta] b3 project's web site needs love","2016-09-16 16:07:50"
302222,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Would be nice to detect features with same ID, but different content","2016-09-16 15:43:45"
303178,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Could you add support for opting out of validation for an aggregated site?","2016-09-16 15:44:40"
303244,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Support injecting associate sites into resulting content.xml when building repo","2016-09-16 15:44:00"
308872,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","add support for preferences","2016-09-16 15:44:02"
312976,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Aggregator should have COPY_BOTH option to copy artifacts, and their metadata","2016-09-16 15:42:34"
313129,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Potential conflict warning","2016-09-16 15:43:47"
314008,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[proposals] add icons","2016-09-16 16:04:07"
316400,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Translate indecipherable error when verifying the model validation into markers","2016-09-16 15:43:05"
316401,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","aggregator fails silently, in some cases","2016-09-16 15:43:35"
319475,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","editor - do not unlink external file if open in more than one editor","2016-09-16 16:03:58"
319905,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","ExtLinkedXtextEditor has b3 specific code","2016-09-16 16:03:53"
320702,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[maven] Support merging maven-metadata files","2016-09-16 15:48:41"
327467,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","formatting of unit name should not always insert quotes","2016-09-16 16:03:31"
327795,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","clean up error generated for references to missing variable","2016-09-16 16:03:52"
330559,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","building a maven repo from releases","2016-09-16 15:42:14"
332383,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","aggregator doesn't report low level parsing errors in email","2016-09-16 15:42:47"
338744,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Add wrapping support for searches","2016-09-16 15:42:39"
353106,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Repo Browser: select parent mapped repo when repo is mapped more than once","2016-09-16 15:44:12"
354238,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[editor] redirect messages in console","2016-09-16 15:43:10"
357616,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Copying Validation sets between models results in inter-model reference","2016-09-16 15:43:58"
358034,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Adding maven central as repository to an aggregation does not complete","2016-09-16 15:42:24"
358704,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","does 'contact' need to be two-way ""reusable"" element of model?","2016-09-16 15:43:03"
362894,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Log warning noise: custom category p2 description property value is missing from generated content meta","2016-09-16 15:43:30"
363534,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Is there any way of speeding up builds?","2016-09-16 15:44:29"
365006,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","aggregator could be more forgiving of multiple singletons if resolution.devMode=true specified","2016-09-16 15:44:14"
368349,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","blame mail sent to wrong contribution contact","2016-09-16 15:43:16"
375875,"CBI","artifact repository","cbi-inbox","NEW"," ---","Build promotion automation","2014-03-31 15:45:35"
378380,"CBI","docs","cbi-inbox","NEW"," ---","Generate default index.html for p2 repositories","2014-02-12 11:06:45"
378572,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","missed validation errors (for a long time?)","2016-09-16 15:44:09"
387495,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","aggregator does not always display validation errors to user","2016-09-16 15:43:08"
388775,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Editor causes ArrayStoreException when b3aggrcon file has error","2016-09-16 16:03:43"
401450,"CBI","build help","cbi-inbox","NEW"," ---","Provide recommendation on the groupId naming","2016-07-22 11:29:04"
417755,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","hard to find ""could not mirror"" message in log","2016-09-16 15:48:39"
418337,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","shared b3.p2.tests JRE should be changed to ""1.6"".","2016-09-16 15:44:04"
418952,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","error message from aggregator gives no hint as to fundamental problem","2016-09-16 15:43:18"
431664,"CBI","artifact repository","cbi-inbox","NEW"," ---","Admin webpage for managing your releases","2014-03-31 15:42:29"
431665,"CBI","artifact repository","cbi-inbox","NEW"," ---","Index page generation for releases","2014-05-27 17:14:07"
455525,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Eliminate model fragility","2016-09-16 15:42:27"
457365,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Invalid ""schema id"" is not detected by aggregator (or, EMF?)","2016-09-16 15:43:22"
462413,"CBI","docs","cbi-inbox","NEW"," ---","macsigner documentation needs updating","2015-03-18 09:30:05"
465505,"CBI","docs","cbi-inbox","NEW"," ---","Should document and simplify ""deployment""","2015-04-26 14:24:24"
471790,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Failover repository","2016-09-16 15:43:56"
476980,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","aggregator does not detect identical ""configuration"" triplets.","2017-03-21 12:43:22"
480844,"CBI","docs","cbi-inbox","NEW"," ---","Create a CBI handbook","2017-03-21 18:17:36"
482349,"CBI","build help","cbi-inbox","NEW"," ---","Generating an MSI installer","2016-08-16 14:23:23"
483704,"CBI","maven-plugins","cbi-inbox","NEW"," ---","Provide a means of comparing build dependencies against project CQs","2015-12-04 18:19:52"
484518,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Batch ""validate"" does not fail when editor's ""validate"" does","2016-09-16 16:03:41"
485472,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Better handling of p2 issues and SimRel recommendation","2016-09-16 16:03:48"
485813,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Better support for .b3aggrcon files","2016-09-16 16:03:45"
486078,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","aggregator should not send ""blame mail"" if more than a certain number of them","2017-03-21 12:48:23"
487895,"CBI","p2 Repository Analyzers","cbi-inbox","NEW"," ---","Type of builds and where to deploy artifacts to CBI p2 repository","2016-02-17 03:30:11"
489043,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Improve UI to set versions","2016-09-16 16:04:11"
489268,"CBI","signing-service","cbi-inbox","NEW"," ---","Allow renaming ECLIPSE_.RSA and ECLIPSE_.SF using signing webservice","2016-03-09 09:11:18"
493044,"CBI","p2 Repository Analyzers","cbi-inbox","NEW"," ---","Consider project specific ""alerts"" for repo reports","2016-05-06 13:35:55"
493675,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","b3 fails to mirror the anyedit repository in headless mode but succeeds as a plugin","2017-03-21 12:43:15"
498360,"CBI","build help","cbi-inbox","NEW"," ---","Provide a tool that performs update site promotions","2017-07-17 11:33:58"
504647,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---"," --trustedContribution is not easy to use","2016-10-06 08:51:43"
506245,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Add some functional tests for aggregator","2016-10-31 15:07:37"
506556,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","reduce ide repository size","2016-10-26 08:52:36"
506725,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Update aggregator manual to include more accurate install instructions","2016-11-17 13:34:17"
506852,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","create ""archives"" location","2016-11-01 16:47:23"
507845,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","[simrel] Add ""reinstallEclipseToolsAndTests"" as an option on Hudson jobs","2016-11-21 02:54:18"
507980,"CBI","p2 Repository Analyzers","cbi-inbox","NEW"," ---","restructure poms to be more ""typically maven"" structure.","2016-11-22 12:52:31"
507983,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","add formal ""project id"" and ""offset"" to ""Contribution"" in model.","2016-11-22 14:28:11"
509475,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","agentLocation is not set as documented","2016-12-19 14:09:21"
509806,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","ArrayIndexOutOfBoundsException below ResourceUtils.getAggregation (thrown in System.arraycopy)","2017-01-02 03:36:42"
511074,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Some missing IUs when ""aggregating everything"" from Eclipse repository","2017-01-26 18:20:47"
511145,"CBI","CBI p2 Repository Aggregator","cbi-inbox","NEW"," ---","Version Format a bit confusing if doing a non-maven aggregation.","2017-01-26 20:02:16"
