"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
486774,"CFT","General","cft-inbox","UNCONFIRMED"," ---","Node.js projects can't be deployed to Cloud Foundry server","2017-09-21 16:08:38"
498003,"CFT","General","cft-inbox","UNCONFIRMED"," ---","Spring STS 3.8.0 + CFT 1.0.1","2018-08-21 16:57:51"
506163,"CFT","General","cft-inbox","UNCONFIRMED"," ---","Application deployment wizard should display an error if the user is attempting to bind to a non-existent service in the manifest yaml scenario","2016-10-31 11:39:33"
528098,"CFT","General","cft-inbox","UNCONFIRMED"," ---","Translation:  'Access token denied 403' error message not translated to Arabic","2017-12-04 10:12:31"
528099,"CFT","General","cft-inbox","UNCONFIRMED"," ---","Translation: Copyright information is not translated to Arabic for CF Tools Server Core Feature","2017-12-04 10:23:45"
528100,"CFT","General","cft-inbox","UNCONFIRMED"," ---","Translation: Wrong place for the parentheses in the Server Editor when translated to Arabic","2017-12-04 10:26:11"
528101,"CFT","General","cft-inbox","UNCONFIRMED"," ---","Translation:  'Applications and Services' & column headers in server editor are not translated to Arabic","2017-12-04 10:28:15"
540671,"CFT","General","cft-inbox","UNCONFIRMED"," ---","Unable to add new application type using extensions","2018-10-31 17:10:14"
547259,"CFT","General","cft-inbox","UNCONFIRMED"," ---","ceshi","2019-05-14 10:37:02"
562376,"CFT","General","cft-inbox","UNCONFIRMED"," ---","No able to remove CF application using Add and Remove wizard from Cloud Foundry server","2020-04-30 16:37:26"
487911,"CFT","General","cft-inbox","NEW"," ---","Move documentation to eclipse.org","2016-02-23 20:53:04"
487959,"CFT","General","cft-inbox","NEW"," ---","Application module labels in Servers view vary between Eclipse 4.5 versions when deploying","2016-02-17 14:06:05"
487970,"CFT","General","cft-inbox","NEW"," ---","Republish does not set Starting state","2016-02-18 12:35:26"
488054,"CFT","General","cft-inbox","NEW"," ---","Consume third-party dependencies from P2 repositories","2016-03-01 14:33:33"
488056,"CFT","General","cft-inbox","NEW"," ---","Set up integration build with Eclipse - make sure junits run","2016-02-23 20:54:23"
488059,"CFT","General","cft-inbox","NEW"," ---","Update contribution documentation for github","2016-02-24 13:15:16"
488786,"CFT","General","cft-inbox","NEW"," ---","Add a maven profile to build CFT using Eclipse 4.5","2016-03-01 14:38:53"
491740,"CFT","General","cft-inbox","NEW"," ---","Allow user to input URL directly to with URL field on server creation wizard","2016-04-14 17:12:43"
491829,"CFT","General","cft-inbox","NEW"," ---","Improve extension point for external contributions for Java standalone apps","2016-05-10 21:33:52"
495086,"CFT","General","cft-inbox","NEW"," ---","Application name clash error in deployment wizard when no application exists in CF","2016-07-14 16:11:42"
495343,"CFT","General","cft-inbox","NEW"," ---","Ensure p2.mirrorsURL is set for CFT for 1.0 release","2016-06-02 16:02:03"
495816,"CFT","General","cft-inbox","NEW"," ---","NPE thrown in CFT jar packaging for standalone Maven apps","2016-06-09 12:44:56"
496733,"CFT","General","cft-inbox","NEW"," ---","Unable to update Cloud Foundry Tools","2016-06-28 11:00:31"
496759,"CFT","General","cft-inbox","NEW"," ---","Two-stage refresh temporarily leaves app without URL and may cause errors","2017-05-19 14:28:24"
498848,"CFT","General","cft-inbox","NEW"," ---","Replace trace logging so it doesn't log to Eclipse log by default","2016-07-28 17:05:22"
499874,"CFT","General","cft-inbox","NEW"," ---","Adopt run state API in Cloud app module that includes starting state","2016-08-17 20:31:02"
499940,"CFT","General","cft-inbox","NEW"," ---","Long CF deployments lock workspace. Unable to create projects","2016-08-18 14:43:14"
501485,"CFT","General","cft-inbox","NEW"," ---","progress bar report looks strange","2016-09-15 06:31:42"
504183,"CFT","General","cft-inbox","NEW"," ---","Log streaming through loggregator does not work with Pivotal Web Services","2016-12-21 13:29:31"
507637,"CFT","General","cft-inbox","NEW"," ---","Application deployment exception on pushing an unpublished app, if 'publish changes immediately' is unchecked","2017-03-09 14:48:47"
508008,"CFT","General","cft-inbox","NEW"," ---","Ensure that null application delegate for unsupported modules throw exception","2017-01-16 14:23:21"
511134,"CFT","General","cft-inbox","NEW"," ---","Services JUnits failing","2017-01-26 15:00:24"
513410,"CFT","General","cft-inbox","NEW"," ---","adding caching of the v2 client to avoid resource leaks","2017-03-09 15:18:58"
513412,"CFT","General","cft-inbox","NEW"," ---","Support selecting from multiple apps in manifest.yml in the deployment wizard","2017-03-09 15:26:49"
513415,"CFT","General","cft-inbox","NEW"," ---","Support CF manifest YAML files with different names","2017-03-09 15:56:27"
513418,"CFT","General","cft-inbox","NEW"," ---","Allow user-defined app state trackers to supplement/replace default app state tracker","2017-03-10 14:28:24"
513420,"CFT","General","cft-inbox","NEW"," ---","Refresh application states in server editor may takes a long time","2017-05-19 14:32:16"
514512,"CFT","General","cft-inbox","NEW"," ---","Add framework to contribute different CF Java clients","2017-03-30 17:59:08"
514869,"CFT","General","cft-inbox","NEW"," ---","Support ""routes"" property in manifest.yml","2017-09-21 16:08:32"
516913,"CFT","General","cft-inbox","NEW"," ---","Changes in manifest.yml cannot be updated in deployed application","2017-05-19 14:27:37"
533461,"CFT","General","cft-inbox","NEW"," ---","SSH connection broken for Pivotal Web Services","2018-04-11 06:56:28"
533542,"CFT","General","cft-inbox","NEW"," ---","Refreshing services in Pivotal Web Services sometimes hangs","2018-04-13 06:56:55"
527432,"CFT","General","jgwest","NEW"," ---","Exception on creating CFT server with non-ASCII organization or space","2017-11-17 16:37:35"
509490,"CFT","General","nierajsingh","NEW"," ---","Unlink Project causes module to disappear","2017-02-17 13:38:59"
485972,"CFT","General","cft-inbox","RESOLVED","FIXED","Use maven for build","2016-02-10 12:20:52"
486214,"CFT","General","cft-inbox","RESOLVED","FIXED","Application module state set to STARTED falsely","2016-04-27 16:19:21"
486299,"CFT","General","cft-inbox","RESOLVED","FIXED","Use Eclipse jar signing to replace VMware signing","2016-02-11 16:48:04"
486526,"CFT","General","cft-inbox","RESOLVED","FIXED","Link and unlink project from published application leaves app in false stop state","2016-02-16 16:03:14"
486691,"CFT","General","cft-inbox","RESOLVED","FIXED","Re-deploying deleted modules with previous errors does not open deployment wizard","2016-02-16 15:50:53"
486697,"CFT","General","cft-inbox","RESOLVED","FIXED","Application run state may be incorrect if more than 1 instance is running and one instance is down","2016-02-16 16:04:52"
486712,"CFT","General","cft-inbox","RESOLVED","FIXED","update tycho build to use eclipse-repository for the p2 repo generation","2016-02-11 16:48:47"
486714,"CFT","General","cft-inbox","RESOLVED","FIXED","update snapshot builds to download.eclipse.org","2016-02-10 12:22:06"
486781,"CFT","General","cft-inbox","RESOLVED","FIXED","Application state stays in ""starting"" if app fails to start due to error or starting check times out.","2016-02-23 21:09:57"
487289,"CFT","General","cft-inbox","RESOLVED","FIXED","Allow test setup to support Cloud targets with self-signed certificates","2016-05-10 17:59:20"
487631,"CFT","General","cft-inbox","RESOLVED","FIXED","Application archive is not resolved for application","2016-02-16 15:47:34"
487759,"CFT","General","cft-inbox","RESOLVED","FIXED","Missing Grails facet grails.app appears as error in log","2016-05-10 16:00:57"
487909,"CFT","General","cft-inbox","RESOLVED","FIXED","Manually refreshing application while starting removes starting state","2016-02-23 21:10:36"
487916,"CFT","General","cft-inbox","RESOLVED","FIXED","Stop button in editor is not enabled when app is starting","2016-04-27 16:34:14"
487964,"CFT","General","cft-inbox","RESOLVED","FIXED","Bundle Vendor must be vendor neutral","2016-02-23 20:51:58"
488058,"CFT","General","cft-inbox","RESOLVED","FIXED","Bundles missing about.html files","2016-05-12 20:43:26"
488597,"CFT","General","cft-inbox","RESOLVED","FIXED","Drag/drop application to editor does not open dialogue on error","2016-02-26 17:08:57"
488784,"CFT","General","cft-inbox","RESOLVED","FIXED","Show application run state in the editor","2016-08-17 21:14:53"
488815,"CFT","General","cft-inbox","RESOLVED","FIXED","Test CFT contribution to simrel aggregation build","2016-03-16 13:06:32"
488907,"CFT","General","cft-inbox","RESOLVED","FIXED","Remove client types from CFT public API","2016-05-09 19:04:57"
488988,"CFT","General","cft-inbox","RESOLVED","FIXED","Remove exporting springframework types","2016-03-03 19:15:17"
489776,"CFT","General","cft-inbox","RESOLVED","FIXED","Update CF Java client with changes to TLS security handling","2016-03-23 14:52:22"
490822,"CFT","General","cft-inbox","RESOLVED","FIXED","Datatools still installed when installing CFT","2016-04-14 21:44:08"
491197,"CFT","General","cft-inbox","RESOLVED","FIXED","Add support to fetch buildpacks from Cloud Foundry","2016-04-14 20:32:15"
492220,"CFT","General","cft-inbox","RESOLVED","FIXED","Dynamic Web Projects not deploying to Pivotal Web Services","2016-12-21 13:28:39"
492410,"CFT","General","cft-inbox","RESOLVED","FIXED","Improve performance of server refresh","2016-05-05 12:18:53"
492589,"CFT","General","cft-inbox","RESOLVED","FIXED","Update user-visible copyright to reflect other contributors","2016-05-05 12:55:23"
493041,"CFT","General","cft-inbox","RESOLVED","FIXED","Rename EPL files in features","2016-05-05 12:32:15"
493157,"CFT","General","cft-inbox","RESOLVED","FIXED","Review and correct licenses in CFT","2016-05-12 20:41:09"
