"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
459215,"Californium","Californium","cf-inbox","UNCONFIRMED"," ---","OptionSet.getOthers() is private","2015-02-05 07:54:46"
459903,"Californium","Californium","cf-inbox","UNCONFIRMED"," ---","Have a setter for rootResource of the server","2015-02-13 11:20:59"
483581,"Californium","Californium","cf-inbox","UNCONFIRMED"," ---","californium-osgi fails jar validation","2015-12-17 10:26:01"
474398,"Californium","Californium","cf-inbox","NEW"," ---","Sender needs flow control to adhere to MID lifetime (EXCHANGE_LIFETIME)","2015-08-06 10:17:29"
474416,"Californium","Californium","cf-inbox","NEW"," ---","Proper error handling mechanism including authentication problems","2015-08-06 10:33:55"
474620,"Californium","Californium","cf-inbox","NEW"," ---","Exchange filter support missing","2015-08-26 03:49:17"
475774,"Californium","Scandium","cf-inbox","NEW"," ---","Support for idenitity hint according (RFC4279)","2015-08-25 09:47:47"
475816,"Californium","Californium","cf-inbox","NEW"," ---","Request.getURI returns ""localhost"" when literal IP address is used.","2015-08-25 10:19:50"
478535,"Californium","Scandium","cf-inbox","NEW"," ---","DTLSConnector send() and close() may be reordered (race condition)","2015-10-02 04:20:18"
478537,"Californium","Scandium","cf-inbox","NEW"," ---","Message lost when ""send()"" during handshake","2015-09-29 10:54:16"
478697,"Californium","Californium","cf-inbox","NEW"," ---","unittest testObserveWithBlockwiseResponse sporadically fails","2015-10-09 02:43:54"
480146,"Californium","Californium","cf-inbox","NEW"," ---","[website] Include link to Cailfornium artifacts at Maven Central","2015-10-19 12:42:42"
480561,"Californium","Connector","cf-inbox","NEW"," ---","No route to host","2015-10-24 04:32:22"
482296,"Californium","Californium","cf-inbox","NEW"," ---","californium-proxy causes Block2 transfer timeout","2015-11-16 09:47:14"
438807,"Californium","Californium","cf-inbox","RESOLVED","FIXED","OSGi bundle does not export required package","2014-07-04 07:51:46"
438910,"Californium","Californium","cf-inbox","RESOLVED","FIXED","Add capability to retrieve all Endpoints from ServerEndpointRegistry","2014-10-09 05:31:15"
442296,"Californium","Californium","cf-inbox","RESOLVED","FIXED","[move] transfer Californium project to top-level IoT project","2014-08-28 14:51:54"
447033,"Californium","Californium","cf-inbox","RESOLVED","INVALID","hhhhhhhhhhhhh","2014-11-20 10:20:49"
466504,"Californium","Californium","cf-inbox","RESOLVED","FIXED","Message ID conflict","2015-07-29 11:22:21"
469439,"Californium","Californium","cf-inbox","RESOLVED","FIXED","Do not fail when parsing a ResponseCode that is not in the CoAP Response Codes sub-registry","2015-08-06 14:28:41"
475866,"Californium","Californium","cf-inbox","RESOLVED","FIXED","Blockwise response continues, when request is canceled","2015-09-01 08:45:53"
479170,"Californium","Californium","cf-inbox","RESOLVED","FIXED","Matcher state in ongoingExchanges not cleaned up when transfer ends prematurely","2015-10-06 14:09:15"
479171,"Californium","Californium","cf-inbox","RESOLVED","FIXED","Tokens are not randomized","2015-10-08 13:27:27"
479858,"Californium","Californium","cf-inbox","RESOLVED","FIXED","New blockwise notification during ongoing blockwise transfer causes RST","2015-10-15 09:14:49"
462267,"Californium","Connector","kai.hudalla","RESOLVED","FIXED","Add capability to access client's identity from incoming messages","2015-04-21 01:46:59"
465073,"Californium","Californium","kai.hudalla","RESOLVED","FIXED","Include client identity in inbound CoAP requests","2015-04-21 05:46:31"
473351,"Californium","Scandium","kai.hudalla","RESOLVED","FIXED","Implement TLS extension for negotiating maximum fragment length","2015-10-19 08:39:24"
478538,"Californium","Scandium","kai.hudalla","RESOLVED","FIXED","CLOSE_NOTIYF with level WARNING will not terminate the session on the other side.","2015-10-01 10:16:05"
437950,"Californium","Californium","cf-inbox","CLOSED","INVALID","bad request/response matching","2015-09-01 09:14:47"
