"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
555630,"Capella","XML Pivot","capella-inbox","UNCONFIRMED"," ---","Open/Open with menu is shown twice on xml files in capella project explorer","2016-11-07 04:05:50"
555631,"Capella","XML Pivot","capella-inbox","UNCONFIRMED"," ---","Remove generated plugin org.polarsys.capella.core.semantic.data.gen","2016-11-07 05:20:27"
555632,"Capella","XML Pivot","capella-inbox","UNCONFIRMED"," ---","Update semantic metamodel documentation","2016-11-07 05:22:04"
555037,"Capella","Library","capella-inbox","NEW"," ---","Library bug detachement of PC, Behavior and function","2016-10-03 07:30:00"
555040,"Capella","Library","capella-inbox","NEW"," ---","Library logical component are not usable within project LAB","2017-02-24 06:23:29"
555303,"Capella","Releng","jean.barata","NEW"," ---","[HIPP] Capella HIPP jobs dir uses a lot of disk space","2017-05-22 18:16:33"
555497,"Capella","UI","jean.barata","NEW"," ---","Epbs part and ConfigurationItem are not synchronized in properties view","2015-01-14 04:39:11"
554242,"Capella","Core","ali.akar82","NEW"," ---","Make a prototype using VIATRA for derived features","2017-05-08 08:16:51"
554033,"Capella","Core","aurelien.didier51","NEW"," ---","CapellaCopier is also copying Emde elements ID","2016-02-12 03:05:44"
553939,"Capella","Capella Studio","capella-inbox","NEW"," ---","[EMF generation] UI section are generated in the plugin .edit","2016-05-12 06:40:04"
553998,"Capella","Core","capella-inbox","NEW"," ---","Progress Monitoring Overview dialog should display model elements in the correct order","2015-02-09 09:44:35"
554031,"Capella","Core","capella-inbox","NEW"," ---","Methodological browser : synchronization problem","2015-07-15 13:20:41"
554032,"Capella","Core","capella-inbox","NEW"," ---","Navigation from Operational entities to Mode&States diagrams","2015-07-15 13:38:53"
554034,"Capella","Core","capella-inbox","NEW"," ---","org.polarsys.capella.core.dashboard.hyperlinkadapter.AbstractHyperlinkAdapter$linkActivated(HyperlinkEvent) is doing explicit cast to ICapellaModel","2016-09-14 07:42:24"
554055,"Capella","Core","capella-inbox","NEW"," ---","Capella delete command does not use EMF.edit ItemProvider.createremoveCommand to delete element","2015-10-06 11:08:00"
554059,"Capella","Core","capella-inbox","NEW"," ---","Error message on ""save"" command on MAC OS X platform","2015-10-12 15:42:25"
554130,"Capella","Core","capella-inbox","NEW"," ---","OpaqueExpression should extend DataValue rather than ValueSpecifiaction","2016-05-06 06:15:19"
554131,"Capella","Core","capella-inbox","NEW"," ---","XyzExt.getRootComponent does not return the root component","2016-05-09 05:53:26"
554135,"Capella","Core","capella-inbox","NEW"," ---","Stackoverflow when validating a cyclic component/part tree","2016-05-18 05:50:15"
554138,"Capella","Core","capella-inbox","NEW"," ---","Show all requirements in Requirements – Functions matrix","2016-06-02 05:06:04"
554196,"Capella","Core","capella-inbox","NEW"," ---","Set source file encoding/line ending style on project level","2016-10-18 04:27:59"
554204,"Capella","Core","capella-inbox","NEW"," ---","Detect duplicate element IDs at load time","2016-11-29 07:14:04"
554205,"Capella","Core","capella-inbox","NEW"," ---","Test framework: BasicCommandTestCase.getModelResource() is nondeterministic for projects with library references.","2016-12-05 06:40:27"
554209,"Capella","Core","capella-inbox","NEW"," ---","ValidationRuleTestCase does not consider diagnostic children when counting problems","2016-12-13 05:14:30"
554223,"Capella","Core","capella-inbox","NEW"," ---","Test framework: Allow test to require model from different bundle","2017-02-09 11:33:53"
554230,"Capella","Core","capella-inbox","NEW"," ---","Derived features for ComponentPort.allocatedFunctionInputPort and .allocatedFunctionOutputPort","2017-03-23 07:14:13"
554244,"Capella","Core","capella-inbox","NEW"," ---","Wrapper plugin for non-orbit 3rd party libraries","2017-05-10 17:36:09"
554273,"Capella","Core","capella-inbox","NEW"," ---","IBusinesQuery API is awkward","2018-04-27 08:52:23"
554284,"Capella","Core","capella-inbox","NEW"," ---","Remove concrete subclasses of FunctionPkg","2017-10-16 08:56:13"
554286,"Capella","Core","capella-inbox","NEW"," ---","Document and possibly refactor Capella Property Testers","2017-11-20 04:47:57"
