"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
377685,"Dali JPA Tools","JPA","brian.vosburgh","NEW"," ---","[performance] JpaProject.getJavaResourceType(String)","2013-09-11 10:27:12"
379183,"Dali JPA Tools","JPA","brian.vosburgh","NEW"," ---","rename and then delete a class referenced in orm.xml and ""zombie"" type is left","2013-09-11 10:55:22"
367799,"Dali JPA Tools","JPA","nan.n.li","NEW"," ---","Id Class is not built correctly if it is mapped","2013-09-11 10:21:46"
397478,"Dali JPA Tools","JPA","nan.n.li","NEW"," ---","JPA structure view menu items not appearing sometimes","2013-08-22 12:16:51"
378363,"Dali JPA Tools","JPA","neil.hauge","NEW"," ---","[EclipseLink] Add multitenant TABLE_PER_TENANT support","2013-09-11 10:54:00"
379187,"Dali JPA Tools","JPA","neil.hauge","NEW"," ---","Implement IQueryParticipant for search results including references in orm.xml/persistence.xml","2013-09-11 10:57:12"
381110,"Dali JPA Tools","JPA","neil.hauge","NEW"," ---","Invalid validation possible for columns in joined inheritance scenarios","2014-01-02 14:10:00"
392703,"Dali JPA Tools","JPA","neil.hauge","NEW"," ---","[JPA 2.1] Support new schema generation related flags: ForeignKey, Index","2014-06-03 09:38:16"
395979,"Dali JPA Tools","JPA","neil.hauge","NEW"," ---","1-m attribute with generic type that is a MappedSuperclass leads to invalid validation error","2014-02-06 14:13:31"
401218,"Dali JPA Tools","JPA","neil.hauge","NEW"," ---","[JPA 2.1] Spec based Convert support","2013-10-08 11:05:57"
379574,"Dali JPA Tools","JPA","paul.fullbright","NEW"," ---","[Validation] No validation error for mapping file in default location without built resource model.","2013-09-11 11:04:06"
391581,"Dali JPA Tools","JAXB","paul.fullbright","NEW"," ---","EclipseLink OXM Mapping file ""mapping"" support","2013-10-08 11:07:28"
378304,"Dali JPA Tools","JPA","brian.vosburgh","NEW"," ---","NPE deleting projects while running unit tests","2014-02-06 14:13:31"
379458,"Dali JPA Tools","JPA","brian.vosburgh","NEW"," ---","listener leak in DTPDatabaseObjectWrapper","2014-02-06 14:13:31"
379837,"Dali JPA Tools","JPA","brian.vosburgh","NEW"," ---","JPA Details view has selection issues when multiple java editors are open","2013-09-11 12:23:51"
