"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
382238,"Dash","Maven","alex.blewitt","RESOLVED","INVALID","gef-master, gef-maintenance, and gef4-nightly-tycho fail because of invalid eclipse-signing-maven-plugin","2013-12-08 06:00:31"
371255,"Dash","Maven","dash-inbox","RESOLVED","WONTFIX","host EclipseLink at maven.eclipse.org","2014-04-25 13:49:45"
373985,"Dash","Maven","dash-inbox","RESOLVED","FIXED","maven.eclipse.org serves 0-byte artifacts","2012-03-13 04:37:59"
374052,"Dash","Maven","dash-inbox","RESOLVED","DUPLICATE","Invalid plug-in descriptor of eclipse-signing-maven-plugin","2012-08-07 04:40:49"
375566,"Dash","Commits Explorer (Retired)","dash-inbox","RESOLVED","WONTFIX","Capture multiple authors on Git commits","2014-05-01 14:19:59"
394364,"Dash","Commits Explorer (Retired)","dash-inbox","RESOLVED","INVALID","Committer activity is incorrect for eclipse.platform.runtime","2014-11-07 13:24:15"
402000,"Dash","Commits Explorer (Retired)","dash-inbox","RESOLVED","WONTFIX","Dash statistics should be calculated using the ""Author"" field instead of the ""Committer"" field","2018-11-16 13:21:44"
405750,"Dash","Maven","dash-inbox","RESOLVED","FIXED","Decommission plan for maven.eclipse.org","2013-09-10 09:59:14"
420336,"Dash","Website","dash-inbox","RESOLVED","WONTFIX","Project Dash - Dashboard Queries at website don't work","2018-11-16 13:21:43"
424319,"Dash","Website","dash-inbox","RESOLVED","WONTFIX","Typo in the active committer array, Company / Project Details dashboard","2018-11-16 13:21:41"
459289,"Dash","Website","dash-inbox","RESOLVED","WONTFIX","[Dashboard] Problems in papyrus project dashboard","2018-11-16 13:21:46"
394792,"Dash","Maven","thanh.ha","RESOLVED","FIXED","Make maven.eclipse.org a first-class service at eclipse.org?","2014-03-31 13:51:01"
401353,"Dash","Maven","thanh.ha","RESOLVED","FIXED","Add maven repositories for the eclipse project","2013-03-20 10:58:05"
401469,"Dash","Maven","thanh.ha","RESOLVED","FIXED","Install Nexus Unzip Plugin on Nexus","2013-04-02 13:18:19"
401470,"Dash","Maven","thanh.ha","RESOLVED","FIXED","Maven repositories on Nexus for JGit and EGit","2013-02-22 20:22:01"
401747,"Dash","Maven","dash-inbox","VERIFIED","FIXED","egit job can't deploy to nexus","2013-02-27 17:24:05"
382286,"Dash","Maven","alex.blewitt","CLOSED","FIXED","Testing Repository returns empty pages (disk full?)","2012-06-11 15:55:24"
389697,"Dash","Maven","alex.blewitt","CLOSED","FIXED","Cannot access Nexus at maven.eclipse.org (http 503)","2012-09-17 11:56:26"
368216,"Dash","Maven","dash-inbox","CLOSED","DUPLICATE","java.io.FileNotFoundException for priming.zip","2012-01-11 02:57:19"
371098,"Dash","Maven","dash-inbox","CLOSED","WONTFIX","Please provide a core set of dependencies from Orbit in maven.eclipse.org","2014-04-29 09:41:01"
371475,"Dash","Maven","dash-inbox","CLOSED","WORKSFORME","Define a naming scheme for artifacts in the Maven Repository of eclipse.org","2012-04-27 11:02:23"
373221,"Dash","Maven","dash-inbox","CLOSED","WONTFIX","Update analysis maven plugins vesions","2013-12-10 02:51:32"
373866,"Dash","Maven","dash-inbox","CLOSED","WONTFIX","[maven.eclipse.org] Server responds with HTTP 500 and corrupt artifacts","2014-04-29 09:42:30"
374031,"Dash","Maven","dash-inbox","CLOSED","FIXED","Revert Nexus configuration for central","2012-09-06 17:01:20"
380510,"Dash","Maven","dash-inbox","CLOSED","WONTFIX","Check Sum Fix does not work with features having numbers and underscore","2014-04-29 09:51:23"
387284,"Dash","Maven","dash-inbox","CLOSED","FIXED","Artifacts not downloadable at maven.eclipse.org","2013-04-29 15:06:18"
388979,"Dash","Maven","dash-inbox","CLOSED","FIXED","eclipse-parent pom is empty","2012-09-06 16:48:31"
