"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
468971,"Dirigible","ide-workspace","dirigible-inbox","NEW"," ---","Provide list of available ExtensionPoints for Extension Wizard","2015-07-08 03:34:05"
471699,"Dirigible","General","dirigible-inbox","NEW"," ---","Fine grained Roles","2015-07-08 03:33:34"
473357,"Dirigible","General","dirigible-inbox","NEW"," ---","Entity objects discovery","2015-08-27 08:35:33"
468664,"Dirigible","ide-scm-jgit","dirigible-inbox","NEW"," ---","Create preference page for Git configs","2017-08-21 07:01:00"
468671,"Dirigible","ide-workspace","dirigible-inbox","NEW"," ---","Activate/Publish from menu in full screen mode","2015-07-07 02:55:48"
468972,"Dirigible","ide-workspace","dirigible-inbox","NEW"," ---","Form Editor for Flow and Job files","2015-06-01 07:59:31"
468976,"Dirigible","ide-editor-designer","dirigible-inbox","NEW"," ---","Implement toolbar","2015-06-01 08:33:20"
468977,"Dirigible","ide-editor-designer","dirigible-inbox","NEW"," ---","Highlight the widget being dragged","2015-06-01 08:37:21"
468978,"Dirigible","ide-editor-designer","dirigible-inbox","NEW"," ---","Implement inline text editing","2015-06-01 08:38:24"
468979,"Dirigible","ide-editor-designer","dirigible-inbox","NEW"," ---","Palette ghost is missing","2015-06-01 08:39:17"
468980,"Dirigible","ide-editor-designer","dirigible-inbox","NEW"," ---","Improve ghost styling","2015-06-01 08:40:13"
468981,"Dirigible","ide-editor-designer","dirigible-inbox","NEW"," ---","Align form controls","2015-06-01 08:41:05"
468982,"Dirigible","ide-editor-designer","dirigible-inbox","NEW"," ---","Parent overlay remains green","2015-06-01 08:42:01"
468983,"Dirigible","ide-editor-designer","dirigible-inbox","NEW"," ---","Implement palette filter","2015-06-01 08:42:43"
471694,"Dirigible","General","dirigible-inbox","NEW"," ---","Tenant ID as an injected object","2015-07-02 09:44:00"
471710,"Dirigible","General","dirigible-inbox","NEW"," ---","Data exposure at Runtime","2015-07-02 11:16:29"
471714,"Dirigible","General","dirigible-inbox","NEW"," ---","Highly configurable Main Frame template","2015-07-02 11:13:29"
472378,"Dirigible","runtime","dirigible-inbox","NEW"," ---","Import and Publish of Projects at Runtime through Git","2017-08-21 06:46:17"
472926,"Dirigible","runtime","dirigible-inbox","NEW"," ---","Data Import/Export at Runtime","2016-07-04 03:47:12"
477813,"Dirigible","General","dirigible-inbox","NEW"," ---","Auto-save option","2015-09-18 09:58:14"
479013,"Dirigible","ide-templates","dirigible-inbox","NEW"," ---","Separate urlGet urlSet locations in Entity service template","2017-06-08 10:32:32"
479014,"Dirigible","ide-templates","dirigible-inbox","NEW"," ---","Template - main page with iframe for referenced pages","2016-02-11 05:10:38"
479486,"Dirigible","ide-templates","dirigible-inbox","NEW"," ---","Template - Search Form and Result Table","2016-07-04 03:54:30"
480793,"Dirigible","runtime-java","dirigible-inbox","NEW"," ---","Dynamic loading of classes in Jars in ScriptingServices folder","2015-10-27 12:53:17"
481646,"Dirigible","General","dirigible-inbox","NEW"," ---","[Research] High-performance & scalable Runtime","2015-11-07 09:16:54"
482375,"Dirigible","General","dirigible-inbox","NEW"," ---","Generator Services concept","2016-05-30 07:04:13"
482401,"Dirigible","ide","dirigible-inbox","NEW"," ---","Generic Configurations preference page","2016-07-04 03:46:41"
483284,"Dirigible","releng","dirigible-inbox","NEW"," ---","Build a QuickStart cartridge for OpenShift","2017-08-21 06:46:29"
484078,"Dirigible","ide-db","dirigible-inbox","NEW"," ---","SQL Console execute button","2015-12-10 03:57:50"
484085,"Dirigible","ide-db","dirigible-inbox","NEW"," ---","An SQL Query designer should be included","2015-12-10 04:53:38"
484087,"Dirigible","ide-db","dirigible-inbox","NEW"," ---","Hide Dirigible tables in database explorer","2015-12-10 04:26:43"
484089,"Dirigible","ide-db","dirigible-inbox","NEW"," ---","Database browser - rename gear button tooltip","2016-04-30 05:43:18"
484430,"Dirigible","General","dirigible-inbox","NEW"," ---","Tailored Dirigible distributions on demand /download builder/","2015-12-15 15:11:13"
484434,"Dirigible","releng","dirigible-inbox","NEW"," ---","Amazon image with Dirigible on Tomcat","2017-08-21 07:01:13"
484931,"Dirigible","ide-db","dirigible-inbox","NEW"," ---","Show content action changes the script very slowly with no feedback that it is working on it","2017-04-13 12:41:25"
476590,"Dirigible","samples","yordan.pavlov","NEW"," ---","Update the sample with the new API","2017-06-08 10:38:20"
468659,"Dirigible","runtime","dirigible-inbox","NEW"," ---","Selecting/filtering the content during import","2015-07-08 02:59:24"
468665,"Dirigible","ide-workspace","dirigible-inbox","NEW"," ---","Select CRUD operations from ScriptingService wizard","2015-07-08 02:59:42"
468672,"Dirigible","runtime-ui","dirigible-inbox","NEW"," ---","Resource History in Registry UI","2015-07-08 03:00:42"
468654,"Dirigible","repository","dirigible-inbox","NEW"," ---","Repository local events support","2015-07-08 03:01:40"
468661,"Dirigible","ide-rcp","dirigible-inbox","NEW"," ---","Download Data","2015-07-08 03:01:54"
468967,"Dirigible","ide-workspace","dirigible-inbox","NEW"," ---","Form Editor for Extension files","2015-07-08 03:34:50"
468968,"Dirigible","ide-workspace","dirigible-inbox","NEW"," ---","Form Editor for Extension Point files","2015-07-08 03:34:39"
468969,"Dirigible","ide-workspace","dirigible-inbox","NEW"," ---","Form Editor for Security Constraints files","2015-07-08 03:34:29"
468970,"Dirigible","ide-workspace","dirigible-inbox","NEW"," ---","Form Editor for Table files","2015-07-08 03:34:22"
484930,"Dirigible","ide-db","dirigible-inbox","ASSIGNED"," ---","With several datasources, the IDE DB Viewer's datasource combobox control's initial selection and content are not in sync","2017-08-21 07:00:28"
467338,"Dirigible","ide-editor-orion","dirigible-inbox","RESOLVED","FIXED","Orion integration in Debug Perspective","2015-08-27 08:26:50"
471704,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","Import and Publish of Projects at Runtime","2015-10-15 09:10:45"
472002,"Dirigible","help","dirigible-inbox","RESOLVED","FIXED","Clone services spec","2015-07-24 05:05:39"
473355,"Dirigible","ide-editor-orion","martin.vladev","RESOLVED","FIXED","tern.js plugin for standard API recognition","2015-08-27 08:25:40"
468667,"Dirigible","ide-templates","dirigible-inbox","RESOLVED","FIXED","Extract the CRUD logic in ScriptingServices","2015-10-15 09:10:56"
472823,"Dirigible","releng","dirigible-inbox","RESOLVED","FIXED","Refactor build - projects to profiles","2015-07-17 04:52:47"
