"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
337965,"ECP","Common","emfcp.common-inbox","CLOSED","FIXED","TestBug 2","2011-02-23 07:27:32"
349459,"ECP","Common","emfcp.common-inbox","CLOSED","FIXED","Schema for extension point ""ecppackage"" missing","2012-01-24 12:32:10"
357775,"ECP","Common","emfcp.common-inbox","CLOSED","FIXED","Glitches in model element importing/exporting","2012-01-23 17:10:35"
357776,"ECP","Common","emfcp.common-inbox","CLOSED","WONTFIX","Project can be exported/imported as model element","2012-05-02 13:19:53"
362138,"ECP","Common","emfcp.common-inbox","CLOSED","FIXED","Checkstyle configuration inconsistency between plugins","2012-01-23 17:10:59"
364242,"ECP","Common","emfcp.common-inbox","CLOSED","FIXED","Title mismatch on EMFCP-Website","2012-05-07 10:41:46"
365523,"ECP","Common","emfcp.common-inbox","CLOSED","WONTFIX","UpperBound is not being used by EMFCP","2012-05-02 13:19:07"
353607,"ECP","Editor","emfcp.editor-inbox","CLOSED","WONTFIX","Repeated flickering because of model updates","2012-11-13 08:21:35"
357765,"ECP","Editor","emfcp.editor-inbox","CLOSED","FIXED","Editor need way to hide certain attributes/references from standard editor page","2012-05-07 10:48:16"
357871,"ECP","Editor","emfcp.editor-inbox","CLOSED","FIXED","MEEnumControl should respect literal translation","2012-05-07 10:38:11"
365288,"ECP","Editor","emfcp.editor-inbox","CLOSED","FIXED","Overwriting of reference","2012-01-24 13:07:21"
353491,"ECP","Model Workspace","emfcp.modelworkspace-inbox","CLOSED","WONTFIX","Abstraction to store properties","2012-05-02 13:07:37"
365100,"ECP","Model Workspace","emfcp.modelworkspace-inbox","CLOSED","FIXED","Wrong components in New Model Element","2012-01-24 13:07:38"
349049,"ECP","Navigator","emfcp.navigator-inbox","CLOSED","FIXED","Display bug when adding top-level elements","2012-01-24 12:32:27"
353397,"ECP","Navigator","emfcp.navigator-inbox","CLOSED","WONTFIX","D&D doesn't work for the XMIWorkspace","2012-05-02 13:06:45"
359631,"ECP","Navigator","emfcp.navigator-inbox","CLOSED","FIXED","DynamicContainmentCommands does not support multiplicity one relationships","2012-05-07 10:41:08"
337966,"ECP","Validation","emfcp.validation-inbox","CLOSED","WONTFIX","Test Bug 3","2011-03-08 08:28:03"
357507,"ECP","Validation","emfcp.validation-inbox","CLOSED","FIXED","Replace EMF Validation Framework with EMF Build in Validation","2012-05-07 10:51:54"
360209,"ECP","Navigator","emueller","CLOSED","FIXED","Create replaceLabelProvider extension point","2012-01-23 17:09:28"
360884,"ECP","Common","emueller","CLOSED","FIXED","Pull SearchModelElementHandler down into common","2012-01-24 12:31:49"
360924,"ECP","Common","emueller","CLOSED","FIXED","Create menu enablement property tester in order to disable menu entries","2012-01-24 13:04:52"
348861,"ECP","Common","eneufeld","CLOSED","FIXED","Use new Icon","2012-11-15 04:55:16"
353430,"ECP","Navigator","eneufeld","CLOSED","FIXED","Fix D&D on the rootlevel","2013-05-17 09:47:37"
365102,"ECP","Model Workspace","eneufeld","CLOSED","FIXED","Widget for Double MultiAttribute does not work","2013-05-17 09:54:28"
357735,"ECP","Common","florian.pirchner","CLOSED","FIXED","Test the ""getting involved"" part on the website","2012-01-23 17:15:29"
354539,"ECP","Navigator","franziska.haunolder","CLOSED","FIXED","Navigator does not correctly check for createable child objects","2012-05-07 10:50:19"
357618,"ECP","Editor","franziska.haunolder","CLOSED","FIXED","Respect readonly properties","2012-05-07 10:47:12"
358813,"ECP","Common","franziska.haunolder","CLOSED","FIXED","Add ECP sources to EMFStore (SDK) feature","2013-05-17 10:17:34"
364445,"ECP","Navigator","franziska.haunolder","CLOSED","FIXED","Link with editor does not work on newly created elements","2012-01-24 13:20:39"
339488,"ECP","Editor","jhelming","CLOSED","FIXED","Date Picker is unituitive to use","2012-01-24 12:58:55"
343140,"ECP","Navigator","jhelming","CLOSED","INVALID","Recursive loop when using D&D in navigator","2012-01-24 13:23:59"
346986,"ECP","Editor","jhelming","CLOSED","FIXED","Remove nebula date time widget","2012-01-24 13:24:13"
349456,"ECP","Common","jhelming","CLOSED","FIXED","Remove type from extension point for custom controls","2012-01-23 17:15:16"
351222,"ECP","Editor","jhelming","CLOSED","WONTFIX","Field Date cannot be deleted","2012-01-23 17:14:26"
358097,"ECP","Navigator","jhelming","CLOSED","FIXED","Navigator unfolds all projects in linked mode","2012-01-23 17:13:28"
365099,"ECP","Common","jhelming","CLOSED","FIXED","Link does not work for cross references","2012-01-23 17:12:14"
355999,"ECP","Model Workspace","mkoegel","CLOSED","WONTFIX","ECPWorkspace.setActiveProject should be called in implementations","2012-02-02 05:06:29"
359703,"ECP","Common","mkoegel","CLOSED","FIXED","Delete does not delete Elements with children property false on containment reference","2012-01-24 13:26:48"
359767,"ECP","Navigator","mkoegel","CLOSED","FIXED","Showing non-domain elements in the dynamic containment commands","2012-01-24 13:27:15"
351220,"ECP","Editor","ottovonwesendonk","CLOSED","FIXED","Field of type double can not be edited","2012-01-24 13:03:20"
348714,"ECP","Common","ottovonwesendonk","CLOSED","FIXED","Duplicated package export - emf.ecp.common.util","2012-01-24 13:04:18"
356033,"ECP","Editor","emfcp.editor-inbox","CLOSED","WONTFIX","Link Widget for Cross References Links","2019-06-14 06:14:38"
