"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
375440,"EEF","User Interface","eef-inbox","NEW"," ---","No wrapping support in EEFDetailsPage","2016-06-14 05:37:33"
391773,"EEF","Core","eef-inbox","NEW"," ---","[SMN] Be able to specify a step index of -1 meaning retrieving all filtered step recursively","2016-06-14 05:37:01"
402423,"EEF","User Interface","eef-inbox","NEW"," ---","Widgets for single containment creation","2016-06-14 05:37:48"
423187,"EEF","Core","eef-inbox","NEW"," ---","Compile errors with EEF code from XSD generated EMF model","2016-06-14 05:36:09"
424461,"EEF","User Interface","eef-inbox","NEW"," ---","IFormPropertiesEditionPart.createFigure(Composite, FormToolkit) called on each selection change","2016-06-14 05:37:44"
456863,"EEF","User Interface","eef-inbox","NEW"," ---","Propertypages not activated on EMF feature maps [EEF v1.3.0]","2016-09-05 04:21:31"
478046,"EEF","User Interface","eef-inbox","NEW"," ---","The feature ""Name as Label"" is not supported for Widget Checkbox representation","2017-01-17 06:39:35"
371803,"EEF","General","emft.eef-inbox","RESOLVED","FIXED","emft-eef b3aggrcon file appears wrong","2016-05-05 10:27:11"
375149,"EEF","General","emft.eef-inbox","RESOLVED","FIXED","Filter does not work on ""All resources"" tab in the selection popup","2016-05-05 10:27:06"
377873,"EEF","General","emft.eef-inbox","RESOLVED","FIXED","[build] eef does not provide any branding","2016-05-05 10:26:33"
380548,"EEF","General","emft.eef-inbox","RESOLVED","FIXED","[EEF] Property view refresh in syncExec can cause deadlock when using CDO models","2016-05-05 10:26:48"
382502,"EEF","General","emft.eef-inbox","RESOLVED","FIXED","Class not found in generated application","2016-05-05 10:27:37"
382618,"EEF","General","emft.eef-inbox","RESOLVED","FIXED","EContentAdapters are not efficient","2016-05-05 10:27:01"
387760,"EEF","General","emft.eef-inbox","RESOLVED","FIXED","[SimRel] joining kepler release train","2016-05-05 10:26:40"
473007,"EEF","General","emft.eef-inbox","RESOLVED","FIXED","Aggregator update site is not up to date","2017-01-06 04:51:52"
