"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
505689,"EFM","General","efm-inbox","UNCONFIRMED"," ---","[hipp] creation of dedicated jobs","2016-10-13 07:20:29"
505869,"EFM","General","efm-inbox","UNCONFIRMED"," ---","[hipp] creation of a job to make the website","2016-10-13 07:18:17"
505870,"EFM","General","efm-inbox","UNCONFIRMED"," ---","[gerrit] activation of the security for all gerrit jobs","2016-10-13 07:20:22"
505871,"EFM","General","efm-inbox","UNCONFIRMED"," ---","[releng] create a dedicated environment for EFM","2016-10-13 07:25:50"
505872,"EFM","General","efm-inbox","UNCONFIRMED"," ---","[hipp] create a set of job for the EFM release","2016-12-09 10:54:55"
505873,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[releng] make the first release of modeling in 0.0.1 version","2016-10-13 07:24:25"
509279,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[releng] default updatesite to not embeded reference to papyrus designer","2016-12-15 10:19:33"
509280,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[rcp] rcp seems not to be executable","2016-12-15 09:03:21"
509282,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[releng] plugins dependencies error","2017-03-28 08:05:21"
509284,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[userxp] menu should be groupped under EFM","2016-12-15 08:07:12"
510636,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[GUI] Plugin Extension settings formalML profile","2017-01-18 10:08:18"
511552,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[GUI] adding templates to new project wizard","2017-02-09 09:42:06"
511556,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[GUI] Group EFM preferences","2017-02-10 09:58:21"
511565,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[GUI] Refactor Examples w.r.t. profile upgrade","2017-02-02 09:05:17"
511566,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[DOC] Update Help Contents","2017-02-02 09:10:20"
511573,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[GUI] Create EFM perspective","2017-03-29 04:17:28"
511576,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[GUI] FML-XLIA nature for OpaqueBehavior","2017-02-02 09:34:02"
511757,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[GUI] Centralize graphical resources","2017-02-15 08:17:34"
511835,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[GIT] gitignore xtend-gen","2017-02-10 03:50:44"
511915,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[REFACTOR] Assess viability of chaperon projects removal","2017-02-08 09:25:02"
512037,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[GUI] Correct icons for PropertyView disappearance","2017-02-10 09:59:17"
514316,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[GUI] extract-generalize gui code from runconfiguration","2017-03-28 18:30:26"
514634,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","[REFACTOR] refactor the project","2019-12-02 19:21:06"
518875,"EFM","modeling","efm-inbox","UNCONFIRMED"," ---","Translation of UML Interaction diagrams to Formal Modeling Language (xLIA)","2017-07-27 11:13:55"
521193,"EFM","symbex","efm-inbox","UNCONFIRMED"," ---","Interval type badly generated in TTCN-3","2017-08-21 09:02:36"
521194,"EFM","symbex","efm-inbox","UNCONFIRMED"," ---","Extra TTCN-3 file","2017-08-21 09:12:47"
536148,"EFM","symbex","efm-inbox","UNCONFIRMED"," ---","[EFM] Problème dans la génération des traces","2018-06-21 11:43:24"
509339,"EFM","modeling","efm-inbox","NEW"," ---","[Help Contents] efm help has been deconnected from the Help Contents","2017-02-09 08:28:50"
509368,"EFM","modeling","efm-inbox","NEW"," ---","[Developer Doc] How to contribute recommendation","2017-02-09 08:31:48"
511094,"EFM","modeling","efm-inbox","NEW"," ---","[formalml] update formalml and associated utilities","2017-05-22 11:55:39"
511116,"EFM","symbex","efm-inbox","NEW"," ---","[initial commit] Hudson integration","2017-05-31 05:01:02"
511825,"EFM","modeling","efm-inbox","NEW"," ---","[GUI] Another Water System Papyrus Example with two Pumps instances","2017-02-07 06:14:30"
511978,"EFM","modeling","efm-inbox","NEW"," ---","[core] validation rules for formalml profile","2017-02-09 09:48:27"
512217,"EFM","modeling","efm-inbox","NEW"," ---","[GUI] Update of Run-Configuration options","2017-05-09 05:08:33"
