"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
420003,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","NEW"," ---","API: Pass EStructuralFeature.Setting as arguments to IDiffPolicy.considerEqual","2013-12-11 10:00:24"
418572,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","NEW"," ---","Colors cannot be customized","2013-10-03 05:12:07"
466319,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","ASSIGNED"," ---","Support Logical models","2015-05-29 03:52:11"
395369,"EMF.Diffmerge","UI","olivier.constant","ASSIGNED"," ---","Adding an element may trigger the move of its children","2012-11-29 08:55:50"
422067,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","RESOLVED","FIXED","Use read-only information to increase performance","2018-01-29 08:40:17"
442141,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","RESOLVED","FIXED","Synchronization with Properties view cannot be disabled","2018-06-04 08:24:09"
416493,"EMF.Diffmerge","Core","olivier.constant","RESOLVED","FIXED","NotSerializableException while saving EComparison","2018-09-06 08:55:12"
395370,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","about.html not included in source build","2014-08-19 05:32:06"
415145,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","HashBinaryRelation memory leak","2014-08-19 05:27:48"
416241,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Soften constraints of IMatchPolicy","2014-08-19 05:27:35"
416692,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Read-only model scopes","2014-08-19 05:27:19"
419335,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","IDiffPolicy.coverMatch == false has no effect","2014-08-19 05:22:50"
419453,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Model scopes should be responsible for resource unloading","2014-08-19 05:23:49"
429434,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Transient references should be covered for GMF","2014-08-19 05:20:02"
430124,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Category of Update Site is incorrect","2014-08-19 05:19:42"
431445,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Incorrect instantiation of FragmentedModelScope","2014-08-19 05:19:00"
431483,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","[releng] create DiffMerge versions for bugzilla","2014-08-19 05:17:51"
431489,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","modify the unload() of FragmentedmodelScope","2014-08-19 05:18:23"
431696,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","EMappingImpl.clear() should also clear the _matchAdapter member","2014-08-19 05:17:30"
432526,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","use custom load options with GMFScope","2014-08-19 05:16:31"
433284,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","the comments of some methods contains typo","2014-08-19 05:17:06"
433376,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Update the Software User Agreement","2014-08-19 05:16:48"
435046,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Slow when no matching founded","2014-08-19 05:14:37"
437109,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Addition differences are removed when merged","2014-08-19 05:13:44"
439007,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Duplicate match IDs due to empty names","2014-08-21 05:29:38"
439170,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Support for GMF should be packaged into a separate feature","2017-12-19 10:59:14"
440675,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Comparison methods: get the default for given model types","2015-01-26 09:08:54"
442026,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Incorrect copyright in certain classes","2014-08-21 05:37:18"
442664,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","[enhancement] refactor the EComparisonImpl instanciation in EMFDiffMergeEditorInput","2014-08-27 04:48:14"
449481,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","DUPLICATE","provide a better merger for text attributes","2017-05-05 08:35:52"
461377,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Incomplete processing of merge impact","2015-06-30 04:21:34"
461935,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Restrictions on inter-resource dependencies","2015-05-29 03:38:44"
466427,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Support Git Scm","2017-01-10 11:59:57"
466706,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","support natively local history","2017-01-10 11:58:45"
469413,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Errors in javadoc","2015-06-30 04:22:09"
471650,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Incorrect scope exploration in certain fragmentation cases","2015-08-27 04:56:12"
473645,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Diff/Merge shows differences on transient features","2017-01-10 11:52:24"
478204,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","GMF Views have illegitimate ordering differences on reference 'children'","2017-01-10 11:58:01"
480191,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","NPE when enableassertions option is enabled","2017-01-10 11:52:35"
482287,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Support SVN Scm","2017-01-10 11:59:11"
482288,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","INVALID","Support perforce Scm","2017-01-10 11:59:21"
408239,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","""Show moved elements twice"" not working in all cases","2014-08-19 05:21:21"
408249,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","Moved elements should exhibit containment references","2014-08-19 05:22:04"
416916,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","Warn users of duplicate match IDs","2014-08-19 05:20:18"
418570,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","""Ignore Operation"" dialog not always relevant","2014-08-19 05:15:38"
418573,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","Labels cannot be easily customized","2014-08-19 05:22:31"
418575,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","Set a ""reference"" model in two-way comparison","2014-08-19 05:24:50"
420733,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","Properties View not automatically synchronized in Eclipse 4.3","2017-12-19 11:04:10"
424355,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","Provide GUI facilities for configuring comparison method","2014-08-19 05:20:57"
424356,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","Allow comparison methods to customize GUI","2014-08-19 05:20:34"
431448,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","Provide a default diff/merge dialog","2014-08-19 05:19:27"
432946,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","modify menu creation to enable contributions","2014-08-19 05:15:56"
433630,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","Customize the merge operation to totally hide choice dialog","2014-08-19 05:15:18"
434175,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","""Link Views"" button not initialized properly","2014-08-19 05:16:11"
438527,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","CLOSED","FIXED","Migrate from Sirius 0.9 to Sirius 1.0","2014-10-14 10:20:16"
438528,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","CLOSED","FIXED","Transaction problem at instance update during pattern update operation","2014-10-14 10:20:39"
438608,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","CLOSED","INVALID","Primitive types included in pattern update","2015-11-27 04:15:38"
438622,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","CLOSED","FIXED","Develop a customization of patterns for UML Designer","2014-10-14 10:24:58"
438643,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","CLOSED","FIXED","ReuseLayout crashes for UML Designer's sequence diagram","2014-10-14 10:21:14"
438857,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","CLOSED","FIXED","The use of generics not always justified","2014-10-14 10:22:53"
439022,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","Duplicate match ID dialog truncates text","2014-08-21 05:35:14"
439901,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","support multiline text in ComparisonSideViewer","2017-01-10 11:54:21"
440113,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","CLOSED","FIXED","Pattern delete operation causes a write transaction error","2014-10-14 10:21:39"
440130,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","CLOSED","FIXED","Deleting an instance which pattern was already deleted causes NPE","2014-10-14 10:22:02"
441432,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","Wrong examples in UI extension point doc","2014-08-21 05:36:34"
441762,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","CLOSED","FIXED","Include list of possible target diagrams into pattern specification","2015-01-26 09:09:48"
441808,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","CLOSED","FIXED","Pattern application in non-compatible diagram doesn't produce a result","2014-10-14 10:26:52"
442273,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","CLOSED","FIXED","Malformed labels in the check conformity dialog","2014-08-21 10:24:35"
443790,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","Default UI for comparison method configuration not flexible enough","2014-09-11 04:50:49"
444470,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","Support for multiple resource sets / editing domains","2014-10-13 11:15:53"
446931,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","Systematic ""ambiguous mapping"" message with fragmented models","2014-10-14 09:57:56"
447141,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","CLOSED","FIXED","""Patterns"" menu always visible","2014-10-14 12:01:06"
455602,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","INVALID","Display the contents of added elements to the details panes","2015-01-05 03:44:16"
461936,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","CLOSED","FIXED","NPEs in GUI when diff policy ignores matches","2015-05-29 03:50:53"
463170,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","CLOSED","FIXED","Incorrect distinction between merge dependencies and automatic merges","2015-05-29 03:49:59"
463181,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","CLOSED","FIXED","Make the pattern/instance sync mechanism tolerant to duplicates","2015-06-02 08:35:39"
