"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
292409,"EMFCompare","Core","emf.compare-inbox","NEW"," ---","ChangeModel to DiffModel","2013-01-11 06:34:37"
303052,"EMFCompare","Core","emf.compare-inbox","NEW"," ---","Differencing distinct Metamodels fails for elements with different number of attributes","2013-01-11 08:54:15"
361534,"EMFCompare","Core","emf.compare-inbox","NEW"," ---","Resources Level cross referencer","2014-03-07 04:46:35"
320496,"EMFCompare","Core","emf.compare-inbox","CLOSED","FIXED","EMF Compare in fails in Eclipse3.6 passed in eclipse3.5.","2013-09-12 09:02:34"
271105,"EMFCompare","Core","emf.compare-inbox","CLOSED","FIXED","IndexOutOfBoundsException compare a file that has fragments","2011-08-18 04:06:46"
214358,"EMFCompare","Core","emf.compare-inbox","CLOSED","FIXED","EMF Compare should work on different model resource sets for left/right/ancestor","2011-08-18 04:06:58"
214365,"EMFCompare","Core","emf.compare-inbox","CLOSED","FIXED","Compare With Latest from repository results in: Error while loading resources, input was null.","2011-08-18 04:05:54"
215510,"EMFCompare","Core","emf.compare-inbox","CLOSED","WONTFIX","EMFCompareException while comparing local resource with a SVN  resource","2011-08-18 04:05:08"
215649,"EMFCompare","Core","emf.compare-inbox","CLOSED","WONTFIX","Can't define a custom DiffEngine","2011-08-18 04:07:18"
216290,"EMFCompare","Core","emf.compare-inbox","CLOSED","FIXED","API should be refactored for diff and match","2011-08-18 04:05:27"
217986,"EMFCompare","Core","emf.compare-inbox","CLOSED","WONTFIX","[EMF Compare] Error logged when EMF Compare is first loaded","2010-05-05 04:12:21"
225056,"EMFCompare","Core","emf.compare-inbox","CLOSED","FIXED","High computation time when using models with many roots","2011-07-27 11:18:17"
225556,"EMFCompare","Core","emf.compare-inbox","CLOSED","FIXED","Extension points schemas are referencing wrong interfaces","2011-08-18 04:06:08"
226152,"EMFCompare","Core","emf.compare-inbox","CLOSED","FIXED","EClass elements are always marked as changed","2011-08-18 04:05:57"
226565,"EMFCompare","Core","emf.compare-inbox","CLOSED","FIXED","[Compare] Getting RemoteRemoveModelElement instead of RemoteAddModelElement with 3 way compare","2013-04-24 06:00:32"
