"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
426425,"EMFStore","ServerCore","emfstore.servercore-inbox","RESOLVED","DUPLICATE","ClassCastException during Commit: Integer cannot be cast to Double","2014-02-07 11:56:56"
426426,"EMFStore","ClientUI","jfaltermeier","RESOLVED","DUPLICATE","NullPointerException right after Commit","2014-03-13 11:00:09"
377896,"EMFStore","Common","dzonekl","RESOLVED","FIXED","Migrate to EMF 2.6","2013-12-17 05:52:08"
415962,"EMFStore","Backchannel","emfstore.backchannel-inbox","RESOLVED","FIXED","Fix error on import of project space","2013-08-27 11:49:02"
357467,"EMFStore","Clientcore","emfstore.clientcore-inbox","RESOLVED","FIXED","Rework JUnit tests in Suite AllIntegrationTests in package org.eclipse.emf.emfstore.client.test","2012-10-17 09:24:23"
370796,"EMFStore","Clientcore","emfstore.clientcore-inbox","RESOLVED","FIXED","MEDoubleControl does not check if EAttribute isMany()","2012-02-07 04:39:13"
374104,"EMFStore","Clientcore","emfstore.clientcore-inbox","RESOLVED","FIXED","EMFStoreClientUtil methods for serverInfo should be public","2012-05-07 10:16:40"
409691,"EMFStore","Clientcore","emfstore.clientcore-inbox","RESOLVED","FIXED","Deleting or Editing an ServerInfo instance does not invalidate existing usersessions","2013-07-29 04:01:05"
409692,"EMFStore","Clientcore","emfstore.clientcore-inbox","RESOLVED","FIXED","Remove isUsersessionLocked method from LoginDialogController","2013-06-14 07:58:16"
409918,"EMFStore","Clientcore","emfstore.clientcore-inbox","RESOLVED","FIXED","Rename ESServer.Factory.getServer method","2013-07-02 04:25:46"
409919,"EMFStore","Clientcore","emfstore.clientcore-inbox","RESOLVED","FIXED","Remove save from ESServerFactory#getServer(String, int, String)","2013-07-02 04:25:22"
409921,"EMFStore","Clientcore","emfstore.clientcore-inbox","RESOLVED","FIXED","Add JavaDoc to ESServerFactory#createServer method","2013-07-02 04:05:02"
412010,"EMFStore","Clientcore","emfstore.clientcore-inbox","RESOLVED","FIXED","Fix ChangeCertificateTest","2013-07-02 03:54:58"
412016,"EMFStore","Clientcore","emfstore.clientcore-inbox","RESOLVED","FIXED","ESWorkspace#removeServer should throw exception","2013-07-01 11:12:56"
412023,"EMFStore","Clientcore","emfstore.clientcore-inbox","RESOLVED","FIXED","Rename ESCertificateStoreException to ESCertificateException","2013-07-01 11:18:45"
