"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
233495,"EMF","cdo.core","emf.cdo-inbox","NEW"," ---","Implement a new EMAP to have better performance for big collection","2020-12-11 14:49:30"
257339,"EMF","cdo.ui","adietish","NEW"," ---","[UI] Make node expansion in CDOEditor asynchronous","2020-12-11 10:45:41"
338396,"EMF","cdo.core","caspar_d","NEW"," ---","Notify clients about changes in the dangling state of objects","2020-12-11 10:41:02"
350985,"EMF","cdo.core","caspar_d","NEW"," ---","Object locking operation doesn't end after given timeout","2020-12-11 10:47:34"
355287,"EMF","cdo.core","caspar_d","NEW"," ---","Error in LockingNotificationsTest.testSameBranchDifferentSession [Combined, MEM-branching, JVM, Native]","2020-12-11 10:44:31"
231201,"EMF","Edit","davidms","NEW"," ---","A readonly Texteditor for the PropertySheetPage","2018-08-21 16:56:01"
217220,"EMF","Tools","Ed.Merks","NEW"," ---","Make it possible to plug in annotation generators in the standard EMF code generation","2013-01-11 05:43:45"
248766,"EMF","Edit","Ed.Merks","NEW"," ---","Source editor added integrated with a generated EMF model","2018-01-22 12:17:48"
264784,"EMF","Core","Ed.Merks","NEW"," ---","Define constraints for well formed GenModels","2018-02-12 06:35:02"
272552,"EMF","Edit","Ed.Merks","NEW"," ---","EMF view with support for drag'n drop (copy) of model elements into Ecore editor.","2018-01-22 12:17:03"
274884,"EMF","Edit","Ed.Merks","NEW"," ---","ChildCreationExtenders for referenced metaModels does not work","2018-12-18 00:25:29"
297214,"EMF","Core","Ed.Merks","NEW"," ---","BinaryResourceImpl save strategy fails with StackOverflowError","2018-05-15 10:58:13"
307135,"EMF","Core","Ed.Merks","NEW"," ---","Enable creation sub-menus to be created for all references where reference name is different from target type","2012-11-22 11:01:01"
309019,"EMF","Edit","Ed.Merks","NEW"," ---","Need an Utility method to get translated feature name from just an EStructuralFeature","2018-01-22 12:17:14"
316588,"EMF","Core","Ed.Merks","NEW"," ---","A view for invoking EOperation on the EObject selection","2016-02-08 09:30:48"
317932,"EMF","Edit","Ed.Merks","NEW"," ---","Command (handler) and bindings that supports moving items up or down, with optional copying","2018-01-22 12:17:32"
337052,"EMF","Core","Ed.Merks","NEW"," ---","Parameter with Upper Bound -1 as varargs","2011-06-06 12:34:33"
337792,"EMF","Core","Ed.Merks","NEW"," ---","Add support for custom validation delegate diagnostic messages","2019-12-03 14:53:45"
347237,"EMF","Tools","Ed.Merks","NEW"," ---","Generate single RCP and IDE Editor","2011-05-25 21:02:37"
352577,"EMF","Core","Ed.Merks","NEW"," ---","Provide custom CrossReferencer delegation","2014-01-03 12:37:19"
353021,"EMF","Edit","Ed.Merks","NEW"," ---","[EMF Databinding] Provide a Property for an EObject's Index in a Collection","2011-08-05 11:52:56"
