"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
465422,"EPP","jee-package","epp.packager-inbox","UNCONFIRMED"," ---","Unhandled event loop exception","2015-11-04 08:49:20"
465424,"EPP","jee-package","epp.packager-inbox","UNCONFIRMED"," ---","Error setting focus to : org.eclipse.e4.ui.model.application.ui.basic.impl.PartImpl Outline","2015-11-04 08:48:19"
471435,"EPP","jee-package","epp.packager-inbox","UNCONFIRMED"," ---","Eclipse application hangs for couple of minutes, not responsive.","2015-11-04 08:50:55"
477644,"EPP","rcp-package","epp.packager-inbox","UNCONFIRMED"," ---","Unhandled event loop","2015-11-04 08:52:50"
483705,"EPP","cpp-package","epp.packager-inbox","UNCONFIRMED"," ---","Cannot sync with Aptana plugin","2015-12-09 09:58:22"
484982,"EPP","jee-package","epp.packager-inbox","UNCONFIRMED"," ---","EGIT History View Empty.  Exception Thrown:  Unhandled event loop exception","2015-12-30 06:06:38"
459328,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","UNCONFIRMED"," ---","[client] Provide UI to enhance anonymization usage","2015-06-17 03:27:52"
457591,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","UNCONFIRMED"," ---","[client] Introduce E-mail validation","2015-05-07 03:20:01"
455396,"EPP","Automated Error Reporting Client (AERI)","haftsteind","UNCONFIRMED"," ---","[client][gsoc] add view to review logged error reports","2015-04-29 07:28:58"
474536,"EPP","Automated Error Reporting Client (AERI)","haftsteind","NEW"," ---","[client] StorageException in SecurePreferences.get when accessing proxy settings","2016-05-23 01:55:55"
375866,"EPP","cpp-package","epp.packager-inbox","NEW"," ---","The CPP package content description (feature list) is outdated since Juno","2014-09-21 23:29:00"
464007,"EPP","jee-package","cbridgha","NEW"," ---","Improve Welcome/About description","2015-05-07 03:59:50"
411330,"EPP","modeling-package","cedric.brun","NEW"," ---","No Xtext!","2013-10-02 10:12:17"
417708,"EPP","Installer","epp.installer-inbox","NEW"," ---","Consider creating a Windows installer using NSIS","2015-02-13 09:59:58"
462493,"EPP","Installer","epp.installer-inbox","NEW"," ---","New mac layout coming in M6","2015-03-18 13:09:18"
368367,"EPP","jee-package","epp.packager-inbox","NEW"," ---","Eclipse.exe ICON mismatch","2012-04-18 13:58:31"
376497,"EPP","Packager","epp.packager-inbox","NEW"," ---","Composite Repository contains absolute URL","2013-02-12 08:17:18"
380056,"EPP","rcp-package","epp.packager-inbox","NEW"," ---","Eclipse e4 Tools Bridge for 3.x (Incubation) not installable on M7 ?","2012-05-19 12:41:46"
380080,"EPP","jee-package","epp.packager-inbox","NEW"," ---","Cannot upgrade to Eclipse IDE for Java EE Developers 1.5.0.20120504-1855","2012-05-25 16:40:57"
380978,"EPP","modeling-package","epp.packager-inbox","NEW"," ---","How we can get GMF Tooling back to Modeling package","2013-10-02 09:45:03"
382458,"EPP","Packager","epp.packager-inbox","NEW"," ---","Improve EPP resource consumption on download/mirror servers","2012-07-10 11:05:45"
382589,"EPP","Packager","epp.packager-inbox","NEW"," ---","Investigate directory ending with a .app in MacOSX installs","2012-06-14 02:14:09"
383377,"EPP","modeling-package","epp.packager-inbox","NEW"," ---","duplicate p2 components found","2012-06-27 15:11:29"
384419,"EPP","jee-package","epp.packager-inbox","NEW"," ---","[KeyBindings] Can't unbind the ESC key from closing a detached editor","2012-07-05 17:02:35"
384628,"EPP","parallel-package","epp.packager-inbox","NEW"," ---","CDT's editor behaves different in Parallel Package from CPP package","2012-09-11 12:55:14"
388311,"EPP","jee-package","epp.packager-inbox","NEW"," ---","JUNO j2ee ide is not starting. throws an error saying to <eclipse install dir>\configuration\*.log","2012-09-25 12:22:45"
388694,"EPP","modeling-package","epp.packager-inbox","NEW"," ---","swt dll path not adjusted to changed workspace directory","2014-06-10 05:48:32"
389859,"EPP","jee-package","epp.packager-inbox","NEW"," ---","duplicate Information in the Progress tab appears twice","2012-09-19 01:44:04"
391823,"EPP","rcp-package","epp.packager-inbox","NEW"," ---","Lost update sites","2019-09-10 06:13:01"
393600,"EPP","package content","epp.packager-inbox","NEW"," ---","Add --launcher.appendVmargs to the eclipse downloads","2012-11-05 20:07:49"
394351,"EPP","rcp-package","epp.packager-inbox","NEW"," ---","Opening a Java file from a project, Eclipse Juno crashes (Linux 32bit)","2012-11-15 00:16:13"
400004,"EPP","parallel-package","epp.packager-inbox","NEW"," ---","Error 'Failed to create the Java Virtual Machine' with epp-parallel windows 32 package on Windows XP","2013-06-13 13:47:16"
400676,"EPP","package content","epp.packager-inbox","NEW"," ---","Provide a download package for RCP developers","2013-03-07 02:14:35"
410811,"EPP","parallel-package","epp.packager-inbox","NEW"," ---","Parallel: sdm feature is missing","2013-07-03 21:30:20"
410929,"EPP","Packager","epp.packager-inbox","NEW"," ---","Allow EPP package branding via .product files","2014-03-25 08:17:32"
412631,"EPP","parallel-package","epp.packager-inbox","NEW"," ---","MPICH2-Generic-Interactive runtime not working with local connection type","2013-07-09 22:59:27"
414369,"EPP","jee-package","epp.packager-inbox","NEW"," ---","out of heap while building the workspace for most akka projects - fixed with increased heap","2013-08-31 23:29:53"
414663,"EPP","jee-package","epp.packager-inbox","NEW"," ---","IDE fails to load [Mac] after update","2013-08-08 09:06:49"
417783,"EPP","package content","epp.packager-inbox","NEW"," ---","Add GMF to Eclipse DSL package","2015-02-26 00:43:36"
421571,"EPP","rcp-package","epp.packager-inbox","NEW"," ---","Add Eclipse Workspace Mechanic","2016-09-07 15:28:40"
422424,"EPP","cpp-package","epp.packager-inbox","NEW"," ---","Bug ""Restore Defaults"" on CVS Repositories","2013-11-24 16:54:29"
424384,"EPP","package content","epp.packager-inbox","NEW"," ---","Check signing status of eclipse executables in update/upgrade scenarios","2013-12-18 15:58:44"
427793,"EPP","committers-package","epp.packager-inbox","NEW"," ---","Add Equinox ConfigAdmin to standard packages/Java package","2014-04-29 09:44:45"
