"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
228195,"ERCP","eSWT","dlsu","NEW"," ---","Memory leaks in commands implementation","2008-07-14 22:17:53"
250541,"ERCP","eCore","ercp.ecore-inbox","NEW"," ---","Please update online javadocs from 1.1 to 1.3","2011-09-09 10:37:45"
280012,"ERCP","eCore","ercp.ecore-inbox","NEW"," ---","NullPointerException when using save and restore","2009-06-11 18:25:21"
246973,"ERCP","eJFace","ercp.ejface-inbox","NEW"," ---","Create a CLDC compatible eJFace package","2008-09-11 05:26:40"
257911,"ERCP","eJFace","ercp.ejface-inbox","NEW"," ---","ICellModifier / TextCellEditor does not work in JFace TableViewer","2008-12-08 06:39:44"
224845,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Add support for loading eSWT native library from the eSWT jar","2008-03-31 08:56:23"
254458,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Patch for eswt junit test to adapt to different platforms","2008-12-08 21:54:11"
259935,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","WMSTD: Cascading menu group show on the left side and can not launch the sub-menu list if we does not impose SWT.CLOSE  on Shell","2009-01-05 04:16:47"
263422,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","The commands menu disappears when the parent of Browser widget has its layout set to FormLayout","2009-02-03 03:15:28"
265439,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Strange characters appear on an eSWT application","2009-02-19 06:19:56"
270082,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","ListView widget has some strange behaviour","2009-06-22 10:30:11"
276917,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Extend javadoc comment of Canvas","2009-05-19 10:53:07"
279443,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Define a bridge API with LCDUI","2009-06-23 07:42:50"
280273,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","fullscreen problem","2011-12-07 04:14:42"
290106,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Drawing Images to Display doesn't work","2009-09-22 05:40:52"
290267,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Control.setFont propagates to children","2009-09-23 09:57:47"
290864,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Event SWT.MouseDown works only on the first column of table.","2009-09-30 08:34:38"
290867,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Co-ordinates are incorrectly defined at event SWT.MouseDoubleClick on the table.","2009-09-30 03:47:20"
290876,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Event SWT.Verify Properties are incorrectly filled","2009-09-30 04:21:42"
290987,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Replace trivial handwritten JNI code with code from SWT's JNI generator","2010-02-19 09:57:05"
291888,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Text Control size doesnt change on calling setsSize() method.","2009-11-11 12:19:44"
292658,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","eSWT crashs in native Code","2009-10-23 05:30:25"
294058,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","UI thread support API for eSWT with MIDP application model","2011-09-09 10:35:18"
295047,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Introduce keyLocation field to eSWT events","2009-12-08 13:12:32"
295860,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Widget.removeListener is declared protected","2009-11-23 08:36:32"
295862,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Widget.isListening is declared protected","2009-11-24 06:51:15"
317259,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Remove dependancy on aygshell module for Windows CE","2010-06-17 22:12:25"
328412,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","CaptionedControl problems","2010-10-21 16:53:20"
328413,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Table with SWT.VIRTUAL style: Crashes and Problems","2010-10-28 15:35:59"
328976,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","event.doit = false for SWT.Close does not work on WM6","2010-10-28 16:22:06"
328983,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","MobileShell with SWT.NO_TRIM still has x in upper right corner on WM6","2010-10-28 16:55:27"
356805,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Stray characters appended to labels in ui","2011-09-14 15:35:54"
363163,"ERCP","eSWT","ercp.eswt-inbox","NEW"," ---","Critical RCP Error","2011-11-08 10:05:59"
227577,"ERCP","eWorkbench","ercp.eworkbench-inbox","NEW"," ---","WorkbenchWindow does not provide SelectionService","2008-04-21 02:03:28"
255148,"ERCP","eWorkbench","ercp.eworkbench-inbox","NEW"," ---","Add new property in eWorkench extension point to control shell style","2009-01-07 10:21:41"
302803,"ERCP","eWorkbench","ercp.eworkbench-inbox","NEW"," ---","eWorkbench creates too many Composites","2010-02-13 13:16:29"
351789,"ERCP","Samples","ercp.samples-inbox","NEW"," ---","navigation failure","2011-07-12 01:48:44"
299522,"ERCP","SDK","rogalski","NEW"," ---","Source for Plugin Dependencies not displayed, even though source bundles are present","2010-01-27 14:38:30"
244919,"ERCP","eSWT","ercp.eswt-inbox","ASSIGNED"," ---","eSWT Bundle naming and versioning","2008-08-25 02:22:07"
275707,"ERCP","eSWT","petru.motrescu","ASSIGNED"," ---","Adding Embedded Link Listener to S60 platform","2009-09-15 03:39:53"
267177,"ERCP","eSWT","locl","RESOLVED","FIXED","SWT.FULL_SELECTION style doesn't work on Table widgets","2009-07-26 22:53:48"
218449,"ERCP","eCore","ercp.ecore-inbox","RESOLVED","FIXED","Compilation problems in CVS Head","2008-07-11 02:05:07"
220907,"ERCP","eCore","ercp.ecore-inbox","RESOLVED","FIXED","Sync eCore to Eclipse 3.4M5","2008-02-29 05:20:19"
239578,"ERCP","eCore","ercp.ecore-inbox","RESOLVED","FIXED","Update eRCP core to sync Eclipse 3.4","2008-07-07 10:39:15"
248687,"ERCP","eCore","ercp.ecore-inbox","RESOLVED","FIXED","Random JVM crashes","2008-11-28 05:59:43"
270349,"ERCP","eCore","ercp.ecore-inbox","RESOLVED","WONTFIX","Add Equinox Declarative Services bundle to eRCP","2009-11-05 06:06:16"
272201,"ERCP","eCore","ercp.ecore-inbox","RESOLVED","FIXED","Suggestion to change eRCP application Shell to MobileShell","2009-04-17 12:18:52"
226493,"ERCP","eJFace","ercp.ejface-inbox","RESOLVED","FIXED","PreferencePage.createControl layout/layoutData bug","2008-04-12 18:56:14"
214346,"ERCP","eSWT","ercp.eswt-inbox","RESOLVED","FIXED","Tray.getItems() throws ClassCastException","2008-10-08 04:39:13"
218936,"ERCP","eSWT","ercp.eswt-inbox","RESOLVED","FIXED","Menu disposal problem","2008-05-19 07:46:46"
219426,"ERCP","eSWT","ercp.eswt-inbox","RESOLVED","FIXED","Double resize after activating mobile device virtual keyboard","2009-01-19 09:55:15"
221481,"ERCP","eSWT","ercp.eswt-inbox","RESOLVED","WONTFIX","multiple images with diffrent sizes not possible in Table","2008-07-10 04:13:45"
223803,"ERCP","eSWT","ercp.eswt-inbox","RESOLVED","FIXED","focus change causes app with command present jvm crash","2008-07-09 03:44:49"
223805,"ERCP","eSWT","ercp.eswt-inbox","RESOLVED","FIXED","command strange bahaviour during focus change","2008-07-10 03:57:52"
226266,"ERCP","eSWT","ercp.eswt-inbox","RESOLVED","FIXED","menu dispose","2008-07-09 03:39:39"
232519,"ERCP","eSWT","ercp.eswt-inbox","RESOLVED","FIXED","On/Of of the full screen mode leads menu disappearing on Windows Mobile 2005.","2008-07-09 03:31:48"
