"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
486231,"EclipseLink","Build","bo.l.liu","NEW"," ---","EDUCBA - Customer Reviews and Complaints","2016-01-21 05:01:20"
492333,"EclipseLink","Build","bo.l.liu","NEW"," ---","Eclipselink packaging: JPA Source is missing","2016-04-24 23:43:49"
492344,"EclipseLink","Build","bo.l.liu","NEW"," ---","Broken p2 repo in Version 2.6.2.v20151217-774c696","2016-05-03 11:38:09"
492902,"EclipseLink","Build","bo.l.liu","NEW"," ---","published maven artifact contains dependency and classes","2016-05-03 10:32:01"
529461,"EclipseLink","Build","bo.l.liu","NEW"," ---","Mismatch modelgen maven artifact id and OSGI bundle name","2018-01-05 11:23:15"
536660,"EclipseLink","Build","bo.l.liu","NEW"," ---","test bug","2018-07-03 16:08:18"
543505,"EclipseLink","Build","bo.l.liu","NEW"," ---","Eclipselink Extensions missing from update site.","2019-01-17 02:53:15"
563204,"EclipseLink","Build","bo.l.liu","NEW"," ---","Unable to connect to the database server at this time","2020-05-15 04:38:35"
567332,"EclipseLink","Build","bo.l.liu","NEW"," ---","Ant build fails with ""Cannot resolve project dependencies""","2020-09-24 16:38:07"
540203,"EclipseLink","DBWS","eclipselink.dbws-inbox","NEW"," ---","Wrong characters in SQL script dbsetup_alltests.sql","2018-10-17 03:10:01"
545909,"EclipseLink","DBWS","eclipselink.dbws-inbox","NEW"," ---","INCORRECT TYPE GENERATED IN ECLIPSELINK-DBWS-OR.XML FOR NESTED OBJECTS","2019-03-28 20:03:56"
548252,"EclipseLink","DBWS","eclipselink.dbws-inbox","NEW"," ---","test","2019-06-13 14:56:20"
489807,"EclipseLink","Documentation","eclipselink.documentation-inbox","NEW"," ---","Status","2016-03-16 21:28:42"
493726,"EclipseLink","Documentation","eclipselink.documentation-inbox","NEW"," ---","No Javadoc for javax.persistence-2.1.1.jar","2016-05-16 05:10:37"
521566,"EclipseLink","Documentation","eclipselink.documentation-inbox","NEW"," ---","Documentation Missing Support","2017-08-30 00:48:07"
491953,"EclipseLink","EIS","eclipselink.eis-inbox","NEW"," ---","bug id 12345, when i am adding gender for new employee not accepted","2016-04-18 23:16:43"
508607,"EclipseLink","EIS","eclipselink.eis-inbox","NEW"," ---","inheritance using mongodb throws operation not supported","2016-12-02 10:46:49"
530562,"EclipseLink","EIS","eclipselink.eis-inbox","NEW"," ---","EISCompositeObjectMapping by EclipseLink NoSQL Embedded Values","2018-01-31 09:27:45"
530980,"EclipseLink","EIS","eclipselink.eis-inbox","NEW"," ---","mongo connector not exposing all driver configuration","2018-02-09 18:09:05"
490422,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","HistoryPolicy:  method setEndFieldType wrong signature","2016-03-25 05:01:08"
492987,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","StackOverflowError in org.eclipse.persistence.internal.helper.DatabaseField:398","2019-02-05 05:45:14"
493442,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","Informix: InformixPlatform and Informix11Platform contain wrong implementation for stored procedures","2016-05-11 11:37:18"
494602,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","Add escape character for SQL expression in JPQL","2016-05-26 01:32:59"
498890,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","EclipseLink does insert command in wrong tenant","2019-02-05 05:44:58"
498891,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","EclipseLink does insert command in wrong tenant","2019-02-05 05:44:49"
507437,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","PERF: Change detection of @Array mapped fields is slow","2016-11-13 14:26:40"
510143,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---"," @Column attributes (updatable = false, insertable = false) on an @Id cause an exception.","2017-01-24 12:25:33"
514283,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","Hung threads on acquireReadLock","2017-03-29 07:50:13"
515961,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","ServerSession.acquireClientConnection() can spiral into indefinite recursion when opening unpooled Connection fails","2019-02-05 05:43:11"
517079,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","CollectionChangeRecord serialization issue for cache coordination","2017-05-22 10:21:23"
526771,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","Read-only entity cannot be evicted from cache cluster-wide","2017-11-02 10:55:03"
526836,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","NPE when doing a manual join on table that has a history policy","2019-02-05 05:32:12"
526991,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","Value of eclipselink.target-server is not applied when contains ExternalTransactionController implementing class","2017-11-08 09:10:57"
529000,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","[Performance] Issue related to JMXServerPlatformBase","2017-12-20 05:35:43"
529340,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","HistoryPolicy and CachedUpdateCall combination result in a performance issue","2019-10-23 02:27:14"
533182,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","Define module names for JDK9","2018-04-03 14:28:27"
534085,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","Sequencing ConnectionPool unable to make new connections -> thread locked","2018-04-26 06:44:56"
535088,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","[test] SubSelectFromClauseTest2 failing randomly on public infra","2018-05-24 16:44:21"
538137,"EclipseLink","Foundation","eclipselink.foundation-inbox","NEW"," ---","CLASSCASTEXCEPTION WHEN CALLING STORED PROCEDURE TO GET LIST OF NUMBERS","2019-02-05 05:31:27"
