"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
446887,"Ecoretools","General","ecore-inbox","UNCONFIRMED"," ---","[sirius] Found 2 main representations files (that means not referenced by another) in ... (err_grp: d1d8725b)","2019-01-07 03:55:46"
398384,"Ecoretools","General","ecore-inbox","NEW"," ---","Default fill color of EClasses in Ecore Tools Diagram Editor cannot be modified","2014-05-10 09:36:38"
400803,"Ecoretools","General","ecore-inbox","NEW"," ---","Ecore diagramm editor does now allow ""##any"" in field ""Wildcards""","2016-05-04 08:13:58"
427965,"Ecoretools","General","ecore-inbox","NEW"," ---","New Representation for Type Hierarchy of Ecore model","2014-02-12 04:47:04"
427967,"Ecoretools","General","ecore-inbox","NEW"," ---","Support for Maps/Feature Maps","2014-02-12 04:02:06"
428049,"Ecoretools","General","ecore-inbox","NEW"," ---","Add an overview representation on Ecore model","2014-02-26 03:35:44"
428343,"Ecoretools","General","ecore-inbox","NEW"," ---","Add a dashboard view","2014-02-26 04:12:35"
430594,"Ecoretools","General","ecore-inbox","NEW"," ---","Add support for virtual EPackages","2014-04-28 03:53:20"
439465,"Ecoretools","General","ecore-inbox","NEW"," ---","to distinguish two clases with the same name but from different packages","2014-09-12 08:52:43"
459461,"Ecoretools","General","ecore-inbox","NEW"," ---","Renmodel autoreload seems to be too lazy with xcore resources","2015-02-09 09:58:36"
461290,"Ecoretools","General","ecore-inbox","NEW"," ---","Generate Image on save action","2015-03-24 06:33:36"
454218,"Ecoretools","General","ecore-inbox","RESOLVED","FIXED","Review the default settings in the .genmodel when creating the project","2017-05-30 04:30:44"
370667,"Ecoretools","General","ecore-inbox","RESOLVED","FIXED","NPE in ValidateAction.handleDiagnostic","2014-04-29 12:14:28"
