"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
415870,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Add help system","2013-12-06 20:32:52"
416012,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","FXGraph and Preview no longer in sync on invalid graph content","2013-08-28 03:35:43"
416900,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","FXML-Editor should have internationalization support","2013-09-10 06:23:04"
417784,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","[FXGraph] <fx:include> is removed during FXML to FXGraph conversion","2013-09-23 03:42:24"
422243,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","[fxbuild] signing options and different destination for generated jnlp and html","2013-11-22 09:41:31"
425160,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","ContextMenu do not work within an E3 FXViewPart","2014-01-09 03:34:14"
436789,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Introduce automated FXML loading for E4 parts","2015-12-17 06:12:58"
437521,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","Add option to configure 'iss' setup file on fxbuild","2014-06-16 08:11:04"
438908,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Alternate MToolItem renderer","2014-07-04 06:01:31"
439174,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Adding a toolbar programmatically does not work","2014-07-31 09:15:16"
440702,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","OSGi Jemmy integration bootstrap listens to a wrong event topic","2014-07-30 02:04:55"
440703,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","OSGi application wizard makes assumptions on application name in Jemmy launch configuration.","2014-07-30 02:11:10"
441696,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Missing Key Binding for ""Open with SceneBuilder""","2014-08-13 09:51:55"
442952,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","FXML => Java compiler does not generate styleClass values appropriately","2014-08-31 05:44:44"
444568,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Problems with export of Tutorial 3","2014-09-19 04:38:51"
444908,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","Replace ""Open with SceneBuilder"" menu item by ""Open With > SceneBuilder"" to be aligned with all other Eclipse ""Open With"" menu children!","2015-01-20 04:08:06"
444909,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","""Run As > JavaFX Application"" menu item","2014-10-20 17:07:18"
