"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
473960,"Egerrit","Editor UI","egerrit-inbox","NEW"," ---","Compare editor does not persists change after one failure","2015-07-30 14:19:15"
473961,"Egerrit","Editor UI","egerrit-inbox","NEW"," ---","Remove code when 473958 is fixed","2015-07-30 14:21:11"
477588,"Egerrit","General","egerrit-inbox","NEW"," ---","Server dialog should allow the user to add servers from git repositories","2015-09-16 10:47:43"
477590,"Egerrit","Editor UI","egerrit-inbox","NEW"," ---","[Compare] make it explicit that a file is from the workspace","2015-11-13 22:52:43"
478091,"Egerrit","Dashboard","egerrit-inbox","NEW"," ---","Add the possibility to edit the search list","2015-11-13 22:51:58"
478910,"Egerrit","General","egerrit-inbox","NEW"," ---","[debt] Have only one copy of ReviewTableSorter","2015-10-02 10:26:27"
478964,"Egerrit","Editor UI","egerrit-inbox","NEW"," ---","[debt] Merge all copies of the method buildAndLayoutTable","2015-10-03 23:59:15"
479465,"Egerrit","Editor UI","egerrit-inbox","NEW"," ---","[debt][Compare] Add deletion unit tests for the EditionLimiter","2015-10-09 16:06:47"
479473,"Egerrit","Editor UI","egerrit-inbox","NEW"," ---","[Compare] Show markers in the overview ruler","2015-11-13 23:24:42"
479478,"Egerrit","General","egerrit-inbox","NEW"," ---","[debt] Change draft related commands and merge CommentInput and CommentInfo","2015-10-09 22:03:59"
479691,"Egerrit","Dashboard","egerrit-inbox","NEW"," ---","Searches seem to be limited to 500 results without a preference","2016-09-21 21:07:28"
479770,"Egerrit","Editor UI","egerrit-inbox","NEW"," ---","Hook the refresh action","2015-11-13 23:36:57"
479783,"Egerrit","General","egerrit-inbox","NEW"," ---","Add support for OAuth","2016-08-01 09:52:02"
479876,"Egerrit","Dashboard","egerrit-inbox","NEW"," ---","Automatically open the review when search returns only one match","2015-10-22 15:51:22"
480338,"Egerrit","Releng","egerrit-inbox","NEW"," ---","Merge all the purge jobs","2015-11-13 23:29:06"
480339,"Egerrit","Releng","egerrit-inbox","NEW"," ---","Remove ""keep forever"" flag from builds that have been purged","2015-11-13 23:29:18"
480340,"Egerrit","Releng","egerrit-inbox","NEW"," ---","Tag source code","2015-10-21 14:30:25"
480341,"Egerrit","Releng","egerrit-inbox","NEW"," ---","Set the build description for builds promoted to release","2015-10-21 14:32:51"
480460,"Egerrit","General","egerrit-inbox","NEW"," ---","Option to automatically open a review after it gets created","2016-03-28 10:58:11"
481068,"Egerrit","Releng","egerrit-inbox","NEW"," ---","Don't build the code when the website changes","2015-11-13 23:33:09"
481634,"Egerrit","Releng","egerrit-inbox","NEW"," ---","Narrow down the version of EGerrit added to the train and automate","2015-11-13 23:34:53"
482310,"Egerrit","Test","egerrit-inbox","NEW"," ---","[debt] Disabled REST tests","2016-04-27 09:27:37"
483014,"Egerrit","Editor UI","egerrit-inbox","NEW"," ---","Missing indication for current review in related changes","2015-11-25 10:27:26"
483017,"Egerrit","Editor UI","egerrit-inbox","NEW"," ---","Indication of meaning of ""related changes"" ordering","2015-11-25 11:33:47"
483031,"Egerrit","Editor UI","egerrit-inbox","NEW"," ---","""Related changes"" don't seem to show the Flag content","2015-11-25 13:35:50"
483120,"Egerrit","Editor UI","egerrit-inbox","NEW"," ---","After loging in, opened reviews cannot be refreshed to the fact that the user is logged in","2015-11-26 22:00:39"
483612,"Egerrit","Editor UI","egerrit-inbox","NEW"," ---","Provide undo/redo to commit editor","2015-12-03 14:01:58"
483732,"Egerrit","Editor UI","egerrit-inbox","NEW"," ---","Summary tab does not get smaller","2015-12-05 17:22:28"
480527,"Egerrit","Editor UI","egerrit-inbox","ASSIGNED"," ---","Clicking on the commitId of the parent should open the history view","2016-04-26 12:11:49"
467427,"Egerrit","General","egerrit-inbox","RESOLVED","FIXED","Decide on an organization for bugzilla components","2015-05-19 15:08:36"
467598,"Egerrit","Releng","egerrit-inbox","RESOLVED","FIXED","Run tests on EF hudson server","2016-12-19 18:23:19"
467880,"Egerrit","Releng","egerrit-inbox","RESOLVED","FIXED","Enable code coverage","2016-12-19 18:12:11"
467881,"Egerrit","Releng","egerrit-inbox","RESOLVED","FIXED","Deploy binaries to download.eclipse.org","2015-11-27 10:12:46"
467882,"Egerrit","Releng","egerrit-inbox","RESOLVED","FIXED","Sign the build","2015-11-27 10:13:06"
467883,"Egerrit","Releng","egerrit-inbox","RESOLVED","FIXED","Generate source features","2015-11-27 10:13:34"
467894,"Egerrit","Editor UI","egerrit-inbox","RESOLVED","FIXED","Show comments directly in the text editor","2015-11-27 09:56:04"
467908,"Egerrit","Releng","egerrit-inbox","RESOLVED","FIXED","Re-enable presentation of test results on hudson","2016-12-19 18:12:23"
477489,"Egerrit","General","egerrit-inbox","RESOLVED","FIXED","IllegalArgumentException in Gerrit server dialog","2015-11-13 22:56:42"
477502,"Egerrit","Editor UI","egerrit-inbox","RESOLVED","FIXED","Diff stats label gets cut off in Files tab","2015-11-27 09:57:36"
477515,"Egerrit","Editor UI","egerrit-inbox","RESOLVED","FIXED","[Compare] No syntax highlighting of source code","2015-11-27 09:59:52"
477592,"Egerrit","General","egerrit-inbox","RESOLVED","FIXED","EGerritException in GerritFactory.create (61)","2015-11-27 10:00:47"
477621,"Egerrit","Editor UI","egerrit-inbox","RESOLVED","FIXED","[Compare] Need ability to navigate the source","2016-12-19 18:13:37"
477722,"Egerrit","Dashboard","egerrit-inbox","RESOLVED","FIXED","Improve error message when incorrect query is entered","2015-11-27 09:54:42"
477847,"Egerrit","Editor UI","egerrit-inbox","RESOLVED","FIXED","Make changeId copyable","2015-11-27 09:54:02"
478230,"Egerrit","Editor UI","egerrit-inbox","RESOLVED","FIXED","[FilesTab] Provide an option to open the workspace file with the default editor","2016-04-26 11:57:50"
478343,"Egerrit","Editor UI","egerrit-inbox","RESOLVED","FIXED","[FilesTab] Diff against content is not sorted","2015-11-27 10:07:38"
479076,"Egerrit","Dashboard","egerrit-inbox","RESOLVED","FIXED","Invalid gerrit version (null) after server password change","2015-12-11 14:15:26"
479079,"Egerrit","Editor UI","egerrit-inbox","RESOLVED","FIXED","""Conflicts With"" is populated but not present in Gerrit Web","2015-11-13 23:26:18"
479080,"Egerrit","Editor UI","egerrit-inbox","RESOLVED","FIXED","Give all tables copy/paste support","2016-07-04 10:10:21"
479156,"Egerrit","Dashboard","egerrit-inbox","RESOLVED","FIXED","Support ""Checkout"" of a review from the Gerrit Dashboard","2016-12-19 18:14:15"
479175,"Egerrit","Editor UI","egerrit-inbox","RESOLVED","WORKSFORME","[Compare editor] compare Manifest.mf against patch set 1 shows empty content","2015-11-13 23:24:24"
479365,"Egerrit","General","egerrit-inbox","RESOLVED","FIXED","Compare editor input need to use full id","2015-10-08 15:20:55"
479432,"Egerrit","Editor UI","egerrit-inbox","RESOLVED","FIXED","[History tab] Automatically select  the most recent entry of the history","2016-04-26 12:13:21"
479647,"Egerrit","General","egerrit-inbox","RESOLVED","FIXED","Incorrect password is detected as invalid server","2016-01-28 23:41:58"
