"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
417060,"Epsilon","Core","agarcdomi","UNCONFIRMED"," ---","Live validation support","2013-09-12 04:39:04"
377289,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Preserve the sorting option in the outline","2012-04-20 10:04:57"
379132,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","NPE when validating a non container EObject with Evl","2019-09-05 11:41:50"
379151,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","NPE when in EvlMarkerResolutionGenerator#addResolution()","2012-05-10 11:31:44"
380530,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Qualified names in EPackage registry view","2012-05-24 08:20:34"
384355,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Variables are not automatically displayed in debugger","2012-07-05 08:21:31"
394554,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","[EGL] TemplateFactory#load template root directory not properly set for nested loads","2012-11-24 04:57:09"
405768,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","exceed.- custom icon locations","2013-04-16 03:30:28"
406195,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Ability to access attributes of references in label description","2013-04-25 02:47:34"
412290,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Support of metamodels that span across several files","2013-07-04 06:37:22"
414467,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Epsilon Book - Add a chapter for integration to Java","2013-08-06 04:30:30"
414469,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Epsilon Book - Add a chapter for integration with Eclipse","2013-08-06 04:34:22"
414554,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Epsilon Book - Describe the context management capabilities","2013-08-07 05:52:41"
417306,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","auto-apply-fix flag in EVL ANT task","2014-03-18 06:27:52"
418308,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","EObjectValidator is called multiple times for models that use multiple packages","2020-04-18 15:12:33"
421228,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Documentation on available workflow tasks","2013-11-07 05:42:23"
425755,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Feature request: Extend ""Run dialog"" to use .epl files","2014-01-16 10:13:14"
441979,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Provide some sort of documentation generator","2014-08-18 10:52:32"
444522,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Use EOL operation and/or EOL files on Exeed","2014-09-18 14:06:09"
444706,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Provide mechanism for etl and eml modules to import transformation traces","2014-09-26 11:49:05"
445967,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","EUnit cache does not get updated after parse exception (when feature is not found)","2015-09-20 13:00:30"
476827,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","EVL plugin generation from the EMF file","2015-09-08 02:11:00"
476828,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Multi-page editor support on top of the other two","2015-09-08 02:13:42"
476829,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Model diagram transformation to XML","2015-09-08 02:14:54"
476830,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","An autogenerated API for controlling the diagram elements","2015-09-08 02:16:05"
484863,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Speed up the wizards' load time","2015-12-23 10:14:59"
526638,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Force metamodel registration on startup","2017-10-30 10:15:57"
351292,"Epsilon","Core","agarcdomi","NEW"," ---","[EOL] Add support for properties based on context operations","2012-02-06 10:59:40"
304977,"Epsilon","Core","dkolovos","NEW"," ---","eol script for copying eugenia annotations from one version of a model to another","2012-02-06 10:59:20"
313768,"Epsilon","Core","dkolovos","NEW"," ---","Integration of ECL with EMF Compare","2012-02-06 10:59:20"
313776,"Epsilon","Core","dkolovos","NEW"," ---","Querying of metamodel file crashes if metamodel doesn't exist","2012-02-06 10:59:15"
317275,"Epsilon","Core","dkolovos","NEW"," ---","Enable the user to drag and drop elements from the EPackage Registry View","2012-02-06 10:59:39"
325319,"Epsilon","Core","dkolovos","NEW"," ---","Make it easier/quicker to create a launch configuration for validating a single model","2012-02-06 10:59:24"
359092,"Epsilon","Core","dkolovos","NEW"," ---","[Debugger] Test with ""platform:/plugin/..."" URLs","2013-03-28 18:56:26"
384333,"Epsilon","Core","dkolovos","NEW"," ---","Allow more non alphanumeric characters in identifiers","2012-07-17 01:58:28"
420813,"Epsilon","Core","dkolovos","NEW"," ---","Eugenia should check for packages and classes with the same name","2013-10-31 10:29:05"
421162,"Epsilon","Core","dkolovos","NEW"," ---","[Eugenia] Link and Node with same name causes duplicate methods in generated GMF code","2013-11-08 07:47:50"
458122,"Epsilon","Core","dkolovos","NEW"," ---","determinePackagesFrom(ResourceSet resourceSet) in EMfModel only searches for pacakges in the EPackage registry","2020-04-16 02:45:02"
462419,"Epsilon","Core","dkolovos","NEW"," ---","Add support for coverage analysis","2015-03-17 18:14:42"
498296,"Epsilon","Core","dkolovos","NEW"," ---","Models with hrefs to itself in containment references cause duplicate elements","2016-07-21 12:11:08"
510342,"Epsilon","Core","dkolovos","NEW"," ---","Element modification in EMF Model changes allInstances list order","2017-01-12 12:56:43"
518156,"Epsilon","Core","dkolovos","NEW"," ---","Epsilon EMC CDT driver","2020-04-01 09:33:44"
469952,"Epsilon","Core","agarcdomi","ASSIGNED"," ---","[EUnit] Add the possibility to mock System.user for automated tests","2015-06-15 05:07:02"
406094,"Epsilon","Core","arcanefoam","ASSIGNED"," ---","Integration with XCore","2020-04-12 08:32:03"
410004,"Epsilon","Core","arcanefoam","ASSIGNED"," ---","EGX does not support Eclipse platform resources","2018-10-31 08:22:31"
256500,"Epsilon","Core","dkolovos","ASSIGNED"," ---","Facilitate invoking UML2Tools actions from the Epsilon GMFTools","2012-02-06 10:59:31"
278021,"Epsilon","Core","dkolovos","ASSIGNED"," ---","Navigate from EObject to EClass in the EPackage Registry view","2012-02-06 10:59:27"
286412,"Epsilon","Core","dkolovos","ASSIGNED"," ---","Cannot declare enumeration arguments in operations","2013-08-07 09:48:43"
289724,"Epsilon","Core","dkolovos","ASSIGNED"," ---","Network file names causes errors","2012-02-06 10:59:11"
295271,"Epsilon","Core","dkolovos","ASSIGNED"," ---","Support for diagram partitioning (subdiagrams of same type)","2012-02-06 10:59:09"
319708,"Epsilon","Core","dkolovos","ASSIGNED"," ---","NPE in EvlValidator.validate()","2012-02-06 10:59:08"
327547,"Epsilon","Core","dkolovos","ASSIGNED"," ---","ETL transformation, the launch configuration and naming of models","2012-02-06 10:59:02"
331497,"Epsilon","Core","dkolovos","ASSIGNED"," ---","Title for UserInput.prompt","2013-04-07 13:08:49"
353199,"Epsilon","Core","dkolovos","ASSIGNED"," ---","Parameter type checking not performed in extended rules in ETL","2013-06-01 04:24:05"
358201,"Epsilon","Core","dkolovos","ASSIGNED"," ---","[DT] Right-click to run Epsilon programs","2012-02-06 10:59:13"
410860,"Epsilon","Core","dkolovos","ASSIGNED"," ---","Disable tests plugin","2013-06-16 17:23:21"
416645,"Epsilon","Core","dkolovos","ASSIGNED"," ---","Add ANT Examples in the Epsilon book","2013-09-08 09:38:58"
419218,"Epsilon","Core","dkolovos","ASSIGNED"," ---","size attribute of @gmf.node does not accept -1 as valid value anymore","2013-10-11 11:32:54"
422669,"Epsilon","Core","dkolovos","ASSIGNED"," ---","EOL Editor: Comment opening/closing characters inside strings identified as comments","2014-02-13 17:24:15"
438490,"Epsilon","Core","dkolovos","ASSIGNED"," ---","Epsilon modules should be reusable","2014-06-30 03:23:31"
453525,"Epsilon","Core","dkolovos","ASSIGNED"," ---","Include built-in generic model navigation operations","2014-11-30 06:11:22"
376294,"Epsilon","Core","dkolovos","ASSIGNED"," ---","Undoing all changes still leave the document marked as dirty","2012-04-09 08:23:00"
359089,"Epsilon","Core","agarcdomi","REOPENED"," ---","[Debugger] Implement ""Step Over"" and ""Step Return""","2012-06-21 12:17:17"
404658,"Epsilon","Core","dkolovos","REOPENED"," ---","Confusing Register EPackages menu entrry","2020-04-18 02:26:48"
460540,"Epsilon","Core","dkolovos","REOPENED"," ---","Adding new icon in Exeed","2017-03-15 08:35:50"
418494,"Epsilon","Core","louis","REOPENED"," ---","[Flock] Support cascading deletes","2014-08-07 12:18:38"
316902,"Epsilon","Core","dkolovos","RESOLVED","FIXED","EOL Interpreter view component","2020-11-30 13:59:06"
282087,"Epsilon","Core","agarcdomi","CLOSED","FIXED","Support more than one metamodels per EMF model","2012-11-08 16:41:05"
286148,"Epsilon","Core","agarcdomi","CLOSED","FIXED","EVL fix parts do not allow guards, but the Epsilon Book states otherwise","2012-11-08 16:20:27"
286215,"Epsilon","Core","agarcdomi","CLOSED","FIXED","Assert operations not mentioned in the Epsilon book","2012-08-29 17:31:43"
307755,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[Eugenia] GenModel model is empty after applying FixGenModel.eol","2013-09-01 08:29:51"
333740,"Epsilon","Core","agarcdomi","CLOSED","FIXED","Errata in EpsilonBook.pdf, 29-Nov-2010 (mostly typos)","2012-11-08 16:21:11"
340669,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EOL] Implement Map literals","2012-08-29 17:34:43"
341941,"Epsilon","Core","agarcdomi","CLOSED","FIXED","EVL Ant task does not honor failOnWarnings","2012-08-29 17:35:13"
343777,"Epsilon","Core","agarcdomi","CLOSED","FIXED","Eclipse stop responding with an recursive ""import""","2012-11-08 16:42:38"
344272,"Epsilon","Core","agarcdomi","CLOSED","FIXED","epsilon.storeModel throws exception when saving","2012-02-06 10:59:19"
344643,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[Eugenia] GenerateAllDelegate do not call the FixGenModelDelegate (request)","2013-02-13 06:30:51"
346016,"Epsilon","Core","agarcdomi","CLOSED","FIXED","EOL Editor Supported Comments","2012-02-06 10:59:35"
346641,"Epsilon","Core","agarcdomi","CLOSED","FIXED","Better support for real literals","2012-02-06 10:59:32"
347367,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EOL] Allow per-resource global variables","2012-11-08 16:40:41"
348472,"Epsilon","Core","agarcdomi","CLOSED","FIXED","Eugenia: race condition when generating models","2012-02-06 10:59:17"
349207,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EOL] All empty Sequences have the same extended properties","2012-02-06 10:59:37"
349209,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EUnit] Arguments of assert* (except assertError) are evaluated twice","2012-02-06 10:59:07"
351812,"Epsilon","Core","agarcdomi","CLOSED","INVALID","ClassCast exception on an almost empty transformation","2012-07-03 06:45:18"
358199,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EWL] GMF integration should expose variable for referring to GMF notation model","2014-08-27 04:24:27"
359088,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[Debugger] Show more information in the Variables view","2012-11-08 16:40:06"
359921,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[Eugenia] Add polygon and SVG figures and allow for omitting labels","2012-11-08 16:16:56"
