"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
44138,"Equinox","Components","equinox.components-inbox","NEW"," ---","Make CoreException Serializable","2019-09-06 15:37:13"
21401,"Equinox","Launcher","equinox.launcher-inbox","NEW"," ---","[launcher] Cannot start eclipse on another display with a -display parameter","2019-09-06 16:12:16"
40776,"Equinox","Compendium","tjwatson","ASSIGNED"," ---","[app] Can we have an IPlatformRunnable.EXIT_ERROR?","2019-09-06 15:37:09"
43024,"Equinox","Incubator","eclipse","RESOLVED","FIXED","InternalPlatform.writeVersion is broken","2005-09-27 09:12:53"
43402,"Equinox","Incubator","eclipse","RESOLVED","FIXED","Support for multiple plugin versions","2005-09-27 09:12:53"
46449,"Equinox","Incubator","eclipse","RESOLVED","FIXED","The EclipseAdaptor needs to version the framework data.","2005-09-27 09:12:53"
47012,"Equinox","Incubator","eclipse","RESOLVED","DUPLICATE","need to provide general mechanism for building states","2005-09-27 09:12:53"
47242,"Equinox","Incubator","eclipse","RESOLVED","FIXED","state cache should be invalidated when version/timestamp does not match","2005-09-27 09:12:55"
47904,"Equinox","Incubator","eclipse","RESOLVED","FIXED","NPE in PluginClassLoader.computeURLs","2005-09-27 09:12:53"
41079,"Equinox","Incubator","jeffmcaffer","RESOLVED","FIXED","need flexibility in disk layout of bundle info","2005-09-27 09:12:53"
46239,"Equinox","Incubator","jeffmcaffer","RESOLVED","FIXED","need spec for extension manifest","2005-09-27 09:12:53"
46795,"Equinox","Incubator","jeffmcaffer","RESOLVED","FIXED","OSGiBootloader makes a wrong assumption when loaded in the workspace","2005-09-27 09:12:53"
47574,"Equinox","Incubator","jeffmcaffer","RESOLVED","FIXED","Getting rid of the hardcoded list of jars to look for in osgiBootLoader","2005-09-27 09:12:53"
48528,"Equinox","Incubator","jeffmcaffer","RESOLVED","FIXED","Eclipse N20031211 does not start","2005-09-27 09:12:53"
48756,"Equinox","Incubator","jeffmcaffer","RESOLVED","FIXED","BundleException should print stack of nested exception","2005-09-27 09:12:55"
42531,"Equinox","Incubator","pam_tobias","RESOLVED","FIXED","98067: what is the system classloader?","2005-09-27 09:12:55"
43076,"Equinox","Incubator","pam_tobias","RESOLVED","FIXED","classloader synchronize issue","2005-09-27 09:12:55"
42948,"Equinox","Incubator","pascal","RESOLVED","FIXED","Loss of state when stopping the framework with start level","2005-09-27 09:12:55"
44604,"Equinox","Incubator","pascal","RESOLVED","FIXED","PluginDescriptor.getLabel() does not return the correct value","2005-09-27 09:12:53"
