"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
440204,"GMF-Runtime","Notation","gmf-notation-inbox","UNCONFIRMED"," ---","Wrapping label doesn't work well with auto size","2020-02-18 06:11:28"
438712,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","Runtime assertion from ClipboardUtil.copyElementsToString()","2014-07-02 06:34:25"
464540,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","SemanticEditPolicy.getReorientedRelationshipTargetCommand makes improper assumption regarding tree structure","2015-04-13 14:18:33"
469017,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","org.eclipse.gmf.runtime.draw2d.ui.internal.parts.ThumbnailEx$ThumbnailUpdater.stop() causes SWT error because thumbnailGC is disposed before thumbnailGraphics","2015-06-01 12:41:40"
476054,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","ShapeCompartmentEditPart.ConnectionRefreshMgr does not clip connections between connections","2015-08-31 08:39:33"
476254,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","Image clipped on Mac when saving to PNG, SVG","2015-08-31 13:33:05"
482320,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","DiagramEventBrokerThreadSafe causes deadlocks","2016-09-16 05:10:59"
373464,"GMF-Runtime","Notation","ahunter.eclipse","NEW"," ---","Keep up with EMF 2.8 changes","2020-02-18 06:10:57"
379393,"GMF-Runtime","Notation","gmf-notation-inbox","NEW"," ---","[releng] Broken Update Site downloads","2020-02-18 06:11:03"
386999,"GMF-Runtime","Notation","gmf-notation-inbox","NEW"," ---","NotationViewDependentsAdvice compute uncorrect destroy command","2020-02-18 06:11:02"
394270,"GMF-Runtime","Notation","gmf-notation-inbox","NEW"," ---","BasicDecorationNodeImpl#getElement updates the element without marking it as set","2020-02-18 06:11:21"
398976,"GMF-Runtime","Notation","gmf-notation-inbox","NEW"," ---","NullpointerException when using Custom Styles without Names","2020-02-18 06:11:33"
463560,"GMF-Runtime","Notation","gmf-notation-inbox","NEW"," ---","[releng] Old gmp downloads sites need to be removed","2020-02-18 06:11:05"
367748,"GMF-Runtime","General","gmf-runtime-inbox","NEW"," ---","Problem with the error-checking/validating input field when setting the print margins on the  Printing preference page","2013-12-12 12:28:45"
369616,"GMF-Runtime","General","gmf-runtime-inbox","NEW"," ---","""Show Properties View"" in the context menu does not work properly.","2012-01-25 00:29:51"
370747,"GMF-Runtime","General","gmf-runtime-inbox","NEW"," ---","GMF RAP Integration","2012-02-06 12:48:57"
370933,"GMF-Runtime","General","gmf-runtime-inbox","NEW"," ---","SpecializationTypeRegistry::getMatchingAdvice() returned advice list order","2012-02-09 04:34:53"
372097,"GMF-Runtime","General","gmf-runtime-inbox","NEW"," ---","A Change in a GMF property throws a dialog an exception occurs","2012-03-14 04:39:09"
381062,"GMF-Runtime","General","gmf-runtime-inbox","NEW"," ---","performDefaults() in PrintPreferencePage overrides store defaults","2014-05-13 03:27:37"
384106,"GMF-Runtime","General","gmf-runtime-inbox","NEW"," ---","Graphics in GMF would support Graphics#rotate() as in GEF.","2015-10-13 09:47:05"
384894,"GMF-Runtime","General","gmf-runtime-inbox","NEW"," ---","When deleting a diagram file from common navigator, file is deleted while editor remains open","2012-07-12 02:56:24"
