"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
464071,"GMF-Tooling","Runtime","ecore-inbox","UNCONFIRMED"," ---","Command executed via PopupCommand menu in ecore diagram editor does not work","2015-05-04 14:02:30"
127835,"GMF-Tooling","Core","gmp.gmf-tooling-inbox","NEW"," ---","ECore sample: Represent EReference with specified EOpposite reference as a single diagram link","2011-05-01 08:07:48"
147270,"GMF-Tooling","Core","gmp.gmf-tooling-inbox","NEW"," ---","Ecore diagram editor. Annotations cannot be added at the attribute level.","2011-05-01 08:06:54"
390319,"GMF-Tooling","Generation / Templates","borlander","NEW"," ---","Allow DI-based customization of the generated code","2013-06-06 06:38:26"
148402,"GMF-Tooling","Core","tikhomirov.artem","NEW"," ---","[GMFGraph] Generated code should not create unlimited number of SWT Font and Color instances","2010-12-09 22:35:05"
165502,"GMF-Tooling","Core","tikhomirov.artem","NEW"," ---","Defining 'name' attribute containing a space","2010-07-19 22:09:33"
227913,"GMF-Tooling","Core","aboyko","NEW"," ---","Bidi3.4: Exception is thrown when changing note font size","2010-07-19 12:17:08"
227917,"GMF-Tooling","Core","aboyko","NEW"," ---","Bidi3.4: Changes in Text Formatting is not reflected to Geoshape notes","2010-07-19 12:18:09"
193583,"GMF-Tooling","Core","akarjakina","NEW"," ---","Action that migrates gmfgen model should create diagram updater","2010-07-19 22:10:18"
194195,"GMF-Tooling","Core","akarjakina","NEW"," ---","Unused localization fields in <package name prefix>/part/Messages class.","2010-07-19 22:21:16"
205066,"GMF-Tooling","Core","akarjakina","NEW"," ---","Code generation problems with upper case letters in metamodel package","2010-07-19 22:20:10"
148846,"GMF-Tooling","Core","Alexander.Fedorov","NEW"," ---","Create ""Generate figures plug-in..."" wizard instead of existing dialog","2010-07-19 12:16:33"
162678,"GMF-Tooling","Core","Alexander.Fedorov","NEW"," ---","Warn user if gmfgraph model is not valid before generating gmfmap model","2010-07-19 22:10:13"
171594,"GMF-Tooling","Core","Alexander.Fedorov","NEW"," ---","Configure traceability dirung gmfmap->gmfgen transformation","2010-07-19 12:16:25"
165699,"GMF-Tooling","Core","boris.blajer","NEW"," ---","[Tests]: Create tests that operate with diagrams generated to a view","2010-07-19 22:22:37"
191956,"GMF-Tooling","Core","boris.blajer","NEW"," ---","Clipboard actions are always disable","2010-07-19 22:22:34"
124826,"GMF-Tooling","Core","borlander","NEW"," ---","Support nodes with border items in gmf models","2010-07-19 22:22:50"
131910,"GMF-Tooling","Core","borlander","NEW"," ---","Support ImageFigure in gmfgraph.ecore","2010-12-28 08:47:49"
135715,"GMF-Tooling","Core","borlander","NEW"," ---","Get rid of XYLayoutData. Use figure properties to setup the figures size and location in case of XYLayout","2010-07-19 22:09:25"
139767,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","Model View for the UML editor example","2013-05-12 14:04:26"
143709,"GMF-Tooling","Core","borlander","NEW"," ---","Compartment figure customized by gmf-graph should be placed inside compartment instead of beeing compartment's parent","2010-07-19 22:18:15"
146293,"GMF-Tooling","Core","borlander","NEW"," ---","viewmap's classBody ignored for compartments","2010-07-19 22:21:46"
155698,"GMF-Tooling","Core","borlander","NEW"," ---","Generated BorderItem editpart fails in runtime with CCE if the node is non-resizable","2010-07-19 22:21:52"
161575,"GMF-Tooling","Samples","borlander","NEW"," ---","[Plan Item] Import/Export from/to DI","2012-12-11 15:12:50"
167905,"GMF-Tooling","Core","borlander","NEW"," ---","IllegalArgumentException(""Figure must be a child"") when bordered figure has also non-bordered items","2010-07-19 22:21:32"
170680,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","Rename o.e.uml2.diagram.<something>-feature into o.e.uml2tools.<something>-feature","2013-05-12 14:04:14"
171227,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","[ClassD] Template Signature / Binding inplaces","2013-05-12 14:04:43"
171233,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","[ActivityD] Support for InterruptibleActivityRegions/Interrupting edges","2013-05-12 14:04:44"
171238,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","[ClassD] Sort and/or group classifier features by visibility","2013-05-12 14:04:37"
171247,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","Provide common component to transform from ValueSpecification to String and back","2013-05-12 14:04:56"
174296,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","UML2 Tools build should not log @unchecked warnings","2013-05-12 14:04:30"
174938,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","[StateD] Support <StateName>:<MachineName> notation for SubMachineStates","2013-05-12 14:04:17"
181478,"GMF-Tooling","Samples","borlander","NEW"," ---","NodeItemSemanticEditPolicy for link to phantoms can not be correctly generated with GMF M6+","2012-12-11 15:12:33"
197259,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","[ComponentD] -- Allow to reroute connectors","2013-05-12 14:04:29"
197263,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","[ComponentD] -- Optionally show connectors with defined type as associations","2013-05-12 14:04:37"
199737,"GMF-Tooling","Samples","borlander","NEW"," ---","Basic OCL integration","2012-12-11 15:13:04"
230941,"GMF-Tooling","Samples","borlander","NEW"," ---","Support editparts with multi-layered figures","2012-12-11 15:11:44"
230953,"GMF-Tooling","Samples","borlander","NEW"," ---","[AllDiagrams] - Provide way to access default diagram font(s) without EditPart instance","2012-12-11 15:11:25"
233036,"GMF-Tooling","Samples","borlander","NEW"," ---","API: Get rid of 'discouraged access' warnings","2012-12-11 15:12:20"
236410,"GMF-Tooling","Samples","borlander","NEW"," ---","[All Diagrams] - Allow link filtering by type","2012-12-11 15:13:36"
239958,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","[ChangeNotation Action] Shortcut element should not disappear after notation change","2013-05-12 14:04:57"
241732,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","[ComponentD] Inplace parser for parts","2013-05-12 14:04:20"
242709,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","Interaction diagrams support","2013-05-12 14:04:33"
243151,"GMF-Tooling","Core","borlander","NEW"," ---","GMFGen model to contain explicit information about allowed link sources/targets","2010-07-19 22:10:14"
244970,"GMF-Tooling","Core","borlander","NEW"," ---","Don't generate supporting code (updater/editpolicies/model-assistant) for links to/from pure label based elements","2010-07-19 22:17:49"
248979,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","UML2 Tools feature version for GMF should increase","2013-05-12 14:04:44"
249091,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","Audits/Metrics integration","2013-05-12 14:04:59"
249657,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","[Samples] - Fix sample 7.39","2013-05-12 14:04:43"
252817,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","[Diagram synchronization] Correctly treat elements with alternative notation","2013-05-12 14:04:20"
265644,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","org.eclipse.uml2.diagram.common.draw2d.StereotypeLabel is obsolete","2013-05-12 14:04:17"
273883,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","Get rid of phantom letters in compartment names","2013-05-12 14:04:55"
277637,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","All diagrams - regenerate the diagrams with GMF2.2RC2","2013-05-12 14:04:25"
291762,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","OCLFromStereoConstraint validate() method queries applicable stereotypes instead of applied stereotypes","2013-05-12 14:04:47"
294648,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","Class Diagram: Association: double line; Null Exception; Lost all file uml data.","2013-05-12 14:04:23"
331875,"GMF-Tooling","Core","borlander","NEW"," ---","Error when node mapping has two expression labels in gmfmap","2011-07-22 05:22:05"
