"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
429147,"GMP","Website","ahunter.eclipse","NEW"," ---","Shutdown old website at http://www.eclipse.org/modeling/gmp/ in favor to per-project top-level sites","2014-08-27 11:05:32"
462333,"GMP","Website","ahunter.eclipse","NEW"," ---","NAME is accepting numeric char","2019-01-08 09:56:02"
484271,"GMP","Website","ahunter.eclipse","NEW"," ---","All Links broken in Mindmap Tutorial","2015-12-12 04:27:21"
375659,"GMP","Releng","ahunter.eclipse","RESOLVED","INVALID","o.e.g.xpand.qvtlibrary bundle is not part of the build","2014-08-27 10:40:17"
381698,"GMP","Releng","ahunter.eclipse","RESOLVED","INVALID","No distribution of milestones/release candidates as zipped p2 repositories","2014-08-27 10:40:16"
386672,"GMP","Website","ahunter.eclipse","RESOLVED","INVALID","All links to help.eclipse.org broken on http://wiki.eclipse.org/GMF_Documentation","2014-08-27 10:39:39"
402228,"GMP","Website","ahunter.eclipse","RESOLVED","INVALID","new defectbguigui","2014-08-27 10:40:10"
402229,"GMP","Website","ahunter.eclipse","RESOLVED","INVALID","new defectbguigui","2014-08-27 10:39:58"
430883,"GMP","Releng","ahunter.eclipse","RESOLVED","INVALID","""Clipboard Support"" example not working","2014-08-27 10:39:40"
432880,"GMP","Releng","ahunter.eclipse","RESOLVED","INVALID","Properties window scroll moves up when switched between elements","2014-08-27 10:39:37"
436794,"GMP","Website","ahunter.eclipse","RESOLVED","INVALID","The view created under a Canonical container should be mutable or immutable based on the value of descriptor","2014-08-27 10:39:55"
440475,"GMP","Website","ahunter.eclipse","RESOLVED","INVALID","Return Date cannot be less than depart date","2014-08-27 10:39:36"
440476,"GMP","Releng","ahunter.eclipse","RESOLVED","INVALID","Test Bug","2016-01-10 12:43:56"
440488,"GMP","Website","ahunter.eclipse","RESOLVED","INVALID","test format","2014-08-27 10:39:50"
440491,"GMP","Website","ahunter.eclipse","RESOLVED","INVALID","spelling mistake in terms and condition in gmail home page","2014-08-27 10:39:51"
484204,"GMP","Releng","ahunter.eclipse","CLOSED","DUPLICATE","Exceptions in Editor Gen Model","2016-06-02 02:55:02"
440318,"GMP","Graphiti","graphiti-inbox","CLOSED","WORKSFORME","broken diagram editor","2014-07-25 09:16:04"
