"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
330146,"Gemini.JPA","Test","michael.keith","NEW"," ---","Need some weaving tests","2012-05-31 16:07:35"
330790,"Gemini.JPA","Core","michael.keith","NEW"," ---","Gemini JPA registers EMFBuilder service using its own bundle context","2012-10-09 10:44:12"
335698,"Gemini.JPA","Core","michael.keith","NEW"," ---","I would like to load a persistence unit from fragment bundles","2013-01-09 02:16:18"
345739,"Gemini.JPA","Core","michael.keith","NEW"," ---","Add tracking of clients obtaining EMF service","2011-07-07 09:48:05"
353304,"Gemini.JPA","Test","michael.keith","NEW"," ---","Enable executing the tests from the Tycho build and as junit plugin tests in the IDE","2012-06-26 09:46:38"
354933,"Gemini.JPA","Core","michael.keith","NEW"," ---","Enable signing and publishing of the gemini-jpa build results","2012-05-31 15:26:03"
356508,"Gemini.JPA","Core","michael.keith","NEW"," ---","JTA support","2014-01-20 07:20:01"
363195,"Gemini.JPA","Core","michael.keith","NEW"," ---","Support for a persistence unit to encompass multiple bundles","2016-02-17 12:45:22"
376931,"Gemini.JPA","Core","michael.keith","NEW"," ---","org.eclipse.gemini.jpa.provider.BundleArchive.getEntries fails on Apache Felix","2013-07-10 09:37:30"
381107,"Gemini.JPA","Test","michael.keith","NEW"," ---","Need to fix the build so that test bundles can use Require-Capability","2012-10-16 12:56:46"
385531,"Gemini.JPA","Core","michael.keith","NEW"," ---","Make debugging option set eclipselink logging level to FINEST","2012-10-16 12:55:31"
385787,"Gemini.JPA","Core","michael.keith","NEW"," ---","Remove unused classes in core","2012-09-13 17:00:19"
394392,"Gemini.JPA","Core","michael.keith","NEW"," ---","Problems because of bundle refresh, when persistence is used in a web app","2012-11-16 10:54:52"
404123,"Gemini.JPA","Core","michael.keith","NEW"," ---","Start automatically without defining start-level and autostart","2014-02-28 07:01:06"
410195,"Gemini.JPA","Core","michael.keith","NEW"," ---","Support for generateSchema method for JPA 2.1","2013-06-07 10:18:17"
411279,"Gemini.JPA","Core","michael.keith","NEW"," ---","Data source service tracking","2013-06-21 00:57:56"
416503,"Gemini.JPA","Core","michael.keith","NEW"," ---","Better support for handling PUs with errors","2013-09-04 05:03:44"
426133,"Gemini.JPA","Core","michael.keith","NEW"," ---","A bundle cannot contain both a persistence unit and a standalone configuration","2014-07-16 18:13:11"
427670,"Gemini.JPA","Core","michael.keith","NEW"," ---","Incremental Configuration sometimes not usable (String comparison with == instead of equals)","2014-02-07 09:55:13"
431586,"Gemini.JPA","Core","michael.keith","NEW"," ---","1.2.0-M1 doesn't register EMFBuilder in standalone configuration","2014-03-30 18:09:55"
461788,"Gemini.JPA","Core","michael.keith","NEW"," ---","bundle.findEntries - wrong root path","2015-03-10 09:29:37"
462576,"Gemini.JPA","Core","michael.keith","NEW"," ---","Sometimes accessing a persistence bundle fails with ""NoSuchMethodError""","2015-03-24 09:46:20"
466635,"Gemini.JPA","Core","michael.keith","NEW"," ---","WeavingHook is not threadsafe","2015-05-06 16:38:29"
389080,"Gemini.JPA","Core","michael.keith","NEW"," ---","Integrate with log service","2013-06-20 12:55:25"
372278,"Gemini.JPA","Core","michael.keith","ASSIGNED"," ---","Eclipse e4 dependency injection","2015-07-14 18:46:31"
327908,"Gemini.JPA","Core","michael.keith","RESOLVED","FIXED","Whitespace should be ignored by persistence.xml parser","2010-10-15 16:02:55"
327932,"Gemini.JPA","Core","michael.keith","RESOLVED","FIXED","Distros should have source included","2010-10-15 16:04:19"
