"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
366378,"Gemini.Management","Core","gemini.management-inbox","NEW"," ---","Add documentation for the new implemented features","2012-06-07 06:09:46"
366379,"Gemini.Management","Core","gemini.management-inbox","NEW"," ---","Add examples and description of main concepts to the project wiki","2012-06-07 06:09:46"
365608,"Gemini.Management","Core","eclipse","CLOSED","FIXED","Allow Virgo to provide an alternative bundle to Gemini Management","2012-06-07 06:08:02"
365690,"Gemini.Management","Core","eclipse","CLOSED","FIXED","Update and improve project web site, documentation and wiki page","2012-06-07 06:06:34"
365707,"Gemini.Management","Core","eclipse","CLOSED","FIXED","Spec is misinterpreted on BundleStateMBean","2012-06-07 06:08:00"
365708,"Gemini.Management","Core","eclipse","CLOSED","FIXED","The performance of listing all bundles is very poor","2012-06-07 06:06:33"
365709,"Gemini.Management","Core","eclipse","CLOSED","FIXED","BundleStateMBean listBundles with an integer mask updated in new spec","2012-01-11 11:08:59"
365711,"Gemini.Management","Core","eclipse","CLOSED","FIXED","Modify the extensions to the ServiceStateMBean to use an interface","2012-06-07 06:06:33"
366163,"Gemini.Management","Core","eclipse","CLOSED","FIXED","Take in a copy of the new draft BundleWiringStateMBean interface","2012-01-11 11:08:59"
366235,"Gemini.Management","Core","eclipse","CLOSED","FIXED","Add support for the presence of multiple ConfigAdmin","2012-01-11 11:15:10"
366381,"Gemini.Management","Core","eclipse","CLOSED","FIXED","BundleWiringStateMBean, implement the new draft API","2012-01-11 11:08:59"
366934,"Gemini.Management","Core","eclipse","CLOSED","FIXED","Remove Virgo bias","2012-01-11 11:08:59"
354122,"Gemini.Management","Core","gemini.management-inbox","CLOSED","FIXED","Release Gemini Management 1.0.0","2012-03-07 12:18:39"
355375,"Gemini.Management","Core","gemini.management-inbox","CLOSED","FIXED","NPE in OSGiBundle class","2012-06-07 06:08:01"
355376,"Gemini.Management","Core","gemini.management-inbox","CLOSED","FIXED","Consume osgi.enterprise jar from Eclipse Orbit repository","2012-06-07 06:08:01"
355381,"Gemini.Management","Core","gemini.management-inbox","CLOSED","FIXED","Add subproject for tests to gemini management","2012-06-07 06:08:02"
365072,"Gemini.Management","Core","gemini.management-inbox","CLOSED","FIXED","Add javadoc, generics and reformat code","2012-06-07 06:08:01"
365729,"Gemini.Management","Core","gemini.management-inbox","CLOSED","FIXED","Release first milestone","2012-06-07 06:08:02"
363345,"Gemini.Management","Core","hal.hildebrand","CLOSED","FIXED","Update Orbit repository url in Gemini management build","2012-06-07 06:08:02"
363458,"Gemini.Management","Core","hal.hildebrand","CLOSED","FIXED","The ServiceStateMBean should support introspection of a single service","2012-06-07 06:08:02"
363451,"Gemini.Management","Core","l.kirchev","CLOSED","FIXED","Remove dead code and warnings from the start of the build","2012-06-07 06:08:00"
363553,"Gemini.Management","Core","l.kirchev","CLOSED","FIXED","Stop copying osgi.enterprise.jar in org.eclipse.gemini.mgmt project","2012-06-07 06:08:02"
363554,"Gemini.Management","Core","l.kirchev","CLOSED","FIXED","Create target platform for gemini management project","2012-06-07 06:08:02"
363576,"Gemini.Management","Core","l.kirchev","CLOSED","FIXED","Create an update site for Gemini management project","2012-06-07 06:08:01"
366725,"Gemini.Management","Core","l.kirchev","CLOSED","FIXED","Fix version of the referenced target platform in pom.xml of gemini.mgmt.releng project","2012-01-11 11:13:18"
345406,"Gemini.Management","Core","peter.peshev","CLOSED","FIXED","listBundles performance is really poor Gemini management","2012-06-07 06:08:01"
347545,"Gemini.Management","Core","peter.peshev","CLOSED","FIXED","create a build for gemini management.","2012-06-07 06:08:01"
