"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
373337,"Gemini.Naming","Core","gemini.naming-inbox","NEW"," ---","Service Damping / Timeout Property on OSGi Service Access via JNDI","2012-08-31 18:30:39"
380694,"Gemini.Naming","Core","gemini.naming-inbox","NEW"," ---","Update code to make use of generics","2013-03-25 08:40:11"
395784,"Gemini.Naming","Core","gemini.naming-inbox","NEW"," ---","Change the maven groupId to ""org.eclipse.gemini""","2012-12-05 01:44:39"
373336,"Gemini.Naming","Core","gemini.naming-inbox","REOPENED"," ---","Service lookup with shorthand notation does not work with slashes","2013-02-11 08:32:04"
331470,"Gemini.Naming","Core","bob.nettleton","RESOLVED","FIXED","Gemini Naming depends upon osgi.enterprise.jar","2012-03-21 14:15:56"
309524,"Gemini.Naming","Core","gemini.naming-inbox","RESOLVED","FIXED","Initial Contribution","2012-03-21 14:16:35"
310897,"Gemini.Naming","Core","gemini.naming-inbox","RESOLVED","FIXED","Initial Contribution of Test Code (Unit/Integration) for Gemini Naming Project","2012-03-21 14:16:23"
337992,"Gemini.Naming","Core","gemini.naming-inbox","RESOLVED","FIXED","Gemini Naming fails to build.  Patch to fix build","2012-03-21 14:15:44"
369582,"Gemini.Naming","Core","gemini.naming-inbox","RESOLVED","FIXED","Test fails","2012-03-21 14:15:28"
369934,"Gemini.Naming","Core","gemini.naming-inbox","RESOLVED","FIXED","Gemini Naming tests execution fails with: org.eclipse.gemini.naming.impl.bundle-Incubation-1.0-SNAPSHOT.jar (The system cannot find the path specified)","2012-03-21 14:14:23"
370153,"Gemini.Naming","Core","milesg78","RESOLVED","FIXED","Build Gemini Naming with Tycho","2012-03-21 14:14:09"
371307,"Gemini.Naming","Core","milesg78","RESOLVED","FIXED","Bundle-Vendor header for Gemini Naming should be Eclipse.org","2012-03-21 14:13:59"
371310,"Gemini.Naming","Core","milesg78","RESOLVED","FIXED","Add findbugs, pmd and tycho-source plugins to the Gemini Naming build","2012-03-21 14:13:45"
372900,"Gemini.Naming","Core","milesg78","RESOLVED","FIXED","Integration tests execution is failing on the central hudson","2012-03-21 14:12:56"
372907,"Gemini.Naming","Core","milesg78","RESOLVED","FIXED","Use Java SE 1.6 for compilation","2012-03-21 14:12:45"
374446,"Gemini.Naming","Core","milesg78","RESOLVED","FIXED","java.lang.IllegalStateException: InitialContextFactoryBuilder already set","2012-03-21 14:17:19"
377313,"Gemini.Naming","Core","milesg78","RESOLVED","FIXED","Cannot bind to URL [rmi://localhost:1515/jmxrmi]: javax.naming.NoInitialContextException","2012-05-03 14:28:27"
377316,"Gemini.Naming","Core","milesg78","RESOLVED","FIXED","Name: rmi://localhost:1515/jmxrmi was not found.  A URL Context Factory was not registered to handle this URL scheme","2012-05-03 14:30:11"
460335,"Gemini.Naming","Core","milesg78","RESOLVED","FIXED","Inefficient locking on OSGiInitialContextFactoryBuilder","2015-02-19 10:25:17"
327144,"Gemini.Naming","Core","gemini.naming-inbox","CLOSED","DUPLICATE","Clean up of pom.xml to add osgi enterprise from maven repo","2012-03-21 14:16:11"
449875,"Gemini.Naming","Core","gemini.naming-inbox","CLOSED","FIXED","Just calling new InitialContext(); would leak org.eclipse.gemini.naming.ContextWrapperImpl","2014-11-20 09:59:06"
372910,"Gemini.Naming","Core","milesg78","CLOSED","FIXED","Publish 1.0.0.M02","2012-04-19 16:13:02"
394969,"Gemini.Naming","Core","milesg78","CLOSED","FIXED","Sporadic ConcurrentModificationException in ContextManagerServiceFactoryImpl","2012-11-26 12:32:46"
407399,"Gemini.Naming","Core","milesg78","CLOSED","FIXED","ClassCastException when the bundle provides jndi.properties file","2013-05-08 09:16:17"
414427,"Gemini.Naming","Core","milesg78","CLOSED","FIXED","CallStackStrategyImpl does not work if class was created with Class.newInstance().","2013-08-22 02:31:29"
414746,"Gemini.Naming","Core","milesg78","CLOSED","FIXED","NotContextException: Not an instance of LdapContext","2013-08-12 02:28:13"
