"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
541285,"Gemini.Web","unknown","gemini.web-inbox","NEW"," ---","Fix TomcatServletContainerTests#testWarWithResourceRefereces","2018-11-18 11:42:45"
563105,"Gemini.Web","unknown","gemini.web-inbox","RESOLVED","FIXED","Gemini Web 3.0.5 JSP compile issues","2020-06-26 15:02:45"
501038,"Gemini.Web","unknown","gemini.web-inbox","CLOSED","FIXED","Update Apache Tomcat to version 8.5.5 or later","2017-01-25 17:53:00"
501935,"Gemini.Web","unknown","gemini.web-inbox","CLOSED","FIXED","NPE thrown if bundle fragment introduces new packages","2016-12-10 04:31:33"
509020,"Gemini.Web","unknown","gemini.web-inbox","CLOSED","FIXED","Update Apache Tomcat to version 8.5.9 or later","2017-01-25 17:51:17"
509502,"Gemini.Web","unknown","gemini.web-inbox","CLOSED","FIXED","Failed to create jar: url for bundle location in BundleDependenciesJarScanner","2017-01-25 17:48:40"
510598,"Gemini.Web","unknown","gemini.web-inbox","CLOSED","FIXED","Update Apache Tomcat to version 8.5.11 or later","2017-01-28 18:10:32"
510949,"Gemini.Web","unknown","gemini.web-inbox","CLOSED","FIXED","Failure when attempting to scan bundle via jar URL :: java.io.FileNotFoundException","2017-01-25 17:47:26"
514636,"Gemini.Web","unknown","gemini.web-inbox","CLOSED","FIXED","Make gemini web container OSGi Substem aware","2018-01-02 05:10:34"
517971,"Gemini.Web","unknown","gemini.web-inbox","CLOSED","FIXED","Update Apache Tomcat to version 8.5.16 or later","2017-10-26 22:53:55"
525853,"Gemini.Web","unknown","gemini.web-inbox","CLOSED","FIXED","Can't reload WAB via JMX due to changed visibility of ExtendedStandardContext class","2018-01-02 12:36:35"
529346,"Gemini.Web","unknown","gemini.web-inbox","CLOSED","FIXED","Update Apache Tomcat to version 8.5.24 or later","2018-01-21 13:01:48"
536916,"Gemini.Web","unknown","gemini.web-inbox","CLOSED","FIXED","Update Apache Tomcat to version 8.5.35 or later","2018-11-19 16:31:52"
561211,"Gemini.Web","unknown","gemini.web-inbox","CLOSED","FIXED","Update Apache Tomcat to version 8.5.53 or later","2020-06-09 01:23:30"
514594,"Gemini.Web","unknown","milesg78","CLOSED","FIXED","ServletContext.getRealPath returns null","2017-04-19 17:14:03"
