"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
227058,"Incubator","e4","eclipse.e4-inbox","NEW"," ---","[multi-lingual plug-ins] some ideas, a javascript prototype","2019-09-06 16:09:16"
222678,"Incubator","e4","bokowski","RESOLVED","WORKSFORME","Problems view does not have content when opened the first time","2019-09-04 01:57:58"
222679,"Incubator","e4","bokowski","RESOLVED","WORKSFORME","Problems view leaks listener","2019-09-04 01:57:59"
307551,"Incubator","e4","bokowski","RESOLVED","INVALID","please ignore (testing)","2019-09-02 14:56:07"
222148,"Incubator","e4","eclipse.e4-inbox","RESOLVED","INVALID","invalid bug","2008-03-10 20:34:48"
222677,"Incubator","e4","eclipse.e4-inbox","RESOLVED","FIXED","Fix thread leak","2008-03-14 15:10:10"
227555,"Incubator","e4","eclipse.e4-inbox","RESOLVED","FIXED","[EMF-Workbench] Change Multi-Inheritance to save resources","2008-04-17 10:34:07"
251384,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WORKSFORME","Table#setFont() is not working (flex)","2019-09-04 01:50:46"
251386,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WORKSFORME","Reordering columns in a Table is not ordering the content, only the header (flex)","2019-09-04 01:51:27"
251388,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WORKSFORME","TableColumn#setWidth() not using pixels (flex)?","2019-09-04 01:50:42"
251389,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WORKSFORME","SWT.CENTER not respected by TableColumn (flex)","2019-09-04 01:48:30"
251391,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WORKSFORME","SortColumn, SortDirection, Selection non functional in TableColumn (flex)","2019-09-04 01:50:15"
251393,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WORKSFORME","List#addAll() throws an Exception if sizes of Lists differ","2019-09-04 01:51:05"
251553,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WORKSFORME","org.eclipse.swt.net is not on the classpath when running with win32 classpath","2019-09-04 01:53:22"
251671,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WORKSFORME","Control.setMenu() has no effect (flex)","2019-09-04 01:48:48"
251849,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WORKSFORME","event.item is null for Selection events (flex)","2019-09-04 01:50:36"
253957,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WORKSFORME","(Desktop to Flex)  Adding underline to the shortcut key","2019-09-04 01:56:41"
265423,"Incubator","e4","eclipse.e4-inbox","RESOLVED","FIXED","Eclipse does not start in Debian Lenny","2009-02-23 06:38:06"
327736,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WONTFIX","Make the e4 p2 repository (with e4 tools) self-contained","2010-10-14 09:29:45"
385428,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WORKSFORME","E4 CSS editor has fixed size and doesn't follow preferences dialog size","2019-09-04 01:52:59"
385429,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WORKSFORME","E4 CSS editor saves on cancel and warns about concurrent editing","2019-09-04 01:53:43"
436401,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WORKSFORME","org.eclipse.e4.builder has tons of files without copyright","2019-09-04 01:52:00"
525839,"Incubator","e4","eclipse.e4-inbox","RESOLVED","WORKSFORME","breakpoints not working","2018-01-23 01:53:06"
259296,"Incubator","e4","eclipse.felipe","RESOLVED","WORKSFORME","[FLEX]Dialogs support for Flex","2019-09-04 01:53:33"
259298,"Incubator","e4","eclipse.felipe","RESOLVED","WORKSFORME","[FLEX]TextEditor web port","2019-09-04 01:57:55"
259315,"Incubator","e4","eclipse.felipe","RESOLVED","WORKSFORME","[FLEX]new Toolbar  implementation (incomplete)","2019-09-04 01:53:33"
253910,"Incubator","e4","eric_hung","RESOLVED","WORKSFORME","[Flex] Display image in tool item","2019-09-04 01:52:43"
258692,"Incubator","e4","eric_hung","RESOLVED","FIXED","[Flex] Device Fonts","2008-12-18 11:23:25"
258696,"Incubator","e4","eric_hung","RESOLVED","FIXED","[Flex] ScrollBar for the CoolBar","2008-12-18 10:59:10"
258699,"Incubator","e4","eric_hung","RESOLVED","FIXED","[Flex] Decoration and Shell","2008-12-18 12:07:34"
249532,"Incubator","e4","gheorghe","RESOLVED","INVALID","toString() should not have override tag","2009-05-05 15:52:43"
389958,"Incubator","e4","jdt-debug-inbox","RESOLVED","WORKSFORME","Ubuntu Linux 12.04","2018-09-14 01:49:38"
238351,"Incubator","e4","Kevin_McGuire","RESOLVED","WORKSFORME","e4 web demo no longer works on 3.4","2019-09-04 01:50:57"
226182,"Incubator","e4","maxime_daniel","RESOLVED","FIXED","[eca] java.lang.Object methods in interfaces","2008-04-10 03:50:27"
226188,"Incubator","e4","maxime_daniel","RESOLVED","FIXED","[eca] wrong accessor for static field","2008-04-10 05:34:06"
226193,"Incubator","e4","maxime_daniel","RESOLVED","FIXED","[eca] inner class messes up context","2008-05-02 10:24:05"
226465,"Incubator","e4","maxime_daniel","RESOLVED","FIXED","[eca] wrong synthetics combination","2008-05-05 05:31:38"
227786,"Incubator","e4","maxime_daniel","RESOLVED","FIXED","[eca] template supports  (java 1.5)","2008-05-02 04:12:41"
227787,"Incubator","e4","maxime_daniel","RESOLVED","FIXED","[eca] annotations support (java 1.5)","2008-04-30 08:25:07"
227846,"Incubator","e4","maxime_daniel","RESOLVED","FIXED","[eca] bug with inner class involving local names registry","2008-05-02 08:20:24"
248647,"Incubator","e4","Olivier_Thomann","RESOLVED","WONTFIX","try..catch (NullPointerException)  doesn't work","2010-03-05 15:32:43"
249537,"Incubator","e4","Olivier_Thomann","RESOLVED","FIXED","ActionScript files should not change visibility of methods","2008-10-15 10:27:07"
251862,"Incubator","e4","Olivier_Thomann","RESOLVED","FIXED","Stack overflow in Java->AS compiler","2008-10-29 10:58:24"
252605,"Incubator","e4","Olivier_Thomann","RESOLVED","FIXED","Unable to assign a value to a field from an anonymous inner class (flex)","2008-11-03 13:24:55"
249509,"Incubator","e4","Silenio_Quarti","RESOLVED","WONTFIX","Integer.decode(String) doesn't seem to work at runtime","2012-06-20 21:11:59"
226379,"Incubator","e4","tom.schindl","RESOLVED","FIXED","[EMF-Workbench] Workbench with an EMF-Model below","2008-04-17 10:33:35"
227552,"Incubator","e4","tom.schindl","RESOLVED","FIXED","[EMF-Workbench] Use booleans and int instead of Boolean and Integer in the EMF metamodel","2008-04-17 13:33:15"
228735,"Incubator","e4","tom.schindl","RESOLVED","FIXED","[EMF-Workbench] Make EMF-Objects Scriptable use Rhino ScritableObject","2008-04-24 15:06:17"
