"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
339984,"JDT","Core","jarthana","NEW"," ---","Breakpoint hit twice","2020-06-04 11:17:28"
251865,"JDT","Core","amj87.iitr","NEW"," ---","[assist] Improve relevance based on case","2011-05-23 06:05:11"
308820,"JDT","Core","amj87.iitr","NEW"," ---","[content assist] constructor completion taking 15-20 seconds","2020-07-09 18:33:28"
314170,"JDT","Core","amj87.iitr","NEW"," ---","[assist] Parsing javadocs for content assistance should be more flexible","2012-11-01 07:16:51"
323342,"JDT","Core","amj87.iitr","NEW"," ---","JavaConventions#validatePackageName(..) allows creation of package whose name begins with ""java""","2019-11-13 00:02:53"
335029,"JDT","Core","amj87.iitr","NEW"," ---","[code assist] no import for inner non-public interface","2020-05-22 13:18:52"
336620,"JDT","Core","amj87.iitr","NEW"," ---","[assist]No proposal for constructor context information when invoking code completion inside an anonymous abstract class's constructor","2020-05-22 13:18:49"
340796,"JDT","Core","amj87.iitr","NEW"," ---","[content assist] Completion should propose the classes implementing the interface","2011-03-24 05:34:39"
343987,"JDT","Core","amj87.iitr","NEW"," ---","Code assist doesn't help when implementing an inner interface from a class in another package","2020-06-24 15:15:20"
352442,"JDT","Core","amj87.iitr","NEW"," ---","Compiler does not detects the unreachable code","2011-07-19 08:29:24"
353002,"JDT","Core","amj87.iitr","NEW"," ---","Add a new token location for content assist inside catch clause","2011-07-25 08:49:19"
361331,"JDT","Core","amj87.iitr","NEW"," ---","Allow to filter certain types from 'Unused object allocation' warning","2014-08-17 10:42:28"
362415,"JDT","Core","amj87.iitr","NEW"," ---","New warning to detect unnecessary toString() on String","2011-12-08 09:50:23"
363716,"JDT","Core","amj87.iitr","NEW"," ---","IProblem#UndefinedType should not be reused for different problem cases","2020-09-03 09:31:30"
215122,"JDT","Core","david_audel","NEW"," ---","[1.5][compiler] unhelpful errors on generics with wildcards and multiple bounds","2008-01-15 13:04:50"
223263,"JDT","Core","david_audel","NEW"," ---","[assist] change content assistance for enum inside switch from alphabetical order to ordinal order.","2008-08-22 11:41:09"
242883,"JDT","Core","david_audel","NEW"," ---","[completion] code complete could insert trailing semicolon for void methods","2008-08-05 18:26:39"
245582,"JDT","Core","david_audel","NEW"," ---","[assist] Outer class not suggested when parameter type is inner enum","2019-02-26 11:04:52"
250991,"JDT","Core","david_audel","NEW"," ---","Reorganize options for prefixes and suffixes","2008-11-07 11:41:41"
253085,"JDT","Core","david_audel","NEW"," ---","[recovery][compiler] Misleading error given in java on ternary operator","2020-08-23 10:48:41"
352477,"JDT","UI","deepakazad","NEW"," ---","[1.7] [quickfix] 'Move exception to separate catch block' quick assist should be offered as a quick fix","2011-07-21 03:56:57"
