"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
528560,"JTS","Servers","webmaster","NEW"," ---","Deploy jcommon-1.0.16-CQ7581.jar (example subset dependency)","2014-08-28 03:46:32"
528562,"JTS","Servers","webmaster","NEW"," ---","Define URL for maven stable / snapshot repositories","2014-08-26 18:18:09"
528563,"JTS","Servers","webmaster","NEW"," ---","GroupId / namespace convention for scala project","2014-08-14 15:58:51"
528565,"JTS","Servers","webmaster","NEW"," ---","GeoMesa Cloud Development Environment","2014-12-05 10:06:41"
528566,"JTS","Servers","webmaster","NEW"," ---","Searching LocationTech's Sonatype Nexus requires authentication?","2014-09-18 15:45:56"
528582,"JTS","Servers","webmaster","NEW"," ---","LT Nexus Private Proxy","2016-01-26 12:53:33"
528553,"JTS","Servers","webmaster","RESOLVED","FIXED","CLA-status at bugs.eclipse.org isn't correct","2015-05-21 13:58:02"
528557,"JTS","Servers","webmaster","RESOLVED","FIXED","GeoMesa default branch","2014-05-14 11:02:49"
528561,"JTS","Servers","webmaster","RESOLVED","FIXED","Locationtech project pages show errant graph","2014-08-12 13:55:49"
528564,"JTS","Servers","webmaster","RESOLVED","WONTFIX","Is it possible to transfer GeoGit mailing list history?","2014-09-04 11:17:18"
528567,"JTS","Servers","webmaster","RESOLVED","FIXED","LocationTech PMI appears to be broken","2014-10-16 12:10:01"
528568,"JTS","Servers","webmaster","RESOLVED","FIXED","git repository for uDig initial contribution (locationtech)","2014-11-28 11:00:51"
528569,"JTS","Servers","webmaster","RESOLVED","FIXED","udig Hudson link from account page is broken / outdated","2014-11-28 09:53:50"
528570,"JTS","General","webmaster","RESOLVED","WORKSFORME","Problems with the Location Tech Nexus Repo","2019-05-08 11:48:27"
528571,"JTS","Servers","webmaster","RESOLVED","FIXED","Maven Upgrade on LT Hudson","2015-01-21 10:33:25"
528572,"JTS","Servers","webmaster","RESOLVED","FIXED","The GeoGig project requires a Nexus repo","2015-02-02 16:11:22"
528573,"JTS","Servers","webmaster","RESOLVED","FIXED","Add stax2-api jar to GeoGig's Nexus repository","2015-04-20 04:49:15"
528575,"JTS","Servers","webmaster","RESOLVED","FIXED","Committer access for Nexus Maven Repository","2015-04-20 09:03:09"
528576,"JTS","Servers","webmaster","RESOLVED","WORKSFORME","Testing for bug 434831","2016-04-08 14:20:23"
528578,"JTS","Servers","webmaster","RESOLVED","WORKSFORME","GitHub Eclipse Validation is broken","2015-02-24 13:54:31"
528579,"JTS","Servers","webmaster","RESOLVED","INVALID","github pull request valdiation should be ignored for CLA Committers","2015-02-23 14:41:55"
528580,"JTS","Servers","webmaster","RESOLVED","FIXED","setup udig users mailing list and transfer history from Refractions research","2015-03-16 16:24:12"
528583,"JTS","Servers","webmaster","RESOLVED","FIXED","No way to comment on project proposals","2015-03-09 16:59:37"
528586,"JTS","Servers","webmaster","RESOLVED","FIXED","Upgrade to Nexus 2.11.2-06","2015-04-23 06:19:35"
528587,"JTS","Servers","webmaster","RESOLVED","FIXED","Request to change the default GeoMesa branch on GitHub","2015-05-20 14:54:12"
528593,"JTS","Servers","webmaster","RESOLVED","WORKSFORME","Where to place pre-release downloads?","2017-05-08 15:34:26"
528594,"JTS","Servers","webmaster","RESOLVED","FIXED","GeoMesa Hudson cannot clone LocationTech GitHub repository","2015-10-27 11:20:15"
528595,"JTS","Servers","webmaster","RESOLVED","FIXED","Update GeoMesa's GitHub description","2015-11-24 10:48:55"
528597,"JTS","Servers","webmaster","RESOLVED","FIXED","Location Tech Nexus Repo is Down","2015-12-22 13:00:09"
