"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
344249,"Jubula","Core","jubula.core-inbox","NEW"," ---","Support for components that can contain other components","2013-09-19 02:01:08"
350709,"Jubula","Core","jubula.core-inbox","NEW"," ---","give figures their own path elements to make gef ui testing more powerful","2013-09-19 02:01:06"
346676,"Jubula","RC","jubula.rc-inbox","NEW"," ---","Swing JTable Header actions - Add custom renderer support","2013-09-19 02:01:06"
342812,"Jubula","UI","jubula.ui-inbox","NEW"," ---","Event Handler reentry type NEXT","2011-08-26 08:17:54"
355365,"Jubula","Core","Achim.Loerke","CLOSED","FIXED","Jubula standalone uses GUIdancer License Agreement","2011-09-22 04:19:19"
355944,"Jubula","Core","Achim.Loerke","CLOSED","FIXED","Null pointer exception in log after any action","2011-09-15 06:10:38"
344946,"Jubula","UI","alexandra.schladebeck","CLOSED","FIXED","Show parameter values in Test Result Tree","2011-12-06 08:30:34"
355083,"Jubula","RC","jubula.rc-inbox","CLOSED","FIXED","Version check for RC RCP Plugin","2011-10-07 08:21:50"
336063,"Jubula","Core","markus.tiede","CLOSED","FIXED","Missing icon for SpecTestCases in the test result (details) viewer","2011-02-15 05:00:31"
340680,"Jubula","UI","markus.tiede","CLOSED","FIXED","Incorrect icon decoration on TestStep in Test Suite Browser","2011-09-15 06:01:31"
342406,"Jubula","UI","markus.tiede","CLOSED","FIXED","Revert in TCE fails for newly created test step","2011-04-14 05:04:06"
345577,"Jubula","UI","markus.tiede","CLOSED","FIXED","Decorators do not show Active/Inactive Status quickly enough in large projects","2011-09-13 07:25:55"
350068,"Jubula","Tools","markus.tiede","CLOSED","FIXED","Demo movies on web site require flash","2016-05-19 03:39:11"
352342,"Jubula","RC","markus.tiede","CLOSED","WONTFIX","Object Mapping show filled green squares always starting in the left heading corner","2011-10-20 03:15:18"
352711,"Jubula","UI","markus.tiede","CLOSED","FIXED","More than one change in Object Mapping cannot be saved because of 2016:General database error","2011-09-09 05:46:39"
352842,"Jubula","Core","markus.tiede","CLOSED","FIXED","AUT Agent Logging: File Logging not enabled","2011-08-31 03:27:46"
353282,"Jubula","Core","markus.tiede","CLOSED","FIXED","Jubula ""about"" text says 1.0.0","2011-09-09 05:05:36"
354796,"Jubula","Agent","markus.tiede","CLOSED","FIXED","AUT Agent error message during nightly tests","2011-09-15 06:09:22"
355346,"Jubula","Core","markus.tiede","CLOSED","FIXED","Connection to Database in Eclipse For Testers Indigo SR1 causes error","2011-09-15 06:09:40"
355382,"Jubula","Core","markus.tiede","CLOSED","FIXED","Edited parameters on nodes are not updated","2011-09-15 06:10:19"
355384,"Jubula","Core","markus.tiede","CLOSED","DUPLICATE","Decoration in the Test Suite Browser is slow in larger projects","2011-09-15 06:10:27"
347265,"Jubula","UI","Oliver.Goetz","CLOSED","FIXED","Action Error: Invalid Parameter Value for ub_app_pressAnyKey (alt + Tab) during nightly test runs","2011-05-30 05:07:33"
334269,"Jubula","Core","zeb.ford-reitz","CLOSED","FIXED","UE while deleting a Technical Component Names after saving the OME","2011-02-03 07:11:53"
335005,"Jubula","Core","zeb.ford-reitz","CLOSED","FIXED","Problem with start of ""RCP Application"" as ""AUT""","2011-02-04 07:33:55"
335932,"Jubula","Core","zeb.ford-reitz","CLOSED","FIXED","Nightly regression tests - delete all projects from database took 9h instead of 3,5h","2011-02-16 08:53:14"
337215,"Jubula","Core","zeb.ford-reitz","CLOSED","FIXED","UE while working with the embedded database","2011-02-17 07:18:42"
339473,"Jubula","Core","zeb.ford-reitz","CLOSED","FIXED","Nightly Test - AUT toolkit could not be found when opening the AUT Configuration Dialog","2011-03-14 06:50:38"
335563,"Jubula","RC","alexandra.schladebeck","CLOSED","FIXED","Remote control components make use of orbit bundles which are compiled with Java 1.5","2011-03-15 07:25:13"
354261,"Jubula","UI","alexandra.schladebeck","CLOSED","WONTFIX","ub_tre_selectNode not select the node","2012-02-17 06:56:36"
365609,"Jubula","RC","andreas.scharf","CLOSED","WONTFIX","Extend Application component for executing methods reflectively","2013-12-17 08:29:01"
344709,"Jubula","Agent","jubula.agent-inbox","CLOSED","WONTFIX","Client / AUT Agent version compatibility","2012-12-12 06:23:19"
335660,"Jubula","Core","jubula.core-inbox","CLOSED","FIXED","Performance problems opening Test Result Reports from the Summary View","2016-05-19 03:39:51"
336199,"Jubula","Core","jubula.core-inbox","CLOSED","FIXED","Component names from within Event Handlers cannot be propagated","2017-01-13 04:00:51"
339071,"Jubula","Core","jubula.core-inbox","CLOSED","WORKSFORME","improve AUT-Start-Synchronization","2013-11-21 03:27:36"
341263,"Jubula","Core","jubula.core-inbox","CLOSED","FIXED","ub_tbl.selectCell does not scroll","2012-11-15 05:15:06"
346697,"Jubula","Core","jubula.core-inbox","CLOSED","INVALID","Component Name from a TC as EH in another TC is not shown in the OME","2011-05-24 06:42:30"
349708,"Jubula","Core","jubula.core-inbox","CLOSED","WONTFIX","Support SWT browser widget","2013-12-17 08:25:41"
350434,"Jubula","Core","jubula.core-inbox","CLOSED","FIXED","Add org.eclipse.jubula.rc.* to the update site","2012-12-12 11:36:15"
351926,"Jubula","RC","jubula.rc-inbox","CLOSED","FIXED","Extensible adapter mechanism for Swing renderer supporting components such as JTables","2012-06-13 08:27:46"
338903,"Jubula","UA","jubula.ua-inbox","CLOSED","FIXED","Remove splash screen and trademark from the documentation","2011-05-24 05:24:08"
